iter	RMSE
0	593392.4986
1	581161.4206
2	570556.2848
3	560318.6742
4	551448.4235
5	544118.0096
6	537978.6744
7	531884.9274
8	527291.2251
9	522397.2259
10	518218.2577
11	514851.4365
12	511558.6528
13	509032.6022
14	506421.3792
15	503684.9898
16	501100.6853
17	498736.4458
18	496783.4929
19	494722.8172
20	492638.5467
21	491095.8643
22	489599.924
23	488254.8894
24	486951.8765
25	485441.5023
26	484477.8887
27	483312.571
28	482220.0923
29	481075.4848
30	480270.7482
31	479463.1054
32	478601.3046
33	477488.0291
34	476667.7751
35	476038.3663
36	475207.3906
37	474735.4239
38	474096.3022
39	473315.2433
40	472586.8868
41	471932.4381
42	471523.5549
43	470925.7518
44	470585.0588
45	470123.5607
46	469669.1583
47	469206.583
48	468831.2214
49	468293.6085
50	467912.8086
51	467650.4619
52	467215.9844
53	466983.2393
54	466670.1494
55	466284.1144
56	465961.8201
57	465644.3093
58	465171.8374
59	464904.1731
60	464692.0882
61	464379.5639
62	464153.4019
63	463847.0386
64	463769.7422
65	463444.7246
66	463194.9836
67	463092.7459
68	462914.7901
69	462774.4918
70	462635.3294
71	462478.7828
72	462200.8941
73	462018.8221
74	461853.2654
75	461653.8498
76	461527.685
77	461366.3563
78	461094.8305
79	460998.6654
80	460816.6628
81	460510.1048
82	460254.1568
83	460136.6363
84	459959.0336
85	459843.7912
86	459690.6549
87	459582.4336
88	459440.1191
89	459209.8071
90	459041.077
91	458945.116
92	458877.7296
93	458744.1354
94	458699.2323
95	458599.6723
96	458539.2546
97	458485.6811
98	458336.642
99	458281.9058
100	458255.8689
101	458204.2516
102	458166.6876
103	458004.4937
104	457901.3444
105	457799.8052
106	457706.3271
107	457561.5043
108	457514.2868
109	457463.1918
110	457305.9028
111	457191.9372
112	457149.9448
113	457029.4855
114	456845.1925
115	456806.4772
116	456711.8979
117	456658.7119
118	456652.3825
119	456509.1685
120	456387.3163
121	456282.113
122	456160.6066
123	455947.2284
124	455897.3386
125	455774.7839
126	455663.266
127	455565.639
128	455527.2757
129	455388.9924
130	455245.3677
131	455145.5213
132	455017.2641
133	454939.2281
134	454853.4387
135	454822.8188
136	454660.4384
137	454524.7133
138	454473.8988
139	454399.6776
140	454360.4389
141	454209.9933
142	454204.1258
143	454131.6562
144	454026.8177
145	453948.7292
146	453835.7963
147	453744.1213
148	453658.1182
149	453483.4276
150	453266.0314
151	453156.0047
152	453046.1615
153	452907.2035
154	452784.425
155	452709.7943
156	452627.3034
157	452562.9108
158	452456.335
159	452378.7638
160	452265.9229
161	452099.6576
162	452020.4833
163	451970.2557
164	451881.3072
165	451788.8068
166	451632.5589
167	451557.4304
168	451521.6049
169	451493.2079
170	451393.9717
171	451323.7265
172	451236.5074
173	451098.7598
174	450949.7224
175	450863.7409
176	450789.0036
177	450687.4961
178	450639.3929
179	450619.6329
180	450538.4188
181	450438.9894
182	450362.957
183	450347.8856
184	450275.8861
185	450197.8072
186	450074.644
187	450067.458
188	450061.8298
189	450038.1676
190	449954.6541
191	449926.6948
192	449832.3934
193	449752.2051
194	449696.3061
195	449621.5252
196	449534.2799
197	449446.3031
198	449425.4398
199	449381.7183
200	449319.3433
201	449252.6493
202	449229.3003
203	449206.6349
204	449152.7392
205	449110.1503
206	449037.6007
207	448997.2457
208	448954.0906
209	448917.577
210	448816.564
211	448765.0584
212	448757.2092
213	448698.3302
214	448606.075
215	448537.8766
216	448486.9751
217	448416.2079
218	448409.4289
219	448326.9118
220	448320.962
221	448275.2879
222	448206.0931
223	448196.0261
224	448141.9473
225	448068.0872
226	447995.0193
227	447919.3276
228	447899.2807
229	447842.4525
230	447798.5573
231	447712.8693
232	447673.9471
233	447547.227
234	447479.233
235	447401.1413
236	447355.9082
237	447296.1831
238	447242.2631
239	447198.6908
240	447160.0385
241	447113.2392
242	447054.0954
243	446995.4283
244	446964.9411
245	446898.7337
246	446820.1147
247	446757.439
248	446727.8521
249	446687.3186
250	446597.5559
251	446542.3894
252	446495.8285
253	446451.4917
254	446400.1303
255	446357.3508
256	446333.6981
257	446167.1299
258	446081.5166
259	446044.8543
260	445998.7427
261	445962.2167
262	445914.5639
263	445868.3968
264	445812.9243
265	445756.9345
266	445731.7167
267	445685.5136
268	445646.5169
269	445592.8871
270	445559.0575
271	445503.8122
272	445476.9195
273	445429.3778
274	445424.8566
275	445408.0555
276	445339.5961
277	445300.595
278	445249.722
279	445202.6418
280	445183.501
281	445133.891
282	444947.0669
283	444909.7235
284	444862.159
285	444831.8805
286	444772.4051
287	444759.4336
288	444712.372
289	444667.7366
290	444579.7417
291	444570.9204
292	444505.66
293	444459.5661
294	444435.3075
295	444421.1727
296	444373.4929
297	444314.5089
298	444215.3934
299	444198.8697
300	444160.1795
301	444156.7116
302	444139.6834
303	444118.5537
304	444101.7098
305	444046.611
306	444000
307	443997.7146
308	443963.0097
309	443922.0456
310	443901.5134
311	443864.794
312	443829.8622
313	443800.7119
314	443732.9412
315	443666.1868
316	443637.5669
317	443606.8686
318	443600.4647
319	443525.9952
320	443512.6796
321	443482.2818
322	443429.9465
323	443380.3854
324	443346.2918
325	443262.4142
326	443240.1942
327	443222.9497
328	443221.3185
329	443184.5703
330	443036.4936
331	442998.5318
332	442978.9801
333	442978.4136
334	442934.4286
335	442888.5065
336	442857.7609
337	442802.5631
338	442777.781
339	442735.9683
340	442709.5565
341	442692.4809
342	442633.9989
343	442612.599
344	442574.3887
345	442514.027
346	442476.2626
347	442453.9838
348	442421.7395
349	442375.6769
350	442356.2387
351	442321.9261
352	442283.467
353	442251.1538
354	442201.8759
355	442073.3831
356	442063.0114
357	442039.4361
358	442024.7851
