iter	Passed	Remaining
0	58	58106
1	67	33476
2	73	24324
3	79	19685
4	83	16706
5	88	14715
6	91	13021
7	94	11736
8	97	10732
9	99	9865
10	102	9172
11	103	8551
12	106	8050
13	108	7618
14	110	7234
15	112	6906
16	114	6613
17	116	6343
18	118	6103
19	120	5906
20	122	5704
21	124	5530
22	126	5364
23	128	5211
24	130	5079
25	132	4946
26	133	4826
27	136	4721
28	137	4616
29	139	4518
30	141	4425
31	143	4348
32	145	4264
33	147	4184
34	149	4108
35	150	4040
36	152	3973
37	154	3909
38	156	3856
39	158	3797
40	159	3742
41	161	3692
42	163	3648
43	165	3600
44	167	3554
45	169	3513
46	171	3470
47	172	3428
48	174	3387
49	176	3351
50	178	3312
51	179	3277
52	181	3245
53	183	3214
54	185	3192
55	188	3170
56	189	3142
57	191	3113
58	193	3084
59	195	3060
60	197	3033
61	198	3008
62	200	2984
63	202	2963
64	204	2938
65	206	2915
66	207	2893
67	209	2872
68	211	2850
69	213	2830
70	214	2808
71	216	2790
72	218	2771
73	219	2751
74	221	2736
75	223	2717
76	225	2698
77	226	2682
78	228	2669
79	230	2653
80	232	2637
81	234	2625
82	236	2612
83	238	2597
84	240	2586
85	242	2578
86	244	2570
87	247	2562
88	249	2549
89	250	2535
90	252	2522
91	254	2510
92	256	2497
93	257	2484
94	259	2472
95	261	2461
96	263	2448
97	264	2436
98	266	2425
99	268	2416
100	270	2403
101	271	2391
102	273	2378
103	275	2369
104	276	2360
105	278	2348
106	280	2338
107	282	2330
108	283	2319
109	285	2310
110	287	2301
111	289	2291
112	290	2281
113	292	2271
114	294	2264
115	295	2255
116	297	2246
117	299	2235
118	300	2227
119	302	2218
120	304	2210
121	305	2201
122	307	2193
123	309	2186
124	311	2177
125	312	2168
126	314	2162
127	316	2154
128	317	2146
129	319	2138
130	321	2132
131	323	2124
132	324	2117
133	326	2110
134	328	2104
135	329	2095
136	331	2089
137	333	2083
138	335	2077
139	337	2070
140	338	2063
141	340	2058
142	342	2052
143	343	2044
144	345	2037
145	347	2033
146	349	2027
147	351	2022
148	353	2016
149	355	2013
150	358	2014
151	360	2008
152	362	2005
153	364	2000
154	366	1996
155	368	1992
156	370	1989
157	373	1990
158	375	1987
159	377	1981
160	380	1981
161	382	1980
162	384	1975
163	387	1974
164	389	1971
165	391	1966
166	394	1965
167	396	1963
168	398	1957
169	400	1954
170	402	1952
171	404	1947
172	407	1946
173	409	1943
174	411	1940
175	414	1941
176	416	1938
177	419	1937
178	421	1934
179	423	1930
180	426	1928
181	428	1925
182	430	1923
