Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
1000000,"24 St John Street,",ADELAIDE SA 5000,House,2,1,−,217m² ,2024
1350000,"10 - 12 Hamilton Place,",ADELAIDE SA 5000,House,3,2,1,90m² ,19 Apr 2024
2050000,"181 Sturt Street,",ADELAIDE SA 5000,House,4,3,3,217m² ,10 Apr 2024
1010000,"18 Gladstone Street,",ADELAIDE SA 5000,House,3,2,1,103m² ,09 Apr 2024
1880000,"126 Gilbert Street,",ADELAIDE SA 5000,House,5,1,6,461m² ,08 Apr 2024
976000,"22 Hallett Street,",ADELAIDE SA 5000,House,2,1,−,177m² ,04 Apr 2024
632000,"28 Vinrace Street,",ADELAIDE SA 5000,House,1,1,1,140m² ,02 Apr 2024
1250000,"222-224 Gilles Street,",ADELAIDE SA 5000,House,3,2,1,239m² ,2024
1360000,"407 Carrington Street,",ADELAIDE SA 5000,House,3,1,−,167m² ,2024
805000,"23A Blackburn Street,",ADELAIDE SA 5000,House,1,1,−,107m² ,2024
1345000,"11 Castle Street,",ADELAIDE SA 5000,House,2,2,2,149m² ,2024
865000,"226 Frome Street,",ADELAIDE SA 5000,Villa,2,1,1,252m² ,28 Feb 2024
660000,"10 Vicars Lane,",ADELAIDE SA 5000,House,2,1,2,50m² ,15 Feb 2024
1405000,"30 Little Sturt Street,",ADELAIDE SA 5000,House,3,2,1,186m² ,22 Jan 2024
752000,"293 Carrington Street,",ADELAIDE SA 5000,House,2,1,−,138m² ,15 Jan 2024
1480000,"20 Blackburn Street,",ADELAIDE SA 5000,House,3,2,1,222m² ,12 Jan 2024
870000,"29 Chatham Street,",ADELAIDE SA 5000,House,3,1,1,190m² ,18 Dec 2023
900000,"305 Carrington Street,",ADELAIDE SA 5000,House,3,1,−,195m² ,2023
1036000,"30 Little Gilbert Street,",ADELAIDE SA 5000,House,5,1,−,240m² ,27 Nov 2023
1257000,"17 Stephens Street,",ADELAIDE SA 5000,House,3,2,−,126m² ,27 Nov 2023
2970000,"360 Gilles Street,",ADELAIDE SA 5000,House,3,2,3,563m² ,2023
1115000,"271 Angas Street,",ADELAIDE SA 5000,House,2,2,2,149m² ,2023
938500,"21 Blackburn Street,",ADELAIDE SA 5000,House,2,1,−,130m² ,14 Nov 2023
1650000,"2 Albert Lane,",ADELAIDE SA 5000,House,3,3,4,458m² ,07 Nov 2023
585000,"18 Maxwell Street,",ADELAIDE SA 5000,Terrace,2,1,−,100m² ,2023
1720000,"53 Byron Place,",ADELAIDE SA 5000,House,2,2,5,205m² ,01 Nov 2023
1102500,"342 Gilles Street,",ADELAIDE SA 5000,House,2,1,2,173m² ,2023
792000,"24 Alfred Street,",ADELAIDE SA 5000,House,2,1,−,150m² ,19 Oct 2023
830000,"4 Allen Place,",ADELAIDE SA 5000,House,2,1,2,191m² ,28 Sep 2023
880000,"50 Alfred Street,",ADELAIDE SA 5000,House,2,1,1,140m² ,30 Aug 2023
667000,"275 Gilbert Street,",ADELAIDE SA 5000,House,2,1,1,155m² ,2023
765000,"11 Gladstone Street,",ADELAIDE SA 5000,House,2,1,1,107m² ,2023
700000,"16 Kate Court,",ADELAIDE SA 5000,House,1,1,2,130m² ,31 May 2023
945000,"61 Alfred Street,",ADELAIDE SA 5000,House,2,1,1,108m² ,2023
1020000,"225 Gilles Street,",ADELAIDE SA 5000,House,2,2,2,209m² ,25 May 2023
1100000,"71 South Terrace,",ADELAIDE SA 5000,House,3,2,2,157m² ,24 May 2023
845000,"347 Angas Street,",ADELAIDE SA 5000,House,2,1,1,113m² ,2023
856000,"27 Hallett Street,",ADELAIDE SA 5000,House,2,1,1,218m² ,03 Apr 2023
2300000,"86 East Terrace,",ADELAIDE SA 5000,House,3,3,2,192m² ,03 Apr 2023
833000,"12a Hume Street,",ADELAIDE SA 5000,House,3,2,2,125m² ,01 Feb 2023
1000000,"15 Gray Street,",ADELAIDE SA 5000,House,4,1,1,238m² ,30 Jan 2023
990000,"24 McLaren Street,",ADELAIDE SA 5000,House,2,1,−,169m² ,11 Jan 2023
690000,"102 Gray Street,",ADELAIDE SA 5000,House,3,1,1,107m² ,20 Dec 2022
1420000,"350 Halifax Street,",ADELAIDE SA 5000,House,3,2,1,251m² ,2022
1650000,"187-189 Hutt Street,",ADELAIDE SA 5000,House,2,1,4,478m² ,2022
1155000,"7/414 Carrington Street,",ADELAIDE SA 5000,House,3,2,2,147m² ,01 Dec 2022
695000,"21A Kate Court,",ADELAIDE SA 5000,House,1,1,−,139m² ,2022
2100000,"112-114 Gilles Street,",ADELAIDE SA 5000,House,3,1,4,460m² ,28 Oct 2022
735000,"28 Albert Street,",ADELAIDE SA 5000,House,2,1,−,191m² ,13 Oct 2022
1432000,"21 North Street,",ADELAIDE SA 5000,House,3,3,2,129m² ,2022
633000,"52 Corryton Street,",ADELAIDE SA 5000,House,3,2,1,183m² ,23 Sep 2022
1550000,"22 Royal Avenue,",ADELAIDE SA 5000,House,3,2,1,273m² ,2022
820000,"26 Vincent Street,",ADELAIDE SA 5000,House,2,1,−,119m² ,03 Aug 2022
853000,"27 Vincent Place,",ADELAIDE SA 5000,House,3,1,2,239m² ,01 Aug 2022
867000,"12 Owen Street,",ADELAIDE SA 5000,House,3,3,1,73m² ,22 Jul 2022
785000,"17 Marion Street,",ADELAIDE SA 5000,House,2,2,−,125m² ,2022
967500,"15 Little Gilbert Street,",ADELAIDE SA 5000,House,3,1,3,200m² ,2022
