Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"830,000 ","1/15 Vincent Place,",ADELAIDE SA 5000,Apartment / Unit / Flat,2,2,1,128m² ,2024
"970,000 ","10 Pope Street,",ADELAIDE SA 5000,Townhouse,2,2,1,103m² ,09 Apr 2024
"402,000 ","113/10 Balfours Way,",ADELAIDE SA 5000,Apartment / Unit / Flat,2,1,1,64m² ,29 Mar 2024
"587,000 ","16 Winifred Street,",ADELAIDE SA 5000,Townhouse,1,1,1,75m² ,2024
"320,000 ","1010/104 North Terrace,",ADELAIDE SA 5000,Apartment / Unit / Flat,1,1,−,58m² ,13 Mar 2024
"915,000 ","76 Vinrace Street,",ADELAIDE SA 5000,Townhouse,3,3,2,90m² ,27 Feb 2024
"642,000 ","606/271-281 Gouger Street,",ADELAIDE SA 5000,Apartment / Unit / Flat,2,2,1,98m² ,31 Jan 2024
"345,000 ","Level 406/10 Balfours Way,",ADELAIDE SA 5000,Apartment / Unit / Flat,2,1,−,97m² ,24 Nov 2023
"901,500 ","4/376 South Terrace,",ADELAIDE SA 5000,Townhouse,3,1,2,166m² ,23 Nov 2023
"365,000 ","9/21 Pulteney Street,",ADELAIDE SA 5000,Apartment / Unit / Flat,1,1,−,91m² ,07 Nov 2023
"620,000 ","4 Pistrina Court,",ADELAIDE SA 5000,Townhouse,2,1,2,52m² ,31 Oct 2023
"690,000 ","31 Symonds Place,",ADELAIDE SA 5000,Townhouse,3,2,1,51m² ,03 Oct 2023
"961,000 ","127 Ifould Street,",ADELAIDE SA 5000,Townhouse,3,2,2,53m² ,26 Sep 2023
"600,000 ","8/12 Toms Court,",ADELAIDE SA 5000,Townhouse,3,2,2,51m² ,15 Aug 2023
"555,000 ","1310/156 Wright Street,",ADELAIDE SA 5000,Apartment / Unit / Flat,2,1,1,127m² ,14 Aug 2023
"825,000 ","10 Ehmckes Lane,",ADELAIDE SA 5000,Townhouse,2,1,1,119m² ,20 Jul 2023
"620,000","706/39 Grenfell Street,",ADELAIDE SA 5000,Apartment / Unit / Flat,3,2,1,115m² ,18 Jul 2023
"1,100,000","71 South Terrace,",ADELAIDE SA 5000,Townhouse,3,2,2,150m² ,
"1,160,000 ","13 O'Halloran Street,",ADELAIDE SA 5000,Townhouse,3,2,2,119m² ,14 Jun 2023
"324,000","608/10 Balfours Way,",ADELAIDE SA 5000,Apartment / Unit / Flat,1,1,−,60m² ,05 Jun 2023
"376,000 ","711/156 Wright Street,",ADELAIDE SA 5000,Apartment / Unit / Flat,1,1,−,59m² ,02 Jun 2023
"400,000 ","54/45 York Street,",ADELAIDE SA 5000,Apartment / Unit / Flat,2,1,1,62m² ,30 May 2023
"440,000 ","714/185 Morphett Street,",ADELAIDE SA 5000,Apartment / Unit / Flat,2,1,1,96m² ,28 Apr 2023
"400,000 ","809/421 King William Street,",ADELAIDE SA 5000,Apartment / Unit / Flat,1,1,1,80m² ,26 Apr 2023
"350,000 ","601/242 Flinders Street,",ADELAIDE SA 5000,Apartment / Unit / Flat,2,1,−,75m² ,25 Apr 2023
"1,275,000 ","262 Gilles Street,",ADELAIDE SA 5000,Townhouse,4,3,2,109m² ,13 Apr 2023
"358,000","302/18 Surflen Street,",ADELAIDE SA 5000,Apartment / Unit / Flat,1,1,−,55m² ,10 Mar 2023
"532,000 ","608/29 Angas Street,",ADELAIDE SA 5000,Apartment / Unit / Flat,2,1,1,75m² ,07 Mar 2023
"455,000 ","1405/20 Hindmarsh Square,",ADELAIDE SA 5000,Apartment / Unit / Flat,1,1,1,73m² ,03 Mar 2023
"710,000 ","22/211 Gilles Street,",ADELAIDE SA 5000,Townhouse,3,2,2,118m² ,02 Mar 2023
"122,000","301/304 Waymouth Street,",ADELAIDE SA 5000,Apartment / Unit / Flat,1,1,−,"1,071m² ",24 Feb 2023
"330,000 ","401/33 Frew Street,",ADELAIDE SA 5000,Apartment / Unit / Flat,1,1,−,58m² ,17 Feb 2023
"438,000 ","808/421 King William Street,",ADELAIDE SA 5000,Apartment / Unit / Flat,1,1,1,74m² ,07 Feb 2023
"1,100,000","245 Gilles Street,",ADELAIDE SA 5000,Townhouse,2,2,2,155m² ,2023
"615,000","105/293 Angas Street,",ADELAIDE SA 5000,Apartment / Unit / Flat,2,2,1,101m² ,12 Jan 2023
"862,000 ","12A Myers Lane,",ADELAIDE SA 5000,Townhouse,2,1,2,113m² ,2022
"900,250","4/25 Hutt Street,",ADELAIDE SA 5000,Apartment / Unit / Flat,3,2,2,150m² ,22 Nov 2022
"440,000 ","106/185 Morphett Street,",ADELAIDE SA 5000,Apartment / Unit / Flat,2,1,1,112m² ,21 Oct 2022
"595,000 ","22a Colby Place,",ADELAIDE SA 5000,Townhouse,2,1,2,57m² ,21 Oct 2022
"395,000","101/271-281 Gouger Street,",ADELAIDE SA 5000,Apartment / Unit / Flat,2,2,−,79m² ,28 Sep 2022
"650,000","9A Sparman Close,",ADELAIDE SA 5000,Townhouse,3,2,1,80m² ,12 Sep 2022
"480,000 ","3/147 Gilles Street,",ADELAIDE SA 5000,Townhouse,2,1,1,73m² ,02 Sep 2022
"400,000 ","901/15 Austin Street,",ADELAIDE SA 5000,Apartment / Unit / Flat,1,1,−,56m² ,31 Aug 2022
"700,500","9 Farr Court,",ADELAIDE SA 5000,Townhouse,3,2,2,92m² ,2022
