Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"480,000 ","569 Mott Street,",ALBURY NSW 2640,House,3,1,4,978m² ,17 Apr 2024
"589,600","610 Queen Street,",ALBURY NSW 2640,House,3,1,1,765m² ,1 Mar 2024
"683,000 ","527 Nathan Avenue,",ALBURY NSW 2640,House,3,1,2,752m² ,13 Mar 2024
"1,660,000","667 Forrest Hill Avenue,",ALBURY NSW 2640,House,4,2,2,870m² ,13 Mar 2024
"1,320,000","605 Jones Street,",ALBURY NSW 2640,House,4,2,2,620m² ,7 Mar 2024
"1,400,000","589 Paine Street,",ALBURY NSW 2640,House,4,3,2,"1,070m² ",05 Mar 2024
"1,400,000","701 Jemalong Avenue,",ALBURY NSW 2640,House,4,3,3,904m² ,23 Feb 2024
"1,365,000","544 Fielder Court,",ALBURY NSW 2640,House,4,3,3,904m² ,2 Feb 2024
"1,250,000","510 Garden Street,",ALBURY NSW 2640,House,4,2,3,860m² ,06 Feb 2024
"790,000","614 Edmondson Avenue,",ALBURY NSW 2640,House,3,2,1,752m² ,30 Jan 2024
"890,000","505 Garden Street,",ALBURY NSW 2640,House,3,2,2,910m² ,19 Jan 2024
"750,000","553 Small Street,",ALBURY NSW 2640,House,3,1,3,588m² ,11 Jan 2024
"1,800,000","16 Elderslie Rise,",ALBURY NSW 2640,House,5,3,2,643m² ,21 Dec 2023
"549,000 ","533 Cowper Street,",ALBURY NSW 2640,House,2,1,1,626m² ,2023
"670,000","404 Tribune Street,",ALBURY NSW 2640,House,3,1,1,657m² ,19 Dec 2023
"640,000 ","750 Sackville Street,",ALBURY NSW 2640,House,3,1,2,728m² ,18 Dec 2023
"840,000","648 Jones Street,",ALBURY NSW 2640,House,3,2,2,343m² ,18 Dec 2023
"1,100,000","649 Jones Street,",ALBURY NSW 2640,House,3,2,2,733m² ,08 Dec 2023
"590,000 ","531 Affleck Street,",ALBURY NSW 2640,House,2,1,−,746m² ,05 Dec 2023
"980,000 ","419 Stephen Street,",ALBURY NSW 2640,House,3,2,3,816m² ,2023
"810,000","425 Macauley Street,",ALBURY NSW 2640,House,4,2,2,659m² ,23 Nov 2023
"610,000 ","362 Tribune Street,",ALBURY NSW 2640,House,3,1,2,712m² ,09 Nov 2023
"1,650,000","645 Macauley Street,",ALBURY NSW 2640,House,4,2,2,765m² ,5 Oct 2023
"749,000","753 Forrest Hill Avenue,",ALBURY NSW 2640,House,3,1,1,724m² ,17 Oct 2023
"838,000","590 Affleck Street,",ALBURY NSW 2640,House,4,3,−,942m² ,17 Oct 2023
"740,000","728 Jones Street,",ALBURY NSW 2640,House,4,2,1,837m² ,12 Oct 2023
"990,000","558 Queen Street,",ALBURY NSW 2640,House,4,2,2,"1,031m² ",09 Oct 2023
"700,000 ","565 Englehardt Street,",ALBURY NSW 2640,House,3,1,1,495m² ,2023
"1,140,000","681 Nerida Avenue,",ALBURY NSW 2640,House,4,2,2,841m² ,6 Oct 2023
"1,600,000","723 Dean Street,",ALBURY NSW 2640,House,4,3,3,828m² ,29 Sep 2023
"1,060,000","579 North Street,",ALBURY NSW 2640,House,3,2,2,884m² ,25 Sep 2023
"900,000","583 Read Place,",ALBURY NSW 2640,House,3,1,2,670m² ,13 Sep 2023
"1,300,000","750 Fellowes Crescent,",ALBURY NSW 2640,House,4,3,2,"1,688m² ",12 Sep 2023
"1,380,000","473 Thurgoona Street,",ALBURY NSW 2640,House,3,2,2,453m² ,18 Aug 2023
"430,000 ","199 Kiewa Street,",ALBURY NSW 2640,House,3,2,1,749m² ,03 Aug 2023
"825,000","836 Miller Street,",ALBURY NSW 2640,House,6,3,2,568m² ,01 Aug 2023
"875,000","638 Yambla Avenue,",ALBURY NSW 2640,House,3,1,1,942m² ,20 Jul 2023
"920,000","739 Yambla Place,",ALBURY NSW 2640,House,4,2,2,854m² ,14 Jul 2023
"610,000","684 Holmwood Cross,",ALBURY NSW 2640,House,2,1,2,689m² ,12 Jul 2023
"367,500 ","1/750 Macauley,",ALBURY NSW 2640,House,2,1,1,119m² ,03 Jul 2023
"1,160,000","523 Guinea Street,",ALBURY NSW 2640,House,4,2,3,569m² ,2023
"1,700,000","2 Vincent Place,",ALBURY NSW 2640,House,3,2,3,"1,222m² ",30 Jun 2023
"680,000","536 Nathan Avenue,",ALBURY NSW 2640,House,3,2,2,955m² ,9 Jun 2023
"545,000","752 Pemberton Street,",ALBURY NSW 2640,House,2,1,1,736m² ,2023
"680,000","590 Paine Street,",ALBURY NSW 2640,House,3,1,1,556m² ,05 Jun 2023
"778,200","686 Morningside Place,",ALBURY NSW 2640,House,3,2,1,759m² ,05 Jun 2023
"850,000 ","590 Affleck Street,",ALBURY NSW 2640,House,4,3,−,942m² ,02 Jun 2023
"1,075,000 ","608 Sackville Street,",ALBURY NSW 2640,House,4,2,4,"1,137m² ",01 Jun 2023
"2,210,000","634 Grafton Street,",ALBURY NSW 2640,House,5,2,3,"1,430m² ",19 May 2023
"890,000","527 Guinea Street,",ALBURY NSW 2640,House,3,2,1,569m² ,18 May 2023
"825,000","611 Stanley Street,",ALBURY NSW 2640,House,3,1,2,554m² ,2023
"1,100,000","676 Jones Street,",ALBURY NSW 2640,House,4,2,3,856m² ,2023
"550,000","592 Poole Street,",ALBURY NSW 2640,House,3,1,−,422m² ,14 Apr 2023
"890,000","658 Kiewa Street,",ALBURY NSW 2640,House,3,1,1,491m² ,12 Apr 2023
"1,175,000","735 Jones Street,",ALBURY NSW 2640,House,4,2,1,731m² ,2023
"545,000","721 Wandoo Crescent,",ALBURY NSW 2640,House,2,1,1,645m² ,2023
"1,450,000","741 Pemberton Street,",ALBURY NSW 2640,House,5,2,2,"1,391m² ",29 Mar 2023
"1,030,000","748 Young Street,",ALBURY NSW 2640,House,3,2,1,"1,567m² ",2023
"890,000","515 George Street,",ALBURY NSW 2640,House,4,2,1,710m² ,22 Mar 2023
"925,000","426 Crisp Street,",ALBURY NSW 2640,House,5,3,2,564m² ,02 Mar 2023
"770,000 ","770 Randle Crescent,",ALBURY NSW 2640,House,3,1,3,873m² ,28 Feb 2023
"655,000 ","682 Morningside Place,",ALBURY NSW 2640,House,3,2,2,784m² ,2023
"900,000 ","640 Wyse St,",ALBURY NSW 2640,House,4,2,2,773m² ,24 Feb 2023
"710,000","735 Vine Street,",ALBURY NSW 2640,House,3,1,1,633m² ,16 Feb 2023
"850,000","405 David Street,",ALBURY NSW 2640,House,3,1,2,513m² ,14 Feb 2023
"775,000","594 Lindsay Avenue,",ALBURY NSW 2640,House,3,1,1,971m² ,14 Feb 2023
"910,000","478 George Street,",ALBURY NSW 2640,House,4,1,2,585m² ,2023
"860,000","596 Queen Street,",ALBURY NSW 2640,House,4,3,2,916m² ,08 Feb 2023
