Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"390,000","5/529 Kiewa Place,",ALBURY NSW 2640,Apartment / Unit / Flat,2,1,1,115m² ,15 Mar 2024
"425,000 ","425 North Street,",ALBURY NSW 2640,Vacant land,0,0,0,477m² ,16 Feb 2024
"360,000","2/441 Perry Street,",ALBURY NSW 2640,Apartment / Unit / Flat,2,1,1,145m² ,22 Jan 2024
"345,000 ","2/714 Alma Street,",ALBURY NSW 2640,Apartment / Unit / Flat,2,1,2,"1,321m² ",22 Jan 2024
"1,330,000 ","1/757 Peel Street,",ALBURY NSW 2640,Townhouse,4,2,2,330m² ,2023
"320,000","10/436 Macauley Street,",ALBURY NSW 2640,Apartment / Unit / Flat,1,1,1,109m² ,6 Oct 2023
"500,000","12 Elderslie Rise,",ALBURY NSW 2640,Vacant land,0,0,0,455m² ,16 Aug 2023
"650,000 ","1 Vincent Place,",ALBURY NSW 2640,Vacant land,0,0,0,544m² ,2023
"530,000","793 Pemberton Street,",ALBURY NSW 2640,Vacant land,0,0,0,"1,531m² ",11 May 2023
"570,000 ","571 Affleck Street,",ALBURY NSW 2640,Vacant land,0,0,0,735m² ,03 May 2023
"500,000","1/691 Boyes Crescent,",ALBURY NSW 2640,Townhouse,2,1,1,219m² ,22 Dec 2022
"613,000 ","2/543 Paine Street,",ALBURY NSW 2640,Townhouse,3,1,1,269m² ,12 Oct 2022
"415,000 ","14/746 Wood Street,",ALBURY NSW 2640,Townhouse,2,1,1,168m² ,11 Jul 2022
"810,000 ","6/553 Smollett Street,",ALBURY NSW 2640,Apartment / Unit / Flat,3,2,2,235m² ,2022
"450,000","6/616 Stanley Street,",ALBURY NSW 2640,Apartment / Unit / Flat,2,1,1,150m² ,13 Apr 2022
"367,000 ","14/436 Macauley Street,",ALBURY NSW 2640,Apartment / Unit / Flat,2,1,1,108m² ,2022
"721,000 ","682 Jones Street,",ALBURY NSW 2640,Vacant land,0,0,0,815m² ,2022
"505,000","8 Elderslie Rise,",ALBURY NSW 2640,Vacant land,0,0,0,456m² ,01 Apr 2022
"1,400,000 ","693 Holmwood Crs,",ALBURY NSW 2640,New land,0,0,0,"1,765m² ",17 Mar 2022
"735,000","562 Thurgoona Street,",ALBURY NSW 2640,Townhouse,3,1,2,543m² ,15 Mar 2022
"1,080,000","3/436 Olive Street,",ALBURY NSW 2640,Townhouse,3,2,2,287m² ,2022
"355,000 ","4/750 Macauley Street,",ALBURY NSW 2640,Apartment / Unit / Flat,2,1,1,110m² ,17 Feb 2022
"404,000","3/456 Crisp Street,",ALBURY NSW 2640,Block of units,2,1,1,140m² ,11 Dec 2021
"1,850,000 ","332 Tribune Street,",ALBURY NSW 2640,Block of units,18,8,8,"2,426m² ",07 Dec 2021
"350,000","2/531 George Street,",ALBURY NSW 2640,Apartment / Unit / Flat,2,1,2,788m² ,06 Dec 2021
"457,000 ","1/572 Thurgoona Street,",ALBURY NSW 2640,Apartment / Unit / Flat,2,1,1,380m² ,2021
"2,100,000 ","674 David Street,",ALBURY NSW 2640,Vacant land,0,0,0,"2,708m² ",2021
"305,000 ","11/601 Wyse Street,",ALBURY NSW 2640,Apartment / Unit / Flat,2,1,1,202m² ,2021
"680,000 ","1-2/449 Hume Street,",ALBURY NSW 2640,Block of units,4,2,4,675m² ,26 Jul 2021
"659,000 ","2/536 Roper Street,",ALBURY NSW 2640,Townhouse,3,2,2,342m² ,30 Jun 2021
"425,000","2/451 Macauley Street,",ALBURY NSW 2640,Townhouse,2,1,1,259m² ,2021
"250,000","7/601 Wyse Street,",ALBURY NSW 2640,Apartment / Unit / Flat,2,1,1,131m² ,24 Feb 2021
