Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"1,150,000 ","118 Frank Street,",BALLARAT CENTRAL VIC 3350,House,3,2,2,613m² ,26 Apr 2024
"559,000 ","3 Doherty Close,",MOUNT CLEAR VIC 3350,House,3,2,2,535m² ,26 Apr 2024
"720,000 ","3 Bismark Court,",BROWN HILL VIC 3350,House,4,2,2,901m² ,24 Apr 2024
"450,000 ","25 Little Clyde Street,",SOLDIERS HILL VIC 3350,House,3,1,1,337m² ,24 Apr 2024
"460,000 ","707 Neill Street,",SOLDIERS HILL VIC 3350,House,2,1,1,296m² ,24 Apr 2024
"690,000 ","7 Insignia Boulevard,",ALFREDTON VIC 3350,House,3,2,5,561m² ,23 Apr 2024
"740,000 ","20 Mary Drive,",ALFREDTON VIC 3350,House,4,2,4,632m² ,23 Apr 2024
"485,000 ","607 Sebastopol Street,",REDAN VIC 3350,House,3,1,−,544m² ,23 Apr 2024
"405,000 ","11 Wicklow Drive,",INVERMAY PARK VIC 3350,House,3,1,−,908m² ,22 Apr 2024
"600,000 ","9 Topaz Street,",ALFREDTON VIC 3350,House,4,2,2,501m² ,20 Apr 2024
"290,000 ","513 York Street,",BALLARAT EAST VIC 3350,House,2,1,1,545m² ,20 Apr 2024
"750,000 ","87 Wexford Street,",ALFREDTON VIC 3350,House,4,2,2,635m² ,19 Apr 2024
"490,000 ","7 Castle Court,",BALLARAT EAST VIC 3350,House,3,1,2,"1,160m² ",19 Apr 2024
"585,200 ","904a Ligar Street,",BALLARAT NORTH VIC 3350,House,3,1,1,"1,432m² ",19 Apr 2024
"440,000 ","1104 Winter Street,",BUNINYONG VIC 3357,House,2,1,2,931m² ,19 Apr 2024
"820,000 ","14A Lofven Street,",NERRINA VIC 3350,House,4,2,2,452m² ,19 Apr 2024
"555,000 ","7 Brighton Court,",WENDOUREE VIC 3355,House,2,2,1,284m² ,19 Apr 2024
"690,000 ","128 Moola Street,",BALLARAT NORTH VIC 3350,House,3,2,5,947m² ,18 Apr 2024
"425,000 ","10/33 Tremain Drive,",LUCAS VIC 3350,House,2,2,1,192m² ,18 Apr 2024
"526,000 ","6 Ewart Close,",LUCAS VIC 3350,House,3,2,2,317m² ,18 Apr 2024
"580,000 ","20 Martland Street,",LUCAS VIC 3350,House,4,2,2,512m² ,18 Apr 2024
"305,000 ","42 Victoria Street,",SEBASTOPOL VIC 3356,House,2,1,2,786m² ,17 Apr 2024
"630,000 ","390 Greenhalghs Road,",WINTER VALLEY VIC 3358,House,4,2,2,630m² ,17 Apr 2024
"650,000 ","46 Signature Drive,",ALFREDTON VIC 3350,House,3,2,2,352m² ,16 Apr 2024
"510,000 ","12 Elmstone Lane,",LAKE GARDENS VIC 3355,House,3,2,3,351m² ,16 Apr 2024
"439,000 ","3532 Sunraysia Highway,",LEXTON VIC 3352,House,3,1,6,"4,048m² ",16 Apr 2024
"560,000 ","17 Dundas Street,",MINERS REST VIC 3352,House,5,2,2,"1,016m² ",16 Apr 2024
"440,000 ","21 Lawrence Street,",SEBASTOPOL VIC 3356,House,3,1,2,724m² ,16 Apr 2024
"445,000 ","48 Baudinette Drive,",SEBASTOPOL VIC 3356,House,3,2,2,316m² ,16 Apr 2024
"500,000 ","193 Tait Street,",SEBASTOPOL VIC 3356,House,4,2,2,540m² ,16 Apr 2024
"470,000 ","420 Ligar Street,",SOLDIERS HILL VIC 3350,House,3,1,1,801m² ,16 Apr 2024
"185,000 ","1203 Grevillea Road,",WENDOUREE VIC 3355,House,2,1,−,370m² ,16 Apr 2024
"630,000 ","21 Avoca Crescent,",ALFREDTON VIC 3350,House,4,3,2,830m² ,15 Apr 2024
"1,200,000 ","701 South Street,",BALLARAT CENTRAL VIC 3350,House,3,2,3,690m² ,15 Apr 2024
"575,000 ","11 Neway Avenue,",DELACOMBE VIC 3356,House,4,2,2,505m² ,15 Apr 2024
"480,000 ","45 Fraser Street,",MOUNT PLEASANT VIC 3350,House,4,2,2,360m² ,15 Apr 2024
"535,000 ","51 Nine Mile Road,",NAPOLEONS VIC 3352,House,3,1,3,"5,900m² ",15 Apr 2024
"250,000 ","151 Albert Street,",SEBASTOPOL VIC 3356,House,3,1,1,417m² ,15 Apr 2024
"415,000 ","4/216 Forest Street,",WENDOUREE VIC 3355,House,2,1,1,262m² ,14 Apr 2024
"445,000 ","611 Norman Street,",BALLARAT NORTH VIC 3350,House,2,1,1,298m² ,12 Apr 2024
"430,000 ","19 Madden Road,",CARDIGAN VILLAGE VIC 3352,House,3,1,3,783m² ,12 Apr 2024
"825,000 ","12 Yarra Gum Place,",MOUNT CLEAR VIC 3350,House,4,2,2,839m² ,12 Apr 2024
"845,000 ","12 Zoe Drive,",MOUNT HELEN VIC 3350,House,5,2,4,"1,117m² ",12 Apr 2024
"555,000 ","21 Daly Drive,",LUCAS VIC 3350,House,3,2,2,353m² ,11 Apr 2024
"550,000 ","5 Kimberley Drive,",WAUBRA VIC 3352,House,4,2,4,0,11 Apr 2024
"695,000 ","23 Merino Drive,",ALFREDTON VIC 3350,House,3,2,2,723m² ,10 Apr 2024
"840,000 ","7 Regal Drive,",ALFREDTON VIC 3350,House,4,2,3,420m² ,10 Apr 2024
"500,000 ","15 Lawrence Street,",ALFREDTON VIC 3350,House,4,1,2,607m² ,10 Apr 2024
"505,000 ","2/5 Penfold Close,",CANADIAN VIC 3350,House,3,2,2,282m² ,10 Apr 2024
"535,000 ","6 Darcy Drive,",MINERS REST VIC 3352,House,3,2,2,637m² ,10 Apr 2024
