Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"350,000 ","5 Cloud Close,",REDAN VIC 3350,Townhouse,2,1,1,236m² ,22 Apr 2024
"460,000 ","1/7 Valley View Court,",SEBASTOPOL VIC 3356,Apartment / Unit / Flat,3,2,1,327m² ,2024
"230,000 ","2 Valdes Avenue,",WINTER VALLEY VIC 3358,Vacant land,0,0,0,388m² ,19 Apr 2024
"375,000 ","2/4 Gordon Street,",BALLARAT EAST VIC 3350,Apartment / Unit / Flat,2,1,1,299m² ,18 Apr 2024
"430,000 ","1/38 Josephine Way,",SEBASTOPOL VIC 3356,Townhouse,3,2,2,435m² ,18 Apr 2024
"465,000 ","1/211 Kline Street,",BALLARAT EAST VIC 3350,Apartment / Unit / Flat,3,2,2,509m² ,17 Apr 2024
"575,000 ","1/114 Burnbank Street,",LAKE WENDOUREE VIC 3350,Townhouse,2,1,1,221m² ,15 Apr 2024
"318,000 ","3/1112 Howitt Street,",WENDOUREE VIC 3355,Apartment / Unit / Flat,2,1,1,205m² ,12 Apr 2024
"230,000 ","10 Observation Court,",BROWN HILL VIC 3350,Vacant land,0,0,0,698m² ,10 Apr 2024
"245,000 ","2 Cassowary Way,",WINTER VALLEY VIC 3358,Vacant land,0,0,0,503m² ,09 Apr 2024
"275,000 ","20 Casey Road,",SCARSDALE VIC 3351,Vacant land,0,0,0,0,04 Apr 2024
"320,000 ","Lot 30 Grevillea Drive,",ENFIELD VIC 3352,Vacant land,− 0,− 0,4,"9,761m² ",02 Apr 2024
"242,000 ","61 Cormorant Grange,",WINTER VALLEY VIC 3358,Vacant land,0,0,0,400m² ,02 Apr 2024
"535,000 ","2/216 Grant Street,",GOLDEN POINT VIC 3350,Apartment / Unit / Flat,4,2,1,262m² ,28 Mar 2024
"385,000 ","9/240 Lal Lal Street,",CANADIAN VIC 3350,Townhouse,3,2,2,369m² ,27 Mar 2024
"380,000 ","Drews Paddock/Lot 222 Wedge Circuit,",INVERMAY PARK VIC 3350,Vacant land,0,0,0,642m² ,26 Mar 2024
"372,000 ","Drews Paddock/Lot 223 Wedge Circuit,",INVERMAY PARK VIC 3350,Vacant land,0,0,0,560m² ,26 Mar 2024
"370,000 ","2/10 Wood Street,",SOLDIERS HILL VIC 3350,Apartment / Unit / Flat,2,1,1,158m² ,22 Mar 2024
"472,500 ","6 Bluegrass Way,",WINTER VALLEY VIC 3358,Vacant land,0,0,0,"3,818m² ",21 Mar 2024
"475,000 ","3 Zelkova Place,",LAKE GARDENS VIC 3355,Townhouse,3,2,1,243m² ,19 Mar 2024
"234,000 ","1 McNamee Boulevard,",LUCAS VIC 3350,Vacant land,0,0,0,342m² ,19 Mar 2024
"125,000 ","41 Battery Road,",DEREEL VIC 3352,Vacant land,0,0,0,"3,600m² ",18 Mar 2024
"310,000 ","53 Fawcett Road,",LUCAS VIC 3350,Vacant land,0,0,0,578m² ,15 Mar 2024
"330,000 ","3/1 Canterbury Street,",BROWN HILL VIC 3350,Apartment / Unit / Flat,2,1,1,334m² ,14 Mar 2024
"280,000 ","21 Martland Street,",LUCAS VIC 3350,Vacant land,0,0,0,480m² ,14 Mar 2024
"340,000 ","4 Sneddon Way,",LUCAS VIC 3350,Vacant land,0,0,0,665m² ,14 Mar 2024
"220,500 ","3/75 Cuthberts Road,",ALFREDTON VIC 3350,Apartment / Unit / Flat,1,1,1,209m² ,12 Mar 2024
"330,000 ","9/45 Otway Street South,",BALLARAT EAST VIC 3350,Townhouse,2,1,2,237m² ,12 Mar 2024
"575,000 ","1-3/54 Montgomery Street,",WENDOUREE VIC 3355,Apartment / Unit / Flat,3,3,3,670m² ,10 Mar 2024
"370,000 ","6/9 Horwood Drive,",CANADIAN VIC 3350,Townhouse,2,1,1,203m² ,08 Mar 2024
"285,000 ","12 Hubbard Street,",LUCAS VIC 3350,Vacant land,0,0,0,448m² ,08 Mar 2024
"280,000 ","35 Martland Street,",LUCAS VIC 3350,Vacant land,0,0,0,480m² ,06 Mar 2024
"337,000 ","Lot 216/64 Mary Drive,",ALFREDTON VIC 3350,Vacant land,0,0,0,713m² ,05 Mar 2024
"259,000 ","5B/5 Sanders Road,",CRESWICK NORTH VIC 3363,Vacant land,0,0,0,0,05 Mar 2024
"225,000 ","Lot 5 Swanson Road,",DEREEL VIC 3352,Vacant land,0,0,0,0,05 Mar 2024
"455,000","110 Sharrocks Road,",MOUNT EGERTON VIC 3352,Vacant land,0,0,0,0,04 Mar 2024
"240,000 ","52 Cormorant Grange,",WINTER VALLEY VIC 3358,Vacant land,0,0,0,392m² ,04 Mar 2024
"177,000 ","Lot 4 Burke Street,",SMYTHESDALE VIC 3351,Vacant land,0,0,0,583m² ,01 Mar 2024
"315,000 ","16 Blythen Road,",LUCAS VIC 3350,Vacant land,0,0,0,544m² ,29 Feb 2024
"257,000 ","8 Yolanda Street,",BONSHAW VIC 3352,Vacant land,0,0,0,480m² ,27 Feb 2024
"280,000 ","5 Carbery Way,",LUCAS VIC 3350,Vacant land,0,0,0,490m² ,26 Feb 2024
"270,000 ","18 Dakshina Court,",DELACOMBE VIC 3356,Vacant land,0,0,0,568m² ,23 Feb 2024
"345,000 ","4/430 Main Road,",GOLDEN POINT VIC 3350,Townhouse,2,1,1,108m² ,23 Feb 2024
"385,000 ","117B Lonsdale Street,",REDAN VIC 3350,Townhouse,2,1,1,222m² ,21 Feb 2024
"247,500 ","42 Glendenning Street,",CANADIAN VIC 3350,Vacant land,0,0,0,404m² ,20 Feb 2024
"719,000 ","2/506 Wendouree Parade,",LAKE WENDOUREE VIC 3350,Townhouse,3,1,2,257m² ,20 Feb 2024
"319,000 ","23 Quirk Road,",LUCAS VIC 3350,Vacant land,0,0,0,640m² ,20 Feb 2024
"305,000 ","5/118 Grant Street,",SEBASTOPOL VIC 3356,Apartment / Unit / Flat,2,1,1,188m² ,19 Feb 2024
"320,000 ","2/9d Nijams Road,",MAGPIE VIC 3352,Vacant land,0,0,0,0,15 Feb 2024
"375,000 ","Drews Paddock/Lot 208 Divot Court,",INVERMAY PARK VIC 3350,Vacant land,0,0,0,564m² ,14 Feb 2024
"220,000 ","7 Browns Road,",SMYTHESDALE VIC 3351,Vacant land,0,0,0,759m² ,12 Feb 2024
"375,000","90 Miners Hut Road,",SMYTHESDALE VIC 3351,Vacant land,0,0,0,0,09 Feb 2024
"240,000 ","74 Bliss Road,",DEREEL VIC 3352,Vacant land,0,0,0,0,07 Feb 2024
"206,000 ","Lot 10/200 Grant Street,",SEBASTOPOL VIC 3356,Vacant land,0,0,0,301m² ,06 Feb 2024
"345,000 ","16/809 Wilson Street,",BALLARAT EAST VIC 3350,Vacant land,0,0,0,830m² ,05 Feb 2024
"250,000 ","1/29 Carpenter Street,",WENDOUREE VIC 3355,Apartment / Unit / Flat,2,1,1,124m² ,02 Feb 2024
"300,000 ","6/418 Joseph Street,",CANADIAN VIC 3350,Apartment / Unit / Flat,2,1,1,168m² ,01 Feb 2024
"322,500","2 June Court,",BALLARAT EAST VIC 3350,Vacant land,0,0,0,829m² ,31 Jan 2024
"365,000 ","122 Little Dodds Street,",GOLDEN POINT VIC 3350,Townhouse,2,1,1,241m² ,31 Jan 2024
"350,000 ","2/1 Adela Street,",WENDOUREE VIC 3355,Apartment / Unit / Flat,2,1,1,252m² ,29 Jan 2024
"245,500 ","3/217 Ripon Street South,",BALLARAT CENTRAL VIC 3350,Apartment / Unit / Flat,1,1,1,58m² ,24 Jan 2024
"389,000 ","310B Joseph Street,",CANADIAN VIC 3350,Townhouse,2,1,1,415m² ,24 Jan 2024
"410,000 ","Drews Paddock/Lot 227 Wellard Boulevard,",INVERMAY PARK VIC 3350,Vacant land,0,0,0,608m² ,24 Jan 2024
"175,000 ","Lot 8 Scarsdale-Pitfield Road,",SCARSDALE VIC 3351,Vacant land,0,0,0,"1,647m² ",24 Jan 2024
"320,000 ","2/118 Albert Street,",SEBASTOPOL VIC 3356,Apartment / Unit / Flat,2,1,2,145m² ,23 Jan 2024
"380,000 ","1/26 Stawell Street South,",EUREKA VIC 3350,Apartment / Unit / Flat,3,1,1,258m² ,22 Jan 2024
"385,000 ","Drews Paddock/Lot 220 Wedge Circuit,",INVERMAY PARK VIC 3350,Vacant land,0,0,0,608m² ,18 Jan 2024
"315,000","16 Tristan Drive,",SEBASTOPOL VIC 3356,Townhouse,2,1,1,186m² ,18 Jan 2024
"220,000 ","6 Revelstoke Way,",WINTER VALLEY VIC 3358,Vacant land,0,0,0,486m² ,18 Jan 2024
"290,000 ","Lot 3 25 McIntoshs Lane,",SNAKE VALLEY VIC 3351,Vacant land,0,0,0,0,15 Jan 2024
"460,000 ","7 Gala Close,",BROWN HILL VIC 3350,Vacant land,0,0,0,"2,213m² ",12 Jan 2024
"360,000 ","4/1112 Howitt Street,",WENDOUREE VIC 3355,Apartment / Unit / Flat,2,1,2,194m² ,11 Jan 2024
"375,000 ","8 Russell Street,",BUNINYONG VIC 3357,Vacant land,0,0,0,800m² ,10 Jan 2024
"495,000 ","Drews Paddock/Lot 217 Wellard Boulevard,",INVERMAY PARK VIC 3350,Vacant land,0,0,0,807m² ,10 Jan 2024
"215,000","2/1110 Howitt Street,",WENDOUREE VIC 3355,Apartment / Unit / Flat,1,1,1,113m² ,10 Jan 2024
"300,000 ","32 Illana Street,",BROWN HILL VIC 3350,Vacant land,0,0,0,915m² ,09 Jan 2024
"220,000 ","2/11 Vale Street,",ALFREDTON VIC 3350,Apartment / Unit / Flat,1,1,1,81m² ,08 Jan 2024
"305,000 ","9 June Court,",BALLARAT EAST VIC 3350,Vacant land,0,0,0,696m² ,08 Jan 2024
"310,000 ","Lot 225/70 Webb Road,",BONSHAW VIC 3352,Vacant land,0,0,0,512m² ,02 Jan 2024
"785,000 ","126 Canterbury Street,",BROWN HILL VIC 3350,Vacant land,0,0,0,"2,401m² ",02 Jan 2024
"250,000 ","520 Conroy's Green,",WINTER VALLEY VIC 3358,Vacant land,0,0,0,400m² ,29 Dec 2023
"285,000 ","7 Lugano Avenue,",ALFREDTON VIC 3350,Vacant land,0,0,0,516m² ,22 Dec 2023
"340,000 ","6 June Court,",BALLARAT EAST VIC 3350,Vacant land,0,0,0,731m² ,22 Dec 2023
"325,000 ","6 Hutchinson Drive,",LUCAS VIC 3350,Vacant land,0,0,0,629m² ,22 Dec 2023
"192,500 ","Lot 2 Burke Street,",SMYTHESDALE VIC 3351,Vacant land,0,0,0,627m² ,22 Dec 2023
"285,000 ","4/1005 SOUTH STREET,",BALLARAT CENTRAL VIC 3350,Apartment / Unit / Flat,2,1,1,146m² ,21 Dec 2023
"225,000 ","24 Withers Road,",BONSHAW VIC 3352,Vacant land,0,0,0,316m² ,21 Dec 2023
"410,000 ","Drews Paddock/Lot 227 Wellard Boulevard,",INVERMAY PARK VIC 3350,Vacant land,0,0,0,608m² ,21 Dec 2023
"156,500 ","Lot 3 Burke Street,",SMYTHESDALE VIC 3351,Vacant land,0,0,0,472m² ,21 Dec 2023
"170,000 ","1A Phillip Street,",CRESWICK VIC 3363,Vacant land,0,0,0,605m² ,20 Dec 2023
"260,000 ","34 Rance Road,",DELACOMBE VIC 3356,Vacant land,0,0,0,501m² ,20 Dec 2023
"975,000 ","Lot 6 Monteville Court,",WARRENHEIP VIC 3352,Vacant land,0,0,0,0,20 Dec 2023
"490,000 ","Moonlight Road,",ILLABAROOK VIC 3351,Vacant land,0,0,0,0,19 Dec 2023
"300,000 ","Lot 24/194 Ballarat Carngham Road,",ALFREDTON VIC 3350,Vacant land,0,0,0,533m² ,17 Dec 2023
"400,000 ","910a Eureka Street,",BALLARAT EAST VIC 3350,Vacant land,0,0,0,"4,219m² ",15 Dec 2023
"620,000 ","23 Rodier Street,",EUREKA VIC 3350,Vacant land,0,0,0,"5,460m² ",15 Dec 2023
"483,000 ","1/177a Howe Street,",MINERS REST VIC 3352,Townhouse,3,2,2,322m² ,13 Dec 2023
"227,500 ","1/424 Forest Street,",WENDOUREE VIC 3355,Apartment / Unit / Flat,2,1,1,227m² ,2023
"375,000 ","27 Foreshore Road,",LEARMONTH VIC 3352,Vacant land,0,0,0,"1,261m² ",11 Dec 2023
"755,000 ","1B/18 Wendouree Parade,",LAKE WENDOUREE VIC 3350,Apartment / Unit / Flat,2,2,2,99m² ,05 Dec 2023
"975,000 ","Lot 5a Ted Lyons Road,",NAVIGATORS VIC 3352,Vacant land,0,0,0,0,04 Dec 2023
"300,000 ","24/846 Eureka Street,",BALLARAT EAST VIC 3350,Vacant land,0,0,0,684m² ,01 Dec 2023
"440,000 ","4/511 York Street,",BALLARAT EAST VIC 3350,Townhouse,3,2,2,422m² ,01 Dec 2023
"310,000 ","2/36 Albion Street,",SEBASTOPOL VIC 3356,Apartment / Unit / Flat,3,1,1,288m² ,01 Dec 2023
"600,000 ","2/522 Mair Street,",BALLARAT CENTRAL VIC 3350,Townhouse,3,1,1,204m² ,30 Nov 2023
"350,000 ","25 Carbery Way,",LUCAS VIC 3350,Vacant land,0,0,0,598m² ,30 Nov 2023
"350,000 ","8 Yarra Gum Place,",MOUNT CLEAR VIC 3350,Vacant land,0,0,0,697m² ,30 Nov 2023
"420,000 ","Lot 2 Doodts Road,",NERRINA VIC 3350,Vacant land,0,0,0,0,29 Nov 2023
"190,000 ","11E Greenwoods Lane,",NEWTOWN VIC 3351,Vacant land,0,0,0,0,29 Nov 2023
"305,000","10 Home Valley Chase,",BROWN HILL VIC 3350,Vacant land,0,0,0,958m² ,28 Nov 2023
"500,000 ","20 Steinfeld Street South,",GOLDEN POINT VIC 3350,Apartment / Unit / Flat,2,2,1,255m² ,27 Nov 2023
"295,000 ","4/4 Hopkins Court,",SEBASTOPOL VIC 3356,Townhouse,2,1,1,154m² ,27 Nov 2023
"360,000 ","3 Cluden Gardens,",SEBASTOPOL VIC 3356,Apartment / Unit / Flat,2,1,1,312m² ,2023
"365,000 ","54 Mary Drive,",ALFREDTON VIC 3350,Vacant land,0,0,0,639m² ,24 Nov 2023
"395,000 ","99C Wongerer Lane,",HADDON VIC 3351,Vacant land,0,0,0,0,24 Nov 2023
"225,000 ","Lot 22 Stones Road,",DEREEL VIC 3352,Vacant land,0,0,0,0,23 Nov 2023
"355,000 ","Lot 27, 15 Cope Street,",SCARSDALE VIC 3351,Vacant land,0,0,0,0,22 Nov 2023
"177,000 ","18 Cypress Avenue,",WENDOUREE VIC 3355,Vacant land,0,0,0,639m² ,22 Nov 2023
"252,000 ","ALTO/Lot 139 Vivid Street,",WINTER VALLEY VIC 3358,Vacant land,0,0,0,287m² ,22 Nov 2023
"310,000 ","1/46 Spencer Street,",SEBASTOPOL VIC 3356,Apartment / Unit / Flat,2,1,1,289m² ,21 Nov 2023
"175,000 ","Lot 1 Burke Street,",SMYTHESDALE VIC 3351,Vacant land,0,0,0,549m² ,21 Nov 2023
"410,000 ","6A Hazel Road,",WENDOUREE VIC 3355,Apartment / Unit / Flat,2,2,1,312m² ,19 Nov 2023
"325,000 ","3/403 Rubicon Street,",SEBASTOPOL VIC 3356,Apartment / Unit / Flat,2,1,1,170m² ,17 Nov 2023
