Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"495,000 ","2 Buller Street,",BENDIGO VIC 3550,House,2,1,2,274m² ,23 Apr 2024
"600,000 ","222 King Street,",BENDIGO VIC 3550,House,3,1,2,340m² ,30 Mar 2024
"1,300,000 ","12 Frederick Street,",BENDIGO VIC 3550,House,4,2,2,797m² ,20 Mar 2024
"610,000 ","200 Queen Street,",BENDIGO VIC 3550,House,2,1,1,488m² ,07 Mar 2024
"470,000","143 Barnard Street,",BENDIGO VIC 3550,House,3,1,2,455m² ,01 Mar 2024
"865,000 ","166 Queen Street,",BENDIGO VIC 3550,House,3,1,6,620m² ,29 Feb 2024
"470,000 ","223 McCrae Street,",BENDIGO VIC 3550,House,2,1,1,523m² ,27 Feb 2024
"450,000","1 Cornish St,",BENDIGO VIC 3550,House,3,1,2,488m² ,27 Feb 2024
"430,000 ","13/83-87 Arnold Street,",BENDIGO VIC 3550,House,2,2,2,80m² ,13 Feb 2024
"1,200,000 ","559 Hargreaves Street,",BENDIGO VIC 3550,House,4,2,2,880m² ,12 Feb 2024
"795,000 ","37 Old Violet Street,",BENDIGO VIC 3550,House,3,1,−,383m² ,08 Feb 2024
"530,000 ","129 Lily Street,",BENDIGO VIC 3550,House,3,2,1,475m² ,08 Feb 2024
"1,660,000 ","75 Wills Street,",BENDIGO VIC 3550,House,5,3,4,980m² ,07 Feb 2024
"660,000 ","1 Caledonia Street,",BENDIGO VIC 3550,House,3,1,2,620m² ,06 Feb 2024
"440,000 ","44 Drought Street,",BENDIGO VIC 3550,House,3,1,4,461m² ,02 Feb 2024
"680,000 ","26 Barkly Street,",BENDIGO VIC 3550,House,3,1,2,412m² ,01 Feb 2024
"600,000 ","40 Curtin Street,",BENDIGO VIC 3550,House,3,2,2,552m² ,12 Jan 2024
"400,000 ","89 Brougham Street,",BENDIGO VIC 3550,House,2,1,1,323m² ,10 Jan 2024
"750,000 ","542 Hargreaves Street,",BENDIGO VIC 3550,House,4,2,4,895m² ,09 Jan 2024
"890,000 ","77 Brougham Street,",BENDIGO VIC 3550,House,3,2,2,423m² ,04 Jan 2024
"600,000","34 Arnold Street,",BENDIGO VIC 3550,House,3,1,2,435m² ,20 Dec 2023
"608,000 ","501 Hargreaves Street,",BENDIGO VIC 3550,House,4,1,2,581m² ,15 Dec 2023
"450,000 ","212 McCrae Street,",BENDIGO VIC 3550,House,3,2,2,307m² ,12 Dec 2023
"650,000 ","55 Bayne Street,",BENDIGO VIC 3550,House,3,2,2,"1,005m² ",11 Dec 2023
"461,000","86 Hargreaves Street,",BENDIGO VIC 3550,House,3,1,1,275m² ,2023
"605,000 ","352 Napier Street,",BENDIGO VIC 3550,House,3,1,6,985m² ,07 Dec 2023
"625,000 ","208 Mccrae Street,",BENDIGO VIC 3550,House,3,2,1,360m² ,05 Dec 2023
"540,000 ","138 Violet Street,",BENDIGO VIC 3550,House,3,1,2,429m² ,04 Dec 2023
"730,000 ","240 Napier Street,",BENDIGO VIC 3550,House,3,2,2,619m² ,2023
"1,100,000 ","236 Wattle Street,",BENDIGO VIC 3550,House,4,2,3,560m² ,30 Nov 2023
"410,000 ","12 Cornish Street,",BENDIGO VIC 3550,House,3,1,−,689m² ,29 Nov 2023
"460,000 ","11 Hustlers Road,",BENDIGO VIC 3550,House,3,1,1,713m² ,16 Nov 2023
"1,035,000","17 Abbott Street,",BENDIGO VIC 3550,House,4,3,1,592m² ,16 Nov 2023
"780,000","4 Wilkie Street,",BENDIGO VIC 3550,House,3,2,2,756m² ,10 Nov 2023
"1,500,000","44 Myers Street,",BENDIGO VIC 3550,House,4,3,7,"1,208m² ",09 Nov 2023
"500,000 ","322 View Street,",BENDIGO VIC 3550,House,3,1,1,560m² ,02 Nov 2023
"1,325,000 ","172 Don Street,",BENDIGO VIC 3550,House,4,3,2,"1,012m² ",26 Oct 2023
"825,000 ","34 Rowan Street,",BENDIGO VIC 3550,House,4,1,2,448m² ,24 Oct 2023
"540,000 ","142 Violet Street,",BENDIGO VIC 3550,House,4,1,2,799m² ,17 Oct 2023
"420,000","153 Arnold St,",BENDIGO VIC 3550,House,1,1,−,985m² ,16 Oct 2023
"1,050,000 ","129 Forest Street,",BENDIGO VIC 3550,House,5,2,1,570m² ,14 Oct 2023
"480,000 ","19 McClure Street,",BENDIGO VIC 3550,House,3,1,2,"1,249m² ",12 Oct 2023
"425,000 ","29 Anderson Street,",BENDIGO VIC 3550,House,3,1,2,640m² ,10 Oct 2023
"590,000","56A Hargreaves St,",BENDIGO VIC 3550,House,2,2,1,166m² ,06 Oct 2023
"532,500 ","5 Bannerman Street,",BENDIGO VIC 3550,House,3,2,2,733m² ,29 Sep 2023
"1,780,000 ","71 Rowan Street,",BENDIGO VIC 3550,House,4,2,3,"1,017m² ",26 Sep 2023
"435,000","89 Wills Street,",BENDIGO VIC 3550,House,2,1,−,357m² ,22 Sep 2023
"778,000 ","1 & 2/114 King Street,",BENDIGO VIC 3550,House,4,2,2,668m² ,22 Sep 2023
"450,000 ","1A Ironbark Road,",BENDIGO VIC 3550,House,3,1,1,294m² ,19 Sep 2023
"680,000 ","28 Buckley Street,",BENDIGO VIC 3550,House,3,1,4,584m² ,18 Sep 2023
"587,000 ","8 Smith Street,",BENDIGO VIC 3550,House,3,1,1,900m² ,15 Sep 2023
"920,000 ","70 Thistle Street,",BENDIGO VIC 3550,House,3,2,4,635m² ,14 Sep 2023
"265,000","15 Milroy Street,",BENDIGO VIC 3550,House,2,1,−,301m² ,06 Sep 2023
"610,000 ","2/19 Havelock Street,",BENDIGO VIC 3550,House,3,2,1,341m² ,04 Sep 2023
"425,000","217 Forest Street,",BENDIGO VIC 3550,House,3,2,4,379m² ,2023
"500,000 ","18 Broom Street,",BENDIGO VIC 3550,House,3,2,2,320m² ,17 Aug 2023
"655,000 ","1/185 King Street,",BENDIGO VIC 3550,House,3,3,2,243m² ,04 Aug 2023
"515,000 ","3 Atkinson Street,",BENDIGO VIC 3550,House,2,1,1,302m² ,03 Aug 2023
"520,000","102 Mollison St,",BENDIGO VIC 3550,House,2,1,1,210m² ,28 Jul 2023
"347,000 ","12 Cornish Street,",BENDIGO VIC 3550,House,3,1,−,697m² ,26 Jul 2023
"527,500 ","1 Forest Lane,",BENDIGO VIC 3550,House,2,1,1,124m² ,24 Jul 2023
"925,000 ","5 Rowan Street,",BENDIGO VIC 3550,House,4,2,1,202m² ,20 Jul 2023
"700,000 ","159 Queen Street,",BENDIGO VIC 3550,House,3,1,2,555m² ,19 Jul 2023
"490,000 ","8 Marks Street,",BENDIGO VIC 3550,House,3,1,2,452m² ,18 Jul 2023
"464,750 ","19 Honeysuckle Street,",BENDIGO VIC 3550,House,3,1,1,494m² ,17 Jul 2023
"640,000 ","16 Albert Street,",BENDIGO VIC 3550,House,2,1,−,165m² ,03 Jul 2023
"527,500 ","49 Honeysuckle Street,",BENDIGO VIC 3550,House,3,1,1,646m² ,27 Jun 2023
"435,000 ","12 Albert Street,",BENDIGO VIC 3550,House,2,1,1,338m² ,26 Jun 2023
"430,000","129 King Street,",BENDIGO VIC 3550,House,3,1,2,526m² ,2023
"775,000 ","78A Barkly Street,",BENDIGO VIC 3550,House,2,2,1,416m² ,23 Jun 2023
"620,000 ","152 Violet Street,",BENDIGO VIC 3550,House,2,2,2,312m² ,18 Jun 2023
"645,000 ","85 Garsed Street,",BENDIGO VIC 3550,House,3,3,6,595m² ,2023
"1,100,000 ","32 Hopper Street,",BENDIGO VIC 3550,House,4,2,2,700m² ,15 Jun 2023
"470,000 ","149 Mitchell Street,",BENDIGO VIC 3550,House,2,1,1,310m² ,06 Jun 2023
"680,000 ","145 Queen Street,",BENDIGO VIC 3550,House,3,1,2,589m² ,05 Jun 2023
"551,000","46 Myers Street,",BENDIGO VIC 3550,House,3,1,4,503m² ,02 Jun 2023
"537,500 ","220 Barnard Street,",BENDIGO VIC 3550,House,3,1,1,274m² ,24 May 2023
"675,000","76 Vine Street,",BENDIGO VIC 3550,House,3,1,−,382m² ,24 May 2023
"576,000 ","33 Abbott Street,",BENDIGO VIC 3550,House,4,1,1,337m² ,22 May 2023
"507,000 ","13 Rosalind Street,",BENDIGO VIC 3550,House,3,1,1,169m² ,16 May 2023
"720,000 ","10 Honeysuckle Street,",BENDIGO VIC 3550,House,3,3,1,383m² ,15 May 2023
"531,000 ","20 Havlin St W,",BENDIGO VIC 3550,House,3,1,1,661m² ,12 May 2023
"920,000 ","60 Arnold Street,",BENDIGO VIC 3550,House,4,2,2,519m² ,11 May 2023
"835,000 ","18 Abbott Street,",BENDIGO VIC 3550,House,3,2,2,"1,394m² ",10 May 2023
"750,000 ","38 Mafeking Street South,",BENDIGO VIC 3550,House,5,2,2,"1,102m² ",10 May 2023
"542,500 ","6 Smith Street,",BENDIGO VIC 3550,House,4,2,2,579m² ,05 May 2023
"430,000 ","19 Ironbark Road,",BENDIGO VIC 3550,House,3,1,1,625m² ,04 May 2023
"690,000 ","99 Vine Street,",BENDIGO VIC 3550,House,3,1,1,602m² ,24 Apr 2023
"451,474 ","57 Arnold Street,",BENDIGO VIC 3550,House,3,1,1,350m² ,19 Apr 2023
"385,000 ","1/1A Bayne Street,",BENDIGO VIC 3550,House,2,1,2,204m² ,06 Apr 2023
"668,000 ","109 Casey Street,",BENDIGO VIC 3550,House,4,3,2,780m² ,28 Mar 2023
"875,000 ","103 Wills Street,",BENDIGO VIC 3550,House,5,1,8,676m² ,28 Mar 2023
"800,000 ","15 Palmerston Street,",BENDIGO VIC 3550,House,3,1,2,350m² ,20 Mar 2023
"418,000 ","8 Ironbark Road,",BENDIGO VIC 3550,House,3,1,2,608m² ,17 Mar 2023
"540,000 ","52 Uley Street,",BENDIGO VIC 3550,House,3,1,2,655m² ,27 Feb 2023
"697,517 ","241 View Street,",BENDIGO VIC 3550,House,4,1,−,308m² ,17 Feb 2023
"520,000 ","7 Thomas Street,",BENDIGO VIC 3550,House,2,1,1,823m² ,16 Feb 2023
"480,000 ","4 Buller Street,",BENDIGO VIC 3550,House,2,1,1,274m² ,08 Feb 2023
"1,070,000 ","76 Thistle Street,",BENDIGO VIC 3550,House,5,2,2,652m² ,30 Jan 2023
"1,700,000 ","33A Wills Street,",BENDIGO VIC 3550,House,5,2,3,441m² ,20 Jan 2023
"540,000 ","4 Hargreaves Street,",BENDIGO VIC 3550,House,4,1,4,693m² ,02 Jan 2023
"364,000 ","1 Frederick Street,",BENDIGO VIC 3550,House,2,1,2,407m² ,2022
"945,000 ","168 Rowan Street,",BENDIGO VIC 3550,House,3,1,2,488m² ,15 Dec 2022
"405,000 ","34 Duncan Street,",BENDIGO VIC 3550,House,3,1,1,234m² ,01 Dec 2022
"470,000 ","32 Milroy Street,",BENDIGO VIC 3550,House,3,1,2,627m² ,28 Nov 2022
"570,000 ","212 Forest Street,",BENDIGO VIC 3550,House,3,2,2,835m² ,25 Nov 2022
"1,505,000 ","72 MacKenzie Street,",BENDIGO VIC 3550,House,4,2,4,"1,092m² ",25 Nov 2022
"1,200,000 ","45 Honeysuckle Street,",BENDIGO VIC 3550,House,3,2,2,"1,445m² ",23 Nov 2022
"715,000 ","211 Barnard Street,",BENDIGO VIC 3550,House,3,1,1,290m² ,18 Nov 2022
"505,000 ","121 Lily Street,",BENDIGO VIC 3550,House,3,2,−,391m² ,16 Nov 2022
"475,000 ","18 Buckley Street,",BENDIGO VIC 3550,House,3,1,2,"1,297m² ",11 Nov 2022
"360,000 ","2/113 Bridge Street,",BENDIGO VIC 3550,House,2,1,1,60m² ,10 Nov 2022
"420,000 ","156 Don Street,",BENDIGO VIC 3550,House,2,1,1,460m² ,02 Nov 2022
"385,000 ","266 King Street,",BENDIGO VIC 3550,House,3,1,2,351m² ,31 Oct 2022
"1,300,000","478 Hargreaves Street,",BENDIGO VIC 3550,House,4,2,2,407m² ,30 Oct 2022
"710,000 ","66 Thistle Street,",BENDIGO VIC 3550,House,3,2,2,590m² ,28 Oct 2022
"1,290,000 ","98 Moore Street,",BENDIGO VIC 3550,House,5,2,2,"1,815m² ",2022
"1,000,000 ","64 Hargreaves Street,",BENDIGO VIC 3550,House,3,2,2,536m² ,14 Oct 2022
"1,290,000","203 King Street,",BENDIGO VIC 3550,House,4,2,2,964m² ,11 Oct 2022
"1,850,000 ","72 Rowan Street,",BENDIGO VIC 3550,House,4,2,3,"1,149m² ",10 Oct 2022
"720,000 ","81 Chapel Street,",BENDIGO VIC 3550,House,3,1,2,367m² ,03 Oct 2022
"683,000 ","199 McCrae Street,",BENDIGO VIC 3550,House,3,2,2,637m² ,12 Sep 2022
"1,120,000","70 Vine Street,",BENDIGO VIC 3550,House,4,2,2,876m² ,08 Sep 2022
"1,150,000 ","71 Forest Street,",BENDIGO VIC 3550,House,4,3,1,423m² ,08 Sep 2022
"835,000 ","24 Myall Street,",BENDIGO VIC 3550,House,3,2,2,480m² ,07 Sep 2022
"370,000 ","14 Redan Street,",BENDIGO VIC 3550,House,3,1,2,549m² ,06 Sep 2022
"648,000 ","5 Joseph Street,",BENDIGO VIC 3550,House,3,1,−,426m² ,06 Sep 2022
"555,000 ","2/443 Hargreaves Street,",BENDIGO VIC 3550,House,3,1,2,222m² ,05 Sep 2022
"815,000 ","17 Honeysuckle Street,",BENDIGO VIC 3550,House,4,1,2,"1,000m² ",03 Sep 2022
"740,000 ","19 Bobs Street,",BENDIGO VIC 3550,House,3,2,2,"1,058m² ",26 Aug 2022
"2,400,000","149 Wattle Street,",BENDIGO VIC 3550,House,4,2,2,"1,045m² ",25 Aug 2022
"528,000 ","144 Williamson Street,",BENDIGO VIC 3550,House,2,1,−,206m² ,23 Aug 2022
"580,000","126 Williamson Street,",BENDIGO VIC 3550,House,2,1,1,272m² ,22 Aug 2022
"415,000 ","10 McColl Street,",BENDIGO VIC 3550,House,3,1,2,538m² ,15 Aug 2022
"700,000 ","88 Barnard Street,",BENDIGO VIC 3550,House,2,1,1,558m² ,11 Aug 2022
"825,000 ","199 Queen Street,",BENDIGO VIC 3550,House,3,1,2,528m² ,08 Aug 2022
"875,000 ","16 McClure Street,",BENDIGO VIC 3550,House,4,2,2,471m² ,29 Jul 2022
"855,000 ","51 Myers Street,",BENDIGO VIC 3550,House,3,1,4,726m² ,28 Jul 2022
"395,000","70 Lily Street,",BENDIGO VIC 3550,House,2,1,1,464m² ,21 Jul 2022
"520,000 ","1B Buller Street,",BENDIGO VIC 3550,House,2,1,1,245m² ,12 Jul 2022
"530,000 ","20 Bright Street,",BENDIGO VIC 3550,House,2,2,1,162m² ,12 Jul 2022
"400,000 ","23 Harrison Street,",BENDIGO VIC 3550,House,3,1,1,362m² ,05 Jul 2022
"482,500 ","32B Nolan Street,",BENDIGO VIC 3550,House,2,1,1,264m² ,17 Jun 2022
"405,000","113 Lily Street,",BENDIGO VIC 3550,House,2,1,2,644m² ,16 Jun 2022
"1,150,000 ","30 Rowan Street,",BENDIGO VIC 3550,House,5,5,1,826m² ,15 Jun 2022
"475,000","6 Hill Street,",BENDIGO VIC 3550,House,3,1,1,929m² ,10 Jun 2022
"382,500","568 Hargreaves Street,",BENDIGO VIC 3550,House,2,1,1,309m² ,09 Jun 2022
