Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"1,050,000 ","145 Williamson Street & 5 Harcourt Street,",BENDIGO VIC 3550,Vacant land,0,0,0,"2,020m² ",2024
"315,000 ","124 King Street,",BENDIGO VIC 3550,Vacant land,0,0,0,247m² ,22 Feb 2024
"375,000 ","3/113 Bridge Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,2,1,1,60m² ,07 Feb 2024
"400,000","180 King Street,",BENDIGO VIC 3550,Vacant land,0,0,0,529m² ,10 Jan 2024
"400,000 ","1/12 Wortha Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,2,1,1,307m² ,28 Sep 2023
"396,000 ","2/42 Brougham Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,2,1,1,224m² ,05 Sep 2023
"575,000 ","6/2-4 Queen Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,2,1,1,633m² ,25 Aug 2023
"405,000 ","1/151 Williamson Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,2,1,1,292m² ,27 Jun 2023
"430,000 ","16A Bennett Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,3,1,1,360m² ,19 Jun 2023
"200,000 ","20 Hill Street,",BENDIGO VIC 3550,Vacant land,0,0,0,591m² ,20 May 2023
"322,000 ","91 Wills Street,",BENDIGO VIC 3550,Vacant land,0,0,0,337m² ,11 May 2023
"360,000 ","2/32 Arnold Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,2,1,1,176m² ,19 Apr 2023
"795,000 ","49 Hopetoun Street,",BENDIGO VIC 3550,Townhouse,2,2,1,258m² ,11 Apr 2023
"455,000 ","2/139 Rowan Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,2,1,1,187m² ,07 Feb 2023
"485,000 ","9/2-4 Queen Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,1,1,1,633m² ,20 Dec 2022
"410,000 ","4/16 Dooley Street,",BENDIGO VIC 3550,Townhouse,3,1,1,338m² ,12 Dec 2022
"375,000 ","1/117 Hargreaves Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,2,1,1,160m² ,25 Nov 2022
"480,000","4/213-215 McCrae Street,",BENDIGO VIC 3550,Townhouse,2,2,1,223m² ,22 Nov 2022
"556,000 ","8/2-4 Queen Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,2,1,1,633m² ,21 Nov 2022
"450,000 ","14 Havelock St,",BENDIGO VIC 3550,Vacant land,2,1,−,417m² ,09 Nov 2022
"670,000 ","11/2-4 Queen Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,2,1,1,633m² ,02 Nov 2022
"480,000 ","2 Buller Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,2,1,1,267m² ,04 Oct 2022
"660,000","2/9 Acacia Street,",BENDIGO VIC 3550,Townhouse,3,2,1,148m² ,27 Sep 2022
"320,000 ","201A McCrae Street,",BENDIGO VIC 3550,Vacant land,0,0,0,337m² ,19 Sep 2022
"465,000 ","2/2-4 Queen Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,2,1,1,633m² ,19 Sep 2022
"430,000 ","30 Arthur Street,",BENDIGO VIC 3550,Vacant land,0,0,0,274m² ,14 Sep 2022
"310,000 ","12A Niemann Street,",BENDIGO VIC 3550,Vacant land,0,0,0,401m² ,08 Sep 2022
"360,000 ","3/193 Queen Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,2,1,1,235m² ,01 Sep 2022
"600,000 ","36A Harpin Street,",BENDIGO VIC 3550,Townhouse,3,2,1,402m² ,30 Aug 2022
"727,000 ","114 Barnard Street,",BENDIGO VIC 3550,Townhouse,2,2,1,184m² ,25 Aug 2022
"300,000 ","316a Napier Street,",BENDIGO VIC 3550,Vacant land,0,0,0,316m² ,17 Aug 2022
"595,000 ","5/2-4 Queen Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,2,1,1,633m² ,11 Aug 2022
"510,000 ","12/2-4 Queen Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,2,1,1,633m² ,19 Jul 2022
"390,000 ","2/3 Bailes Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,2,1,1,296m² ,21 Jun 2022
"320,000 ","318 Napier Street,",BENDIGO VIC 3550,Vacant land,0,0,0,300m² ,21 Jun 2022
"630,000 ","10/2-4 Queen Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,2,1,1,633m² ,17 Jun 2022
"500,000 ","3/2-4 Queen Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,1,1,1,633m² ,08 Jun 2022
"500,500 ","7/2-4 Queen Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,2,1,1,633m² ,06 Jun 2022
"585,000 ","1/2-4 Queen Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,2,1,1,633m² ,30 May 2022
"570,000","2/157 Mitchell Street,",BENDIGO VIC 3550,Apartment / Unit / Flat,3,2,2,268m² ,25 May 2022
