Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"375,000 ","705/347 Ann Street,",BRISBANE CITY QLD 4000,House,1,1,−,77m² ,17 Jan 2024
"310,000 ","706/108 Albert Street,",BRISBANE CITY QLD 4000,House,1,1,−,62m² ,27 Sep 2022
"774,000 ","45 Quay Street,",BRISBANE CITY QLD 4000,House,4,1,2,304m² ,2018
"1,392,000","56 Mountjoy Street,",BRISBANE CITY QLD 4000,House,4,3,2,253m² ,2014
"662,000","50 Belgrave St,",BRISBANE CITY QLD 4000,House,3,2,1,190m² ,2013
"1,030,000","33 Mountjoy Street,",BRISBANE CITY QLD 4000,House,3,1,−,339m² ,24 Feb 2013
"770,000","37 Belgrave Street,",BRISBANE CITY QLD 4000,House,3,2,1,177m² ,19 Feb 2013
"1,382,000","40 Mountjoy Street,",BRISBANE CITY QLD 4000,House,4,4,4,253m² ,15 Feb 2013
"1,960,000 ","16 Cranmore Street,",RED HILL QLD 4059,House,4,1,2,758m² ,24 Apr 2024
"1,560,000 ","9 Ambleside Street,",WEST END QLD 4101,House,3,1,3,283m² ,23 Apr 2024
"1,760,000 ","20 Glenrosa Road,",RED HILL QLD 4059,House,4,2,2,647m² ,2024
"3,100,000 ","149 Gregory Terrace,",SPRING HILL QLD 4000,House,4,3,2,202m² ,17 Apr 2024
"1,405,000 ","16 Pascal Street,",RED HILL QLD 4059,House,2,1,2,407m² ,15 Apr 2024
"1,150,000 ","15 Phipps Street,",EAST BRISBANE QLD 4169,House,2,1,1,405m² ,2024
"1,355,000 ","564 Vulture Street East,",EAST BRISBANE QLD 4169,House,5,2,1,539m² ,2024
"1,300,000 ","38 Wight Street,",MILTON QLD 4064,House,4,2,2,200m² ,05 Apr 2024
"1,441,000 ","31 Stafford Street,",EAST BRISBANE QLD 4169,House,2,1,2,354m² ,2 Apr 2024
"1,350,000 ","5 Franklin Street,",KELVIN GROVE QLD 4059,House,4,2,2,303m² ,02 Apr 2024
"1,320,500 ","11 Chapel Street,",PETRIE TERRACE QLD 4000,House,3,1,2,183m² ,02 Apr 2024
"1,690,000 ","7 Spring Street,",WEST END QLD 4101,House,3,1,1,455m² ,26 Mar 2024
"1,440,000 ","39 Macartney Street,",PADDINGTON QLD 4064,House,2,1,3,405m² ,25 Mar 2024
"1,681,000 ","59 Geelong Street,",EAST BRISBANE QLD 4169,House,4,2,2,354m² ,2024
"4,360,000 ","30 Collingwood Street,",PADDINGTON QLD 4064,House,6,3,2,845m² ,2024
