Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"390,000","705/108 Albert Street,",BRISBANE CITY QLD 4000,Apartment / Unit / Flat,1,1,−,58m² ,21 Mar 2024
"935,000 ","1602/92-100 Quay Street,",BRISBANE CITY QLD 4000,Apartment / Unit / Flat,3,2,2,122m² ,19 Mar 2024
"590,000 ","24/446 Ann Street,",BRISBANE CITY QLD 4000,Apartment / Unit / Flat,2,2,1,106m² ,16 Mar 2024
"3,550,000 ","412/30 Macrossan Street,",BRISBANE CITY QLD 4000,Apartment / Unit / Flat,3,2,5,315m² ,02 Mar 2024
"376,000 ","1005/151 George Street,",BRISBANE CITY QLD 4000,Apartment / Unit / Flat,1,1,−,68m² ,29 Feb 2024
"377,500 ","81/18 Tank Street,",BRISBANE CITY QLD 4000,Apartment / Unit / Flat,1,1,−,62m² ,27 Feb 2024
"390,000 ","92/18 Tank Street,",BRISBANE CITY QLD 4000,Apartment / Unit / Flat,1,1,−,69m² ,26 Feb 2024
"355,000 ","1402/21 Mary Street,",BRISBANE CITY QLD 4000,Apartment / Unit / Flat,1,1,−,60m² ,21 Feb 2024
"670,000 ","1107/108 Albert Street,",BRISBANE CITY QLD 4000,Apartment / Unit / Flat,2,2,1,87m² ,20 Feb 2024
"2,500,000 ","8803/222 Margaret Street,",BRISBANE CITY QLD 4000,Apartment / Unit / Flat,3,3,3,258m² ,20 Feb 2024
"425,000 ","35/482 Upper Roma Street,",BRISBANE CITY QLD 4000,Apartment / Unit / Flat,1,1,1,71m² ,14 Feb 2024
"620,000 ","2104/79 Albert Street,",BRISBANE CITY QLD 4000,Apartment / Unit / Flat,2,2,1,109m² ,14 Feb 2024
"773,000 ","L46/501 Adelaide Street,",BRISBANE CITY QLD 4000,Apartment / Unit / Flat,2,2,1,89m² ,02 Feb 2024
"472,000 ","1711/111 Mary Street,",BRISBANE CITY QLD 4000,Apartment / Unit / Flat,1,1,−,58m² ,29 Jan 2024
"365,000 ","2502/21 Mary Street,",BRISBANE CITY QLD 4000,Apartment / Unit / Flat,1,1,−,60m² ,24 Jan 2024
