Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"800,000 ","6 Turner Street,",BUNBURY WA 6230,House,4,2,2,452m² ,26 Mar 2024
"370,000 ","6/79 Stirling Street,",BUNBURY WA 6230,House,2,1,1,155m² ,23 Feb 2024
"580,000 ","15 Ednie Street,",BUNBURY WA 6230,House,2,1,3,339m² ,12 Feb 2024
"615,000 ","11 Reading Street,",BUNBURY WA 6230,House,3,1,1,608m² ,08 Feb 2024
"1,250,000 ","4 Karri Street,",BUNBURY WA 6230,House,4,3,3,"1,012m² ",06 Feb 2024
"1,060,000 ","9 Upper Esplanade,",BUNBURY WA 6230,House,3,1,2,809m² ,29 Jan 2024
"780,000 ","13 Tingle Street,",BUNBURY WA 6230,House,3,1,1,780m² ,12 Jan 2024
"776,000 ","2 Turner Street,",BUNBURY WA 6230,House,3,2,2,420m² ,09 Jan 2024
"437,000 ","1/17 Thomas Street,",BUNBURY WA 6230,House,3,1,2,281m² ,08 Jan 2024
"705,000 ","3 Jarrah Street,",BUNBURY WA 6230,House,4,2,2,779m² ,15 Dec 2023
"785,000 ","21 Ednie Street,",BUNBURY WA 6230,House,4,1,3,"1,136m² ",01 Dec 2023
"710,000 ","36 Simpson Avenue,",BUNBURY WA 6230,House,4,1,1,"1,059m² ",07 Nov 2023
"830,000 ","13/15 Parkfield Street,",BUNBURY WA 6230,House,3,2,2,303m² ,03 Nov 2023
"693,000 ","6 Garvey Place,",BUNBURY WA 6230,House,3,1,1,506m² ,19 Oct 2023
"700,000 ","18A Upper Esplanade,",BUNBURY WA 6230,House,3,2,4,497m² ,28 Sep 2023
"370,000 ","11B Sherry Street,",BUNBURY WA 6230,Semi-detached,2,1,1,361m² ,17 Sep 2023
"600,000 ",,BUNBURY WA 6230,House,3,2,−,380m² ,12 Sep 2023
"716,000 ","51 Charles Street,",BUNBURY WA 6230,House,3,3,2,715m² ,2023
"580,000 ","19 Ednie Street,",BUNBURY WA 6230,House,3,1,1,359m² ,17 Aug 2023
"885,000 ","18 Sampson Road,",BUNBURY WA 6230,House,3,2,2,680m² ,05 Aug 2023
"575,000 ","9/1 Victoria Street,",BUNBURY WA 6230,House,3,2,2,268m² ,11 Jul 2023
"835,000 ","6 Stanley Street,",BUNBURY WA 6230,House,4,2,2,346m² ,02 Jul 2023
