Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"445,000 ","2/5 Wittenoom Street,",BUNBURY WA 6230,Apartment / Unit / Flat,3,1,2,203m² ,19 Apr 2024
"570,000 ","28/11-19 Casuarina Drive,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,2,169m² ,16 Apr 2024
"525,000 ","7/7 Jetty Road,",BUNBURY WA 6230,Apartment / Unit / Flat,2,2,2,155m² ,12 Apr 2024
"493,000 ","4/18 Bonnefoi Boulevard,",BUNBURY WA 6230,Townhouse,3,2,2,227m² ,05 Apr 2024
"658,000 ","30/7 Jetty Road,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,2,160m² ,2024
"620,000 ","33/18-24 Bonnefoi Boulevard,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,1,162m² ,18 Mar 2024
"430,000 ","2/12 Clifton Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,1,89m² ,11 Mar 2024
"580,000 ","4/127 Stirling Street,",BUNBURY WA 6230,Townhouse,3,1,1,123m² ,07 Mar 2024
"721,000 ","1/11 Marlston Drive,",BUNBURY WA 6230,Townhouse,3,2,2,271m² ,22 Feb 2024
"545,000 ","19B Jarrah Street,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,2,263m² ,13 Feb 2024
"755,000 ","19A Marlston Drive,",BUNBURY WA 6230,Townhouse,3,3,1,234m² ,08 Feb 2024
"475,000 ","2/14 Sinclair Close,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,2,212m² ,07 Feb 2024
"570,000 ","5/16 Lyons Cove,",BUNBURY WA 6230,Townhouse,3,2,1,259m² ,05 Feb 2024
"470,000 ","19/23 Casuarina Drive,",BUNBURY WA 6230,Apartment / Unit / Flat,2,2,2,167m² ,29 Jan 2024
"550,000 ","4/7 Wollaston Street,",BUNBURY WA 6230,Townhouse,3,2,2,188m² ,15 Jan 2024
"345,000 ","6B Greensell Street,",BUNBURY WA 6230,Vacant land,0,0,0,495m² ,13 Jan 2024
"592,000 ","10/3 Clifton Street,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,2,231m² ,10 Jan 2024
"525,000 ","3/14 Sinclair Close,",BUNBURY WA 6230,Townhouse,3,2,2,238m² ,09 Dec 2023
"650,000 ","4/17 Ommanney Street,",BUNBURY WA 6230,Townhouse,3,2,2,300m² ,24 Nov 2023
"330,000 ","8/12 Clifton Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,1,89m² ,21 Nov 2023
"557,000 ","18/7 Jetty Road,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,2,182m² ,20 Nov 2023
"410,000 ","1/1 Money Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,1,303m² ,25 Oct 2023
"495,000 ","3/33 Carey Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,2,2,225m² ,20 Oct 2023
"550,000 ","2/16 Upper Esplanade,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,2,275m² ,16 Oct 2023
"592,000 ","3/25 Samuel Wright Street,",BUNBURY WA 6230,Townhouse,3,2,2,222m² ,2023
"670,000 ","2/7 Henry Street,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,2,318m² ,08 Oct 2023
"535,000 ","1/6A Clifton Street,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,1,397m² ,18 Sep 2023
"420,000 ","8c Sinclair Close,",BUNBURY WA 6230,Townhouse,3,2,2,191m² ,2023
"200,000 ","14B William Street,",BUNBURY WA 6230,Vacant land,0,0,0,509m² ,2023
"600,000 ","6/7 Wollaston Street,",BUNBURY WA 6230,Townhouse,3,2,2,217m² ,05 Aug 2023
"340,000 ","1/28 Strickland Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,2,158m² ,18 Jul 2023
"390,000 ","8/3 Harrison Place,",BUNBURY WA 6230,Apartment / Unit / Flat,3,1,1,97m² ,11 Jul 2023
"541,000 ","12/3 Clifton Street,",BUNBURY WA 6230,Townhouse,3,2,2,228m² ,22 Jun 2023
"505,000 ","3/45 Marlston Drive,",BUNBURY WA 6230,Townhouse,3,1,2,207m² ,04 Jun 2023
"307,500 ","9/142 Spencer Street,",BUNBURY WA 6230,Retirement Living,2,1,1,170m² ,2023
"445,000 ","4/31 Carey Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,2,2,225m² ,10 May 2023
"452,000 ","8/7 Jetty Road,",BUNBURY WA 6230,Apartment / Unit / Flat,2,2,2,155m² ,05 May 2023
"422,000 ","3/5 Carey Street,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,1,122m² ,02 May 2023
"310,000 ","4/14 Lyons Cove,",BUNBURY WA 6230,Apartment / Unit / Flat,2,2,1,121m² ,2023
"875,000 ","1 Prinsep Street,",BUNBURY WA 6230,Block of units,2,1,1,810m² ,28 Apr 2023
"465,000 ","4/11 Prinsep Street,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,1,155m² ,24 Apr 2023
"360,000 ","1B Forster Street,",BUNBURY WA 6230,Apartment / Unit / Flat,3,1,1,265m² ,21 Apr 2023
"390,000 ","4/5 Wittenoom Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,2,171m² ,07 Mar 2023
"300,000 ","9a Moore Street,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,−,210m² ,06 Mar 2023
"427,500 ","6/14 Upper Esplanade,",BUNBURY WA 6230,Townhouse,3,1,−,223m² ,06 Mar 2023
"397,500 ","3/1 Baudin Terrace,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,1,105m² ,06 Mar 2023
"447,000 ","28C Moore Street,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,2,583m² ,27 Feb 2023
"600,000 ","6 Stockley Road,",BUNBURY WA 6230,Vacant land,0,0,0,892m² ,13 Feb 2023
"357,000 ","2/23 Thomas Street,",BUNBURY WA 6230,Apartment / Unit / Flat,3,1,3,259m² ,07 Feb 2023
"440,000 ","18a Albert Road,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,2,363m² ,20 Jan 2023
"495,000 ","3/43 Marlston Drive,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,2,329m² ,05 Jan 2023
"452,500 ","9C Marlston Drive,",BUNBURY WA 6230,Townhouse,3,2,1,278m² ,29 Dec 2022
"335,000 ","9/13 Upper Esplanade,",BUNBURY WA 6230,Apartment / Unit / Flat,3,1,1,89m² ,20 Dec 2022
"480,000 ","1/19 Brewery Lane,",BUNBURY WA 6230,Townhouse,3,2,2,254m² ,2022
"690,000 ","2/97 Ocean Drive,",BUNBURY WA 6230,Townhouse,3,2,2,200m² ,12 Dec 2022
"430,000 ","2/14 Sinclair Close,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,2,212m² ,09 Dec 2022
"430,000 ","1/16 Wellington Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,2,288m² ,04 Nov 2022
"270,000 ","1A George Street,",BUNBURY WA 6230,Vacant land,0,0,0,415m² ,04 Nov 2022
"510,000 ","39/7 Jetty Road,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,2,166m² ,02 Nov 2022
"480,000 ","3/31 Marlston Drive,",BUNBURY WA 6230,Townhouse,3,2,2,234m² ,29 Oct 2022
"226,000 ","5/10 William Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,1,64m² ,17 Oct 2022
"726,000 ","10/97 Ocean Drive,",BUNBURY WA 6230,Townhouse,3,2,2,216m² ,14 Oct 2022
"315,000 ","22/13 Upper Esplanade,",BUNBURY WA 6230,Townhouse,3,1,2,89m² ,10 Oct 2022
"315,000 ","27/13 Upper Esplanade,",BUNBURY WA 6230,Apartment / Unit / Flat,3,1,1,89m² ,29 Sep 2022
"720,000 ","60 Marabank Loop,",BUNBURY WA 6230,Vacant land,0,0,0,429m² ,09 Sep 2022
"670,000 ","17/11 Prinsep Street,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,2,185m² ,09 Sep 2022
"325,000 ","6/12 Clifton Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,1,89m² ,04 Sep 2022
"375,000 ","2/12 Clifton Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,1,89m² ,15 Aug 2022
"365,000 ","5/5 Carey Street,",BUNBURY WA 6230,Townhouse,3,2,1,105m² ,26 Jul 2022
"295,000 ","Unit 21/13 Upper Esp,",BUNBURY WA 6230,Apartment / Unit / Flat,3,1,1,95m² ,25 Jul 2022
"355,000 ","21A Upper Esplanade,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,1,176m² ,29 Jun 2022
"315,000 ","10/105 OCEAN DRIVE,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,−,91m² ,05 Jun 2022
"402,500 ","6/1 Brewery Lane,",BUNBURY WA 6230,Apartment / Unit / Flat,3,1,1,201m² ,16 May 2022
"410,000 ","5/9 Carey Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,1,92m² ,11 May 2022
"795,000 ","2/2 Haydock Street,",BUNBURY WA 6230,Townhouse,4,2,2,400m² ,29 Apr 2022
"560,000 ","11/1 Bonnefoi Boulevard,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,2,150m² ,14 Apr 2022
"520,000 ","34/18 Bonnefoi Boulevard,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,2,172m² ,11 Apr 2022
"195,000 ","3/51 Moore Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,1,151m² ,25 Mar 2022
"205,000 ","6/21 Greensell Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,−,52m² ,23 Mar 2022
"320,000 ","1/28 Strickland Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,2,158m² ,14 Mar 2022
"315,000 ","7/79 Stirling Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,1,156m² ,07 Feb 2022
"367,500 ","7/5 Carey Street,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,1,116m² ,04 Feb 2022
"420,000 ","5/11 Prinsep Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,2,1,145m² ,15 Jan 2022
"240,000 ","7/3 GREENSELL STREET,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,1,96m² ,07 Jan 2022
"385,000 ","3/16 Acacia Street,",BUNBURY WA 6230,Apartment / Unit / Flat,3,2,2,297m² ,24 Dec 2021
"89,000 ","12C Stallard Place,",BUNBURY WA 6230,Apartment / Unit / Flat,1,1,1,105m² ,25 Nov 2021
"240,000 ","16A Clifton Street,",BUNBURY WA 6230,Vacant land,0,0,0,241m² ,25 Nov 2021
"195,000 ","4/21 Greensell Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,1,76m² ,15 Nov 2021
"429,000 ","6/11 Prinsep Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,2,1,147m² ,25 Oct 2021
"500,000 ","3/16 Upper Esplanade,",BUNBURY WA 6230,Townhouse,3,2,2,268m² ,06 Oct 2021
"460,000 ","2/16 Upper Esplanade,",BUNBURY WA 6230,Townhouse,3,2,2,275m² ,04 Oct 2021
"425,000 ","2/14 Carey Street,",BUNBURY WA 6230,Townhouse,3,2,2,276m² ,27 Aug 2021
"213,000 ","10/22 William Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,1,84m² ,27 Jul 2021
"205,000 ","2/12 Wellington Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,1,53m² ,17 Jul 2021
"320,000 ","4/127 Ocean Drive,",BUNBURY WA 6230,Apartment / Unit / Flat,3,1,1,255m² ,23 Jun 2021
"210,000 ","3/106 Strickland Street,",BUNBURY WA 6230,Apartment / Unit / Flat,2,1,1,293m² ,03 Jun 2021
