Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"450,000 ",,BUNDABERG QLD 4670,House,3,2,4,"5,000m² ",21 Jul 2021
"280,000 ","10 Murray Court,",BUNDABERG QLD 4670,House,4,2,1,642m² ,18 Sep 2014
"217,000 ","10 Finnis Street,",BUNDABERG QLD 4670,House,3,1,4,888m² ,18 Sep 2014
"329,000 ","5 Ernie Twyford Street,",BUNDABERG QLD 4670,House,4,2,4,"1,354m² ",08 Sep 2014
"210,000 ","178a Barolin St,",BUNDABERG QLD 4670,House,3,1,1,"1,088m² ",25 Aug 2014
"160,000 ","51 Steuart Street,",BUNDABERG QLD 4670,House,3,1,2,513m² ,19 Aug 2014
"290,000 ","29 Anderson Street,",BUNDABERG QLD 4670,House,3,1,3,873m² ,14 Aug 2014
"249,500 ","49 Alice St,",BUNDABERG QLD 4670,House,3,2,1,"1,083m² ",14 Aug 2014
"228,000 ","43 Walla Street,",BUNDABERG QLD 4670,House,4,1,2,"1,195m² ",07 Aug 2014
"277,000 ","3 Walk Street,",BUNDABERG QLD 4670,House,3,1,1,830m² ,02 Aug 2014
"257,500 ","10 Kookaburra St,",BUNDABERG QLD 4670,House,3,1,1,860m² ,29 Jul 2014
"250,000 ","23 Novakoski Street,",BUNDABERG QLD 4670,House,5,1,1,840m² ,29 Jul 2014
"520,000 ","21 Slocomb Street,",BUNDABERG QLD 4670,House,5,3,3,"1,730m² ",28 Jul 2014
"255,000 ","22 Arnold Street,",BUNDABERG QLD 4670,House,3,1,2,635m² ,10 Jul 2014
"495,000 ","268 Coonarr Road,",BUNDABERG QLD 4670,House,4,2,6,"10,000m² ",10 Jul 2014
"435,000 ","147 Kalbar Road,",BUNDABERG QLD 4670,House,4,2,2,0,04 Jul 2014
"398,500 ","16 Wedgeleaf Place,",BUNDABERG QLD 4670,House,4,2,4,743m² ,03 Jul 2014
"307,000 ","6 Hooper Court,",BUNDABERG QLD 4670,House,3,1,3,735m² ,23 Jun 2014
