Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"285,000 ","77 Edenbrook Estate,",BUNDABERG QLD 4670,Vacant land,0,0,0,804m² ,13 Nov 2023
"195,000 ","6/46 George Street,",BUNDABERG QLD 4670,Townhouse,2,1,1,97m² ,06 Jun 2014
"135,000 ","Lot 12 Keiran Place,",BUNDABERG QLD 4670,Vacant land,0,0,0,882m² ,27 May 2014
"162,500","12 Belle Eden Drive,",BUNDABERG QLD 4670,Vacant land,0,0,0,840m² ,28 Mar 2014
"158,000","1 Treviso Street,",BUNDABERG QLD 4670,Vacant land,0,0,0,"4,004m² ",13 Oct 2012
"60,000","162a Mount Perry Road,",BUNDABERG QLD 4670,Vacant land,0,0,0,630m² ,12 Jun 2012
"350,000 ","32 Royal BVD,",BUNDABERG QLD 4670,Vacant land,0,0,0,"3,705m² ",24 Jan 2012
"120,000 ","Lot 2 Palm Beach Rd,",BUNDABERG QLD 4670,Vacant land,0,0,0,"4,334m² ",15 Sep 2011
"210,000 ","19 Fern Tree Dr,",BUNDABERG QLD 4670,Vacant land,0,0,0,"4,335m² ",11 May 2011
"125,000 ","19 Finemore Crescent,",BUNDABERG QLD 4670,Vacant land,0,0,0,"2,296m² ",23 Oct 2009
"520,000 ","1/17 Warrell Street,",BUNDABERG QLD 4670,Apartment / Unit / Flat,8,4,4,905m² ,
"250,000 ","Lot 2 Coonarr Road,",KINKUNA QLD 4670,Vacant land,0,0,0,"21,286m² ",24 Apr 2024
"225,000 ","5 Ochre Court,",BRANYAN QLD 4670,Vacant land,0,0,0,931m² ,23 Apr 2024
"1,220,000 ","104/36-38 Miller Street,",BARGARA QLD 4670,Apartment / Unit / Flat,3,2,2,164m² ,22 Apr 2024
"250,000 ","Lot 4 Coonarr Road,",KINKUNA QLD 4670,Vacant land,0,0,0,"23,755m² ",19 Apr 2024
"401,000 ","Lot 17 Kellys Beach Estate,",BARGARA QLD 4670,Vacant land,0,0,0,713m² ,17 Apr 2024
"410,000 ","Lot 16 Kellys Beach Estate,",BARGARA QLD 4670,Vacant land,0,0,0,815m² ,09 Apr 2024
"800,000 ","Lot 1 Kellys Beach Estate,",BARGARA QLD 4670,Vacant land,0,0,0,"2,004m² ",05 Apr 2024
"465,000 ","Lot 12 Kellys Beach Estate,",BARGARA QLD 4670,Vacant land,0,0,0,600m² ,03 Apr 2024
"300,000 ","16 Wisteria Street,",BARGARA QLD 4670,Vacant land,0,0,0,730m² ,03 Apr 2024
"295,000 ","21 North West Avenue,",INNES PARK QLD 4670,Vacant land,0,0,0,822m² ,03 Apr 2024
"400,000 ","35 Deering Place,",INNES PARK QLD 4670,Vacant land,0,0,0,"1,632m² ",03 Apr 2024
"372,500 ","8 Fairfax Court,",INNES PARK QLD 4670,Vacant land,0,0,0,705m² ,01 Apr 2024
"331,500 ","2 Bluefin Court,",ELLIOTT HEADS QLD 4670,Vacant land,0,0,0,800m² ,27 Mar 2024
"460,000 ","1/20 Bauer Street,",BARGARA QLD 4670,Apartment / Unit / Flat,3,2,2,188m² ,25 Mar 2024
"335,000 ","17 Sea Pearl Drive,",ELLIOTT HEADS QLD 4670,Vacant land,0,0,0,803m² ,21 Mar 2024
"130,000","131 Hill End Road,",SOUTH KOLAN QLD 4670,Vacant land,0,0,0,"1,953m² ",18 Mar 2024
"450,000","11/6 Miller Street,",NORVILLE QLD 4670,Apartment / Unit / Flat,2,2,1,231m² ,15 Mar 2024
"485,000 ","10 Sovereign Ct,",MOORE PARK BEACH QLD 4670,Vacant land,0,0,0,"4,035m² ",13 Mar 2024
"650,000 ","121 Sea Esplanade,",BURNETT HEADS QLD 4670,Vacant land,0,0,0,"1,059m² ",11 Mar 2024
"295,000 ","5 Chase Close,",BARGARA QLD 4670,Vacant land,0,0,0,840m² ,08 Mar 2024
"365,000 ","Lot 26 Sea Pearl Drive,",ELLIOTT HEADS QLD 4670,Vacant land,0,0,0,"1,113m² ",08 Mar 2024
"190,000 ","8 Ebbesen Street,",BUNDABERG EAST QLD 4670,Vacant land,0,0,0,742m² ,06 Mar 2024
"475,000 ","161 Barolin Esplanade,",CORAL COVE QLD 4670,New land,0,0,0,"1,001m² ",06 Mar 2024
"255,000","3 Egret Lane,",MOORE PARK BEACH QLD 4670,Vacant land,0,0,0,"4,057m² ",02 Mar 2024
"185,000 ","6 Buzza Street,",WALKERVALE QLD 4670,Vacant land,0,0,0,986m² ,01 Mar 2024
"410,000 ","9/8 Mcilwraith Street,",BUNDABERG SOUTH QLD 4670,Townhouse,3,1,1,137m² ,28 Feb 2024
"305,000 ","58 Chantilly Street,",BARGARA QLD 4670,Vacant land,0,0,0,871m² ,27 Feb 2024
"229,000 ","15 Ridge Road,",BRANYAN QLD 4670,Vacant land,0,0,0,800m² ,26 Feb 2024
