Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"245,000 ","40/62 Abbott Street,",CAIRNS QLD 4870,Apartment / Unit / Flat,1,1,−,68m² ,19 Apr 2023
"99,000 ","22/261-265 Sheridan Street,",CAIRNS QLD 4870,Apartment / Unit / Flat,2,1,1,59m² ,08 Sep 2017
"80,000 ","19/63 McLeod Street,",CAIRNS QLD 4870,Apartment / Unit / Flat,1,1,1,54m² ,22 Jul 2016
"110,000 ","353/175 Lake Street,",CAIRNS QLD 4870,Apartment / Unit / Flat,1,1,1,53m² ,23 Oct 2015
"95,000 ","14/235 McLeod Street,",CAIRNS QLD 4870,Apartment / Unit / Flat,1,1,1,53m² ,22 May 2015
"110,000 ","62 Abbott Street,",CAIRNS QLD 4870,Apartment / Unit / Flat,1,1,1,52m² ,20 May 2013
"199,000 ","1/47 McCormack St,",CAIRNS QLD 4870,Apartment / Unit / Flat,3,2,1,116m² ,03 May 2013
"175,000","4 Torazzi Place,",CAIRNS QLD 4870,Vacant land,0,0,0,814m² ,02 Feb 2013
"336,000 ","706/38 Abbott Street,",CAIRNS QLD 4870,Apartment / Unit / Flat,2,2,1,125m² ,11 Oct 2012
"102,000 ","7/62 Abbott Street,",CAIRNS QLD 4870,Apartment / Unit / Flat,1,1,−,52m² ,09 Oct 2012
"210,000 ","4/176 Hoare Street,",MANOORA QLD 4870,Apartment / Unit / Flat,2,1,1,67m² ,24 Apr 2024
"420,000 ","Unit 2/1-15 Robson Street,",MOOROOBOOL QLD 4870,Apartment / Unit / Flat,2,2,1,122m² ,16 Apr 2024
"350,000 ","5/49-53 English Street,",MANUNDA QLD 4870,Townhouse,2,1,3,200m² ,13 Apr 2024
"350,000 ","2261 Pine Creek - Yarrabah Road,",EAST TRINITY QLD 4871,Vacant land,0,0,0,0,12 Apr 2024
"255,000 ","6/195-197 Sheridan Street,",CAIRNS NORTH QLD 4870,Apartment / Unit / Flat,2,1,1,81m² ,10 Apr 2024
"310,000 ","1122/2-10 Greenslopes Street,",CAIRNS NORTH QLD 4870,Apartment / Unit / Flat,2,1,1,95m² ,10 Apr 2024
"230,000 ","10/98 Pease Street,",MANOORA QLD 4870,Apartment / Unit / Flat,2,1,1,53m² ,10 Apr 2024
"439,000 ","404/12-21 Gregory Street,",WESTCOURT QLD 4870,Apartment / Unit / Flat,2,2,1,142m² ,08 Apr 2024
"370,000 ","3 Radiata Court,",BRINSMEAD QLD 4870,New land,0,0,0,626m² ,05 Apr 2024
"250,000 ","12/74-82 Swallow Street,",MOOROOBOOL QLD 4870,Apartment / Unit / Flat,3,1,1,65m² ,04 Apr 2024
"325,000 ","705/2-10 Greenslopes Street,",CAIRNS NORTH QLD 4870,Apartment / Unit / Flat,2,1,1,131m² ,02 Apr 2024
"355,000 ","1133 & 113/3 Water Street,",CAIRNS CITY QLD 4870,Apartment / Unit / Flat,2,2,1,96m² ,28 Mar 2024
"256,000 ","1/21 Creedy Street,",WESTCOURT QLD 4870,Apartment / Unit / Flat,2,1,1,62m² ,19 Mar 2024
"315,000 ","3/89-95 Ishmael Road,",EARLVILLE QLD 4870,Apartment / Unit / Flat,2,2,1,112m² ,18 Mar 2024
"400,000 ","15 Radiata Court,",BRINSMEAD QLD 4870,New land,0,0,0,786m² ,15 Mar 2024
"293,787 ","2/200 Grafton Street,",CAIRNS CITY QLD 4870,Apartment / Unit / Flat,2,1,1,64m² ,15 Mar 2024
"310,000 ","20/208 Grafton Street,",CAIRNS NORTH QLD 4870,Apartment / Unit / Flat,2,1,1,69m² ,15 Mar 2024
"276,000 ","7/171 Grafton Street,",CAIRNS NORTH QLD 4870,Apartment / Unit / Flat,2,1,1,67m² ,14 Mar 2024
"335,000 ","1A Allamanda Rise,",BRINSMEAD QLD 4870,New land,0,0,0,631m² ,12 Mar 2024
"298,000 ","6/15 Grantala Street,",MANOORA QLD 4870,Apartment / Unit / Flat,2,1,1,92m² ,12 Mar 2024
"400,000 ","13/11-19 Stratford Parade,",STRATFORD QLD 4870,Townhouse,2,2,1,114m² ,2024
"412,000 ","9/368-370 Redlynch Intake Road,",REDLYNCH QLD 4870,Vacant land,0,0,0,803m² ,07 Mar 2024
"373,000 ","11/3 Quetta Close,",MANOORA QLD 4870,Apartment / Unit / Flat,2,1,1,125m² ,06 Mar 2024
