Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"1,702,000 ","16 Reynolds Street,",CURTIN ACT 2605,House,4,2,2,"1,205m² ",2024
"744,000 ","48 Wiburd Street,",BANKS ACT 2906,House,3,1,1,528m² ,26 Apr 2024
"945,000 ","48 Gouldsmith Street,",DUNLOP ACT 2615,House,4,2,2,505m² ,6 Apr 2024
"1,395,000 ","2/22 Rosebery Street,",FISHER ACT 2611,Semi-detached,4,2,2,430m² ,26 Apr 2024
"945,000 ","66 Woodfull Loop,",GORDON ACT 2906,House,4,2,1,849m² ,26 Apr 2024
"940,000 ","275 Anthony Rolfe Ave,",GUNGAHLIN ACT 2912,House,4,2,2,396m² ,26 Apr 2024
"710,000 ","24 Murrung Crescent,",NGUNNAWAL ACT 2913,House,3,1,1,382m² ,26 Apr 2024
"1,135,000 ","53 Jill Landsberg Terrace,",STRATHNAIRN ACT 2615,House,4,2,2,527m² ,26 Apr 2024
"1,340,000 ","11 Edwin Oribin Street,",TAYLOR ACT 2913,House,4,3,2,540m² ,26 Apr 2024
"930,000 ","5 Dinah Street,",BONNER ACT 2914,House,3,2,1,450m² ,24 Apr 2024
"1,050,000 ","6 Critchley Street,",CASEY ACT 2913,House,4,2,2,465m² ,24 Apr 2024
"4,001,000 ","74 Dominion Circuit,",DEAKIN ACT 2600,House,5,3,2,"1,870m² ",24 Apr 2024
"1,500,000 ","13 Cashman Street,",DENMAN PROSPECT ACT 2611,House,4,2,2,565m² ,2024
"831,000 ","80 Shoobridge Circuit,",DUNLOP ACT 2615,House,3,2,3,502m² ,24 Apr 2024
"1,186,000 ","9 Cameron Street,",FARRER ACT 2607,House,4,2,1,866m² ,24 Apr 2024
"911,000 ","10 Buriga Street,",GIRALANG ACT 2617,House,4,2,2,751m² ,2024
"965,000 ","6/155 Maribyrnong Avenue,",KALEEN ACT 2617,House,4,2,2,"3,420m² ",24 Apr 2024
"721,000 ","1 Mcghie Place,",LATHAM ACT 2615,House,3,2,3,804m² ,2024
"1,250,000 ","10 Grassick Street,",TAYLOR ACT 2913,House,4,2,2,470m² ,24 Apr 2024
"980,000 ","2 Terewah Circuit,",KALEEN ACT 2617,House,3,1,4,"1,045m² ",23 Apr 2024
"840,000 ","8 Bosworth Circuit,",KAMBAH ACT 2902,House,4,3,3,870m² ,23 Apr 2024
"877,500 ","47 Symers Street,",KAMBAH ACT 2902,House,3,2,1,744m² ,23 Apr 2024
"1,190,000 ","19 Fairfax Street,",O'CONNOR ACT 2602,House,4,2,1,740m² ,23 Apr 2024
"1,150,000 ","4 Hearn Street,",WATSON ACT 2602,House,4,2,5,829m² ,23 Apr 2024
"842,000 ","104 Barr Smith Avenue,",BONYTHON ACT 2905,House,3,2,1,790m² ,22 Apr 2024
"890,000 ","128 Outtrim Avenue,",CALWELL ACT 2905,House,4,3,2,721m² ,22 Apr 2024
"1,527,500 ","1 Read Place,",EVATT ACT 2617,House,4,4,8,"1,154m² ",2024
