Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"695,000 ","5/11 Hansel Place,",GORDON ACT 2906,Townhouse,3,2,2,399m² ,2024
"755,000 ","34/19 Howitt Street,",KINGSTON ACT 2604,Apartment / Unit / Flat,2,1,1,122m² ,23 Apr 2024
"562,500 ","51/1 Beissel Street,",BELCONNEN ACT 2617,Apartment / Unit / Flat,2,2,1,"3,667m² ",18 Apr 2024
"527,000 ","317/80 Chandler Street,",BELCONNEN ACT 2617,Apartment / Unit / Flat,2,2,2,85m² ,17 Apr 2024
"660,000 ","16/71 Lawrenson Circuit,",JACKA ACT 2914,Townhouse,3,2,1,124m² ,2024
"662,500 ","Block 31 Section 94,",DENMAN PROSPECT ACT 2611,Vacant land,0,0,0,460m² ,16 Apr 2024
"650,000 ","2 Laurel Martyn View,",WHITLAM ACT 2611,Vacant land,0,0,0,500m² ,16 Apr 2024
"710,000 ","9/40 Florence Taylor Street,",GREENWAY ACT 2900,Townhouse,3,2,2,320m² ,12 Apr 2024
"467,000 ","30/20 Allara Street,",CITY ACT 2601,Apartment / Unit / Flat,1,1,1,"1,380m² ",11 Apr 2024
"590,000 ","44/27 Cromwell Circuit,",ISABELLA PLAINS ACT 2905,Townhouse,3,1,1,260m² ,10 Apr 2024
"810,000 ","42 Taggart Terrace,",COOMBS ACT 2611,Townhouse,3,2,2,199m² ,2024
"707,000 ","31/224 Flemington Road,",HARRISON ACT 2914,Townhouse,3,2,1,"11,935m² ",05 Apr 2024
"937,500 ","32 Cedar Street,",HARRISON ACT 2914,Townhouse,4,2,2,248m² ,02 Apr 2024
"631,000 ","13/36 Cromwell Circuit,",ISABELLA PLAINS ACT 2905,Townhouse,3,1,1,504m² ,02 Apr 2024
"340,000 ","267/325 Anketell Street,",GREENWAY ACT 2900,Apartment / Unit / Flat,1,1,1,"7,284m² ",01 Apr 2024
"820,000 ","23 Rymill Place,",MAWSON ACT 2607,Townhouse,3,2,2,326m² ,28 Mar 2024
"650,000 ","6 Tingwell Street,",WHITLAM ACT 2611,Vacant land,0,0,0,499m² ,28 Mar 2024
"1,685,000 ","2/72 Novar Street,",YARRALUMLA ACT 2600,Townhouse,3,2,2,468m² ,2024
"453,000 ","2/2 Cultivation Street,",HARRISON ACT 2914,Townhouse,1,1,1,375m² ,26 Mar 2024
"655,000 ","8/38 Kenyon Circuit,",MONASH ACT 2904,Townhouse,3,1,2,310m² ,25 Mar 2024
"725,000 ","4 Abdullah Street,",BONNER ACT 2914,Townhouse,3,2,2,296m² ,23 Mar 2024
"750,000 ","1/57 Krefft Street,",FLOREY ACT 2615,Townhouse,3,2,2,458m² ,2024
"635,000 ","2/1 Pinkerton Circuit,",KAMBAH ACT 2902,Townhouse,3,1,2,411m² ,2024
"760,000 ","17/2 Clare Burton Cres,",FRANKLIN ACT 2913,Townhouse,3,3,2,100m² ,22 Mar 2024
"1,610,000 ","25C Borrowdale Street,",RED HILL ACT 2603,Townhouse,3,2,2,294m² ,22 Mar 2024
"740,000 ","53 Cazneaux Crescent,",WESTON ACT 2611,Townhouse,2,1,2,175m² ,22 Mar 2024
"707,000 ","4/101 Britten Jones Drive,",HOLT ACT 2615,Townhouse,3,2,1,316m² ,19 Mar 2024
"345,000 ","5/39 Brigalow Street,",O'CONNOR ACT 2602,Apartment / Unit / Flat,1,1,1,"8,466m² ",18 Mar 2024
"650,000 ","3 Greeves Street,",WANNIASSA ACT 2903,Vacant land,0,0,0,891m² ,15 Mar 2024
"846,000 ","22/1 Yidaki Way,",MONCRIEFF ACT 2914,Townhouse,4,2,2,188m² ,13 Mar 2024
"630,000 ","Block C Section AX,",DENMAN PROSPECT ACT 2611,Vacant land,0,0,0,423m² ,2024
"680,000 ","11/24 Railway Street,",OAKS ESTATE ACT 2620,Townhouse,3,2,2,161m² ,11 Mar 2024
"637,000 ","7/30 William Hudson Crescent,",MONASH ACT 2904,Townhouse,3,1,1,250m² ,2024
"889,000 ","1/58 Wentworth Avenue,",KINGSTON ACT 2604,Apartment / Unit / Flat,3,2,2,"2,204m² ",06 Mar 2024
"427,000 ","20/19 Moorhouse Street,",O'CONNOR ACT 2602,Retirement Living,1,1,1,"4,126m² ",05 Mar 2024
"552,000","9/9 Earle Place,",PAGE ACT 2614,Townhouse,2,1,1,195m² ,2024
"773,000 ","4/12 Helby Street,",HARRISON ACT 2914,Townhouse,3,2,2,225m² ,01 Mar 2024
"935,000 ","9/21 Keira Street,",NARRABUNDAH ACT 2604,Townhouse,2,2,1,260m² ,28 Feb 2024
"550,000 ","13 Bob Whan Street,",STRATHNAIRN ACT 2615,Vacant land,0,0,0,520m² ,28 Feb 2024
"330,000 ","36B/60 Wattle Street,",LYNEHAM ACT 2602,Apartment / Unit / Flat,2,1,1,"11,172m² ",27 Feb 2024
"625,000 ","3 Greene Place,",BELCONNEN ACT 2617,Townhouse,2,2,1,195m² ,2024
"530,000 ","18/85 Macfarlane Burnett Avenue,",MACGREGOR ACT 2615,Townhouse,2,1,1,187m² ,23 Feb 2024
"585,000 ","20 Gordon Ford Way,",TAYLOR ACT 2913,Vacant land,0,0,0,584m² ,22 Feb 2024
"1,100,000 ","35 Darling Street,",BARTON ACT 2600,Apartment / Unit / Flat,2,2,1,93m² ,21 Feb 2024
"1,300,000","809/19 Marcus Clarke Street,",CITY ACT 2601,Apartment / Unit / Flat,3,2,2,"4,069m² ",1 Feb 2024
"735,000 ","2/42 Fullagar Crescent,",HIGGINS ACT 2615,Townhouse,3,3,2,"1,719m² ",21 Feb 2024
"415,000 ","70/68 Hardwick Crescent,",HOLT ACT 2615,Apartment / Unit / Flat,2,1,1,"10,197m² ",21 Feb 2024
"472,000 ","609/1 Elouera Street,",BRADDON ACT 2612,Apartment / Unit / Flat,1,1,1,"5,805m² ",20 Feb 2024
"620,000 ","26/41 Ern Florence Crescent,",THEODORE ACT 2905,Apartment / Unit / Flat,3,1,1,289m² ,9 Feb 2024
"1,600,000 ","74B Novar Street,",YARRALUMLA ACT 2600,Townhouse,3,2,2,936m² ,19 Feb 2024
"1,260,000 ","17/36 Shackleton Circuit,",MAWSON ACT 2607,Townhouse,4,2,2,"25,834m² ",2024
"720,000 ","28 Broadsmith Street,",SCULLIN ACT 2614,Townhouse,3,1,1,315m² ,7 Feb 2024
"820,000 ","10/4 Burgoyne Street,",BONYTHON ACT 2905,Townhouse,4,2,2,207m² ,16 Feb 2024
"547,500 ","60/2 Peter Cullen Way,",WRIGHT ACT 2611,Apartment / Unit / Flat,2,2,2,"17,600m² ",16 Feb 2024
"785,000 ","1/33 Ronald Walker Street,",CASEY ACT 2913,Townhouse,4,2,2,299m² ,2024
"747,000 ","2/5 Gould Street,",TURNER ACT 2612,Apartment / Unit / Flat,2,2,1,188m² ,4 Feb 2024
"389,000 ","64/15 Braybrooke Street,",BRUCE ACT 2617,Apartment / Unit / Flat,1,1,1,"7,200m² ",13 Feb 2024
"542,000","75 Tenison Woods Circuit,",BONYTHON ACT 2905,Townhouse,3,2,2,414m² ,2024
"728,000 ","409/240 Bunda Street,",CITY ACT 2601,Apartment / Unit / Flat,2,2,1,"4,180m² ",09 Feb 2024
"620,000 ","6/1 Hoffmann Street,",MONCRIEFF ACT 2914,Townhouse,2,2,2,101m² ,09 Feb 2024
"675,000 ","97 Limb Circuit,",MONCRIEFF ACT 2914,Townhouse,3,1,2,239m² ,07 Feb 2024
"640,000","4/8 Walhallow Street,",HAWKER ACT 2614,Townhouse,2,1,1,402m² ,2024
"575,000 ","2/36 John Holt Street,",MACGREGOR ACT 2615,Townhouse,2,1,1,252m² ,06 Feb 2024
"485,000 ","G12/39 Braybrooke Street,",BRUCE ACT 2617,Apartment / Unit / Flat,2,1,1,91m² ,2024
"875,000 ","2 Gladman Close,",ISAACS ACT 2607,Townhouse,3,2,2,632m² ,2 Feb 2024
"430,000 ","201/86-88 Northbourne Avenue,",BRADDON ACT 2612,Apartment / Unit / Flat,1,1,1,"4,181m² ",01 Feb 2024
"653,000 ","13/17 Mather Street,",WESTON ACT 2611,Townhouse,2,1,1,247m² ,31 Jan 2024
"599,000 ","20/188 Hawker Place,",HAWKER ACT 2614,Apartment / Unit / Flat,3,2,2,"2,537m² ",24 Jan 2024
"750,000","8/68 Lorraway Street,",HOLT ACT 2615,Townhouse,3,2,2,296m² ,24 Jan 2024
"830,000 ","3/1 Gibbes Place,",WEETANGERA ACT 2614,Townhouse,3,2,2,224m² ,23 Jan 2024
"646,000 ","13 Fairfield Street,",CRACE ACT 2911,Townhouse,2,1,1,135m² ,16 Jan 2024
"460,000","7/89 Werriwa Crescent,",ISABELLA PLAINS ACT 2905,Townhouse,1,1,1,301m² ,13 Jan 2024
"770,000 ","29 Potoroo Street,",THROSBY ACT 2914,Vacant land,0,0,0,482m² ,11 Jan 2024
"690,000 ","31/1 Arthur Blakeley Way,",COOMBS ACT 2611,Townhouse,3,2,2,123m² ,08 Jan 2024
"625,000 ","49 Kootingal Street,",GIRALANG ACT 2617,Townhouse,2,1,1,413m² ,22 Dec 2023
"925,000 ","10/2 Marr Street,",PEARCE ACT 2607,Townhouse,3,2,2,370m² ,22 Dec 2023
"660,000 ","25 Dobikin Street,",CRACE ACT 2911,Townhouse,2,1,1,140m² ,21 Dec 2023
"615,000 ","45/88 Narrambla Terrace,",LAWSON ACT 2617,Townhouse,2,2,1,121m² ,21 Dec 2023
"1,215,000","38/50 Ellenborough Street,",LYNEHAM ACT 2602,Townhouse,3,2,2,315m² ,21 Dec 2023
"662,000 ","18/174 Clive Steele Avenue,",MONASH ACT 2904,Townhouse,3,1,1,174m² ,21 Dec 2023
"580,000 ","13/25 Totterdell Street,",BELCONNEN ACT 2617,Townhouse,2,1,1,210m² ,20 Dec 2023
"410,000 ","115/1 Braybrooke Street,",BRUCE ACT 2617,Apartment / Unit / Flat,2,1,1,"13,522m² ",19 Dec 2023
"860,000 ","9/28 Marie Little Crescent,",DENMAN PROSPECT ACT 2611,Townhouse,3,2,2,"13,268m² ",2023
"1,630,000 ","12/22 Canberra Avenue,",FORREST ACT 2603,Apartment / Unit / Flat,3,2,2,152m² ,15 Dec 2023
"620,000 ","3/49 Dooland Court,",NICHOLLS ACT 2913,Townhouse,3,1,1,297m² ,15 Dec 2023
"716,000 ","11/6 Merri Place,",CONDER ACT 2906,Townhouse,3,2,4,294m² ,14 Dec 2023
"410,000 ","5A/60 Wattle St,",LYNEHAM ACT 2602,Apartment / Unit / Flat,2,1,1,"11,172m² ",14 Dec 2023
"805,000 ","32/27 Temperley Street,",NICHOLLS ACT 2913,Townhouse,3,2,2,395m² ,2023
"1,930,000","1/28 Chauvel Street,",CAMPBELL ACT 2612,Townhouse,3,2,2,194m² ,12 Dec 2023
"720,000 ","4/10 Marou Place,",NGUNNAWAL ACT 2913,Townhouse,3,2,2,188m² ,11 Dec 2023
"700,000 ","18 Barlow Street,",SCULLIN ACT 2614,Townhouse,3,1,1,325m² ,11 Dec 2023
"647,500","23 Fernyhough Crescent,",LYNEHAM ACT 2602,Townhouse,2,2,1,127m² ,2023
"844,500 ","3/40 Marr Street - 'Edison Gardens',",PEARCE ACT 2607,Townhouse,3,2,2,410m² ,2023
"507,000 ","125/32 Blackall Street,",BARTON ACT 2600,Apartment / Unit / Flat,1,1,1,53m² ,08 Dec 2023
"670,000","9/60 Copland Drive,",EVATT ACT 2617,Townhouse,3,2,2,152m² ,08 Dec 2023
"900,000 ","11/2 Hodgson Place,",PEARCE ACT 2607,Townhouse,3,1,2,403m² ,8 Dec 2023
"591,000 ","49/3 Burbury Close,",BARTON ACT 2600,Apartment / Unit / Flat,1,1,1,"4,697m² ",06 Dec 2023
"830,000 ","30 Neil Currie Street,",CASEY ACT 2913,Townhouse,4,2,2,240m² ,06 Dec 2023
"660,000 ","2/6 Edith Place,",AMAROO ACT 2914,Townhouse,2,1,2,422m² ,3 Dec 2023
"1,014,000 ","4 Downing Place,",COOK ACT 2614,Townhouse,3,2,2,445m² ,2023
"740,000 ","3/48 Siroset Close,",DUNLOP ACT 2615,Townhouse,3,2,2,318m² ,2023
