Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"706,000 ","39 Cassinia Close,",LISAROW NSW 2250,Vacant land,0,0,0,794m² ,23 Apr 2024
"820,000 ","15/883 Pacific Highway,",LISAROW NSW 2250,Apartment / Unit / Flat,3,2,1,282m² ,23 Apr 2024
"490,000 ","4 Barbin Drive,",CRANGAN BAY NSW 2259,Vacant land,0,0,0,549m² ,22 Apr 2024
"1,760,000 ","23 Gosford Avenue,",THE ENTRANCE NSW 2261,Vacant land,0,0,0,"1,251m² ",17 Apr 2024
"601,000 ","12/11 Wagners Place,",MARDI NSW 2259,Townhouse,3,1,1,175m² ,16 Apr 2024
"950,000 ","1/8 Kendall Street,",GOSFORD NSW 2250,Apartment / Unit / Flat,3,2,2,204m² ,12 Apr 2024
"520,000 ","1/10 Harry Close,",BLUE HAVEN NSW 2262,Townhouse,2,3,1,166m² ,11 Apr 2024
"460,000 ","9 Tuerong Street,",GWANDALAN NSW 2259,Vacant land,0,0,0,509m² ,10 Apr 2024
"1,350,000 ","8/5 George Street,",EAST GOSFORD NSW 2250,Townhouse,3,2,2,324m² ,09 Apr 2024
"127,500 ","109 Kalinda Road,",BAR POINT NSW 2083,Vacant land,0,0,0,645m² ,08 Apr 2024
"780,000 ","8/19 Donnison Street West,",WEST GOSFORD NSW 2250,Townhouse,3,2,1,191m² ,05 Apr 2024
"825,000 ","3/7 Marquis Close,",SHELLY BEACH NSW 2261,Townhouse,3,2,1,181m² ,03 Apr 2024
"2,200,000 ","135 Tuggerah Parade,",LONG JETTY NSW 2261,Vacant land,0,0,0,"1,474m² ",02 Apr 2024
"665,000 ","27 Childers Circuit,",WADALBA NSW 2259,Vacant land,0,0,0,"1,766m² ",28 Mar 2024
"475,000 ","1 Bateup Road,",WYEE NSW 2259,Vacant land,0,0,0,601m² ,28 Mar 2024
"1,500,000 ","136 Grandview Street,",SHELLY BEACH NSW 2261,Vacant land,0,0,0,914m² ,22 Mar 2024
"361,000","55 Warrina Avenue,",SUMMERLAND POINT NSW 2259,Vacant land,0,0,0,537m² ,22 Mar 2024
"175,000 ","82 Gorokan Road,",WYEE NSW 2259,Vacant land,0,0,0,776m² ,22 Mar 2024
"760,000 ","7 Apanie Close,",SUMMERLAND POINT NSW 2259,Vacant land,0,0,0,"1,309m² ",21 Mar 2024
"263,000 ","26 Tulkaba Road,",WYEE NSW 2259,Vacant land,0,0,0,919m² ,15 Mar 2024
"560,000 ","509/20 Kendall Street,",GOSFORD NSW 2250,Apartment / Unit / Flat,2,2,1,151m² ,13 Mar 2024
"500,000 ","21 Barbin Drive,",CRANGAN BAY NSW 2259,Vacant land,0,0,0,570m² ,11 Mar 2024
"1,500,000 ","1/54 Webb Street,",EAST GOSFORD NSW 2250,Townhouse,3,2,2,253m² ,08 Mar 2024
"450,000 ","1 Scarlett Street,",HAMLYN TERRACE NSW 2259,Vacant land,0,0,0,400m² ,08 Mar 2024
"440,000 ","3 Childers Circuit,",WADALBA NSW 2259,Vacant land,0,0,0,455m² ,05 Mar 2024
"950,000 ","117-121 Hiawatha Road,",WOONGARRAH NSW 2259,Vacant land,0,0,0,0,04 Mar 2024
"1,260,000 ","1/146-148 Ocean Parade,",BLUE BAY NSW 2261,Apartment / Unit / Flat,3,2,2,301m² ,01 Mar 2024
"310,000 ","20 Mooga Avenue,",SPENCER NSW 2775,Vacant land,0,0,0,"1,891m² ",01 Mar 2024
"600,000 ","7 Gundji Way,",CRANGAN BAY NSW 2259,Vacant land,0,0,0,692m² ,29 Feb 2024
"750,000 ","34 Hardys Bay Parade,",KILLCARE NSW 2257,Vacant land,0,0,0,923m² ,2024
"740,000 ","4 Charles Street,",OURIMBAH NSW 2258,Townhouse,3,2,1,339m² ,28 Feb 2024
"482,500","20 Mossman Avenue,",BATEAU BAY NSW 2261,Vacant land,0,0,0,505m² ,2024
"410,000","39 Teragalin Drive,",CHAIN VALLEY BAY NSW 2259,Vacant land,0,0,0,752m² ,2024
"780,000","60 Glenning Road,",GLENNING VALLEY NSW 2261,Vacant land,0,0,0,0,2024
"780,000 ","1207/25 Mann Street,",GOSFORD NSW 2250,Apartment / Unit / Flat,2,2,2,103m² ,27 Feb 2024
"655,000 ","1/26 Toowoon Bay Road,",LONG JETTY NSW 2261,Apartment / Unit / Flat,2,1,2,73m² ,24 Feb 2024
"875,000 ","403/7 Lynn Avenue,",POINT FREDERICK NSW 2250,Apartment / Unit / Flat,2,2,1,127m² ,23 Feb 2024
"1,710,000 ","7/41 Terrigal Drive,",TERRIGAL NSW 2260,Townhouse,4,3,2,315m² ,22 Feb 2024
"610,000 ","14/3 Gahnia Place,",HAMLYN TERRACE NSW 2259,Townhouse,3,2,2,264m² ,21 Feb 2024
"795,000 ","11/41-43 Brougham Street,",EAST GOSFORD NSW 2250,Townhouse,3,2,1,191m² ,20 Feb 2024
"850,000 ","5 Curringa Road,",KARIONG NSW 2250,Vacant land,0,0,0,"1,452m² ",19 Feb 2024
"930,000","7 Carlton Road,",HOLGATE NSW 2250,Vacant land,0,0,0,0,2024
"662,000 ","24 Scribbly Gum Street,",GLENNING VALLEY NSW 2261,Vacant land,0,0,0,502m² ,16 Feb 2024
"715,000 ","23 Butternut Avenue,",GLENNING VALLEY NSW 2261,Vacant land,0,0,0,558m² ,16 Feb 2024
"400,000 ","11/1-3 Warner Avenue,",WYONG NSW 2259,Apartment / Unit / Flat,2,1,1,100m² ,13 Feb 2024
"937,500 ","1/30 Booker Bay Road,",BOOKER BAY NSW 2257,Townhouse,3,2,1,203m² ,09 Feb 2024
"515,000 ","5 Birima Boulevard,",CRANGAN BAY NSW 2259,Vacant land,0,0,0,565m² ,08 Feb 2024
"650,000 ","56 Coachwood Drive,",OURIMBAH NSW 2258,Vacant land,0,0,0,620m² ,07 Feb 2024
"1,000,000 ","20 Albert Street,",WAGSTAFFE NSW 2257,Vacant land,0,0,0,544m² ,2024
"690,000 ","9/2 Adcock Avenue,",WEST GOSFORD NSW 2250,Apartment / Unit / Flat,2,2,2,187m² ,02 Feb 2024
"601,500 ","3/10 Mead Way,",WATANOBBI NSW 2259,Townhouse,3,2,1,243m² ,30 Jan 2024
"445,000 ","19 Glenelg Avenue,",WADALBA NSW 2259,Vacant land,0,0,0,451m² ,29 Jan 2024
"880,000 ","40 Heath Road,",HARDYS BAY NSW 2257,Vacant land,0,0,0,"2,226m² ",2024
"770,000 ","20 Kahibah Road,",UMINA BEACH NSW 2257,Vacant land,0,0,0,594m² ,23 Jan 2024
"1,225,000","39B Ridge Street,",ETTALONG BEACH NSW 2257,Townhouse,4,2,2,570m² ,22 Jan 2024
"610,000 ","11/3 Gahnia Place,",HAMLYN TERRACE NSW 2259,Townhouse,3,2,2,236m² ,22 Jan 2024
"815,000","34/38-44 Dening Street,",THE ENTRANCE NSW 2261,Apartment / Unit / Flat,2,2,1,115m² ,20 Jan 2024
"600,000 ","14 Emma Street,",BENSVILLE NSW 2251,New land,0,0,0,543m² ,19 Jan 2024
"1,220,000 ","1 & 2/53 Tapestry Way,",UMINA BEACH NSW 2257,Townhouse,6,4,2,550m² ,13 Jan 2024
"330,000","4962 Wisemans Ferry Rd,",SPENCER NSW 2775,Vacant land,1,1,1,"1,347m² ",05 Jan 2024
"1,450,000 ","1/13 Ocean View Drive,",WAMBERAL NSW 2260,Townhouse,3,2,1,550m² ,22 Dec 2023
