Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"2,060,000 ","3/78 Esplanade,",DARWIN CITY NT 0800,House,3,2,4,848m² ,2022
"450,000 ","6607/7 Anchorage Court,",DARWIN CITY NT 0800,House,1,1,1,81m² ,29 Jul 2022
"526,000 ","29/8 Knuckey Street,",DARWIN CITY NT 0800,House,3,2,1,209m² ,05 Jul 2022
"758,000","6605/7 Anchorage Court,",DARWIN CITY NT 0800,House,2,2,2,103m² ,24 Nov 2021
"1,200,000 ","20 Charlotte Street,",PARAP NT 0820,House,5,2,2,758m² ,15 Apr 2024
"837,000 ","23 Graham Street,",STUART PARK NT 0820,House,3,2,4,"1,140m² ",5 Apr 2024
"1,075,000 ","48 Charles Street,",STUART PARK NT 0820,House,4,2,2,"1,210m² ",2024
"805,000 ","5 Nudl St,",STUART PARK NT 0820,House,4,3,4,984m² ,27 Mar 2024
"1,825,000","7 Knight Street,",FANNIE BAY NT 0820,House,5,3,4,"1,160m² ",20 Mar 2024
"1,330,000 ","8 Wells Street,",PARAP NT 0820,House,3,3,3,861m² ,20 Mar 2024
"1,035,000 ","11 Temira Crescent,",LARRAKEYAH NT 0820,House,3,1,3,"1,050m² ",19 Mar 2024
"745,000","22 Gothenburg Crescent,",STUART PARK NT 0820,House,4,2,5,935m² ,15 Mar 2024
"1,255,000 ","52 Charles Street,",STUART PARK NT 0820,House,5,3,6,966m² ,2024
"998,000 ","11 Marella Street,",LARRAKEYAH NT 0820,House,3,1,4,"1,115m² ",2024
"830,000 ","2 May Street,",LUDMILLA NT 0820,House,3,2,3,779m² ,19 Feb 2024
"700,000 ","52 Eden Street,",STUART PARK NT 0820,House,3,2,2,"1,100m² ",19 Feb 2024
"615,000 ","2/13 Winston Avenue,",STUART PARK NT 0820,House,3,2,2,347m² ,16 Feb 2024
"570,000 ","66 Hudson Fysh Avenue,",LUDMILLA NT 0820,House,4,1,2,780m² ,15 Feb 2024
"680,000 ","6 Nelson Street,",STUART PARK NT 0820,House,4,2,4,800m² ,2024
"740,000 ","7 Helpman Street,",STUART PARK NT 0820,House,4,2,2,923m² ,2 Jan 2024
"1,205,000","2 Hinkler Crescent,",FANNIE BAY NT 0820,House,4,3,3,"1,020m² ",17 Jan 2024
"570,000 ","11 Attawomba Court,",LUDMILLA NT 0820,House,3,1,4,766m² ,12 Jan 2024
"960,000","10 Daniels Street,",LUDMILLA NT 0820,House,5,3,4,766m² ,9 Dec 2023
"800,000 ","2 Margaret Court,",STUART PARK NT 0820,House,5,2,2,920m² ,27 Nov 2023
"1,240,000 ","65 Cullen Bay Crescent,",CULLEN BAY NT 0820,House,4,3,3,"1,020m² ",17 Nov 2023
"820,000 ","53 Ruddick Circuit,",STUART PARK NT 0820,House,4,2,2,576m² ,09 Nov 2023
"1,690,000 ","36 Ross Smith Avenue,",PARAP NT 0820,House,5,3,6,"1,110m² ",03 Nov 2023
"800,000 ","27 Conigrave Street,",FANNIE BAY NT 0820,House,5,2,5,"1,110m² ",26 Oct 2023
"1,750,000 ","18 Giles Street,",FANNIE BAY NT 0820,House,5,3,4,"1,050m² ",1 Oct 2023
"1,400,000 ","4/34 George Crescent,",FANNIE BAY NT 0820,House,4,3,2,275m² ,2023
"1,560,000 ","8 Macartney Street,",FANNIE BAY NT 0820,House,4,3,3,"1,160m² ",17 Oct 2023
"930,000","54 Gregory Street,",PARAP NT 0820,House,5,2,2,"1,100m² ",2023
"801,500 ","73 Hudson Fysh Avenue,",LUDMILLA NT 0820,House,4,2,2,"1,000m² ",14 Oct 2023
"730,000 ","2 Broadbent Street,",PARAP NT 0820,House,3,2,2,512m² ,05 Oct 2023
"1,850,000","39 Ruddick Circuit,",STUART PARK NT 0820,House,5,3,4,535m² ,05 Oct 2023
"2,250,000 ","7 Paspaley Place,",CULLEN BAY NT 0820,House,4,3,2,872m² ,04 Oct 2023
"662,500","3 Mackillop Street,",PARAP NT 0820,House,4,1,1,927m² ,29 Sep 2023
"718,000 ","29 Bermingham Crescent,",BAYVIEW NT 0820,House,4,1,2,804m² ,27 Sep 2023
"910,000 ","17 Henry Street,",STUART PARK NT 0820,House,4,3,6,"1,110m² ",26 Sep 2023
"1,270,000 ","37 Bayview Boulevard,",BAYVIEW NT 0820,House,4,2,2,996m² ,19 Sep 2023
"930,000 ","54 Gregory Street,",PARAP NT 0820,House,5,3,2,"1,100m² ",2023
"1,236,671 ","9 Notley Place,",PARAP NT 0820,House,4,2,2,838m² ,02 Sep 2023
"768,000 ","1/10 Annear Court,",STUART PARK NT 0820,House,3,2,2,517m² ,2023
"620,000 ","32 Nemarluk Drive,",LUDMILLA NT 0820,House,3,1,3,788m² ,29 Aug 2023
"1,000,000 ","9 Stokes Street,",PARAP NT 0820,House,5,2,3,"1,100m² ",28 Aug 2023
"775,000","28 Ah Mat Street,",WOOLNER NT 0820,House,4,2,2,471m² ,25 Aug 2023
"517,500 ","13 Fitzer Drive,",LUDMILLA NT 0820,House,5,2,6,817m² ,22 Aug 2023
"409,000 ","52 Wells Street,",LUDMILLA NT 0820,House,3,1,2,"1,000m² ",18 Aug 2023
"698,000 ","21 Ah Mat Street,",WOOLNER NT 0820,House,4,2,2,450m² ,14 Aug 2023
"690,000 ","2 Dolphin Court,",PARAP NT 0820,House,3,2,2,495m² ,11 Aug 2023
"1,777,000 ","4 Giles Street,",FANNIE BAY NT 0820,House,5,2,4,"1,330m² ",2023
"945,000","25 Cullen Bay Crescent,",LARRAKEYAH NT 0820,House,3,2,2,615m² ,27 Jul 2023
"1,200,000","14 Fanning Dr,",BAYVIEW NT 0820,House,5,3,2,828m² ,19 Jul 2023
"610,000 ","12 Mawalan Court,",LUDMILLA NT 0820,House,3,1,2,766m² ,08 Jul 2023
"317,500 ","5/13 Coronation Drive,",STUART PARK NT 0820,House,3,1,1,120m² ,07 Jul 2023
"1,070,000","20 Ruddick Circuit,",STUART PARK NT 0820,House,4,3,2,452m² ,26 Jun 2023
"1,100,000 ","23 Cullen Bay Crescent,",LARRAKEYAH NT 0820,House,4,3,4,612m² ,14 Jun 2023
"940,000 ","6 Latrobe Street,",BAYVIEW NT 0820,House,4,2,2,651m² ,07 Jun 2023
"1,415,000 ","51 Cullen Bay Crescent,",CULLEN BAY NT 0820,House,4,3,2,777m² ,02 Jun 2023
"790,000 ","74 May Street,",PARAP NT 0820,House,3,2,2,502m² ,01 Jun 2023
"980,000 ","6 McKinlay Street,",FANNIE BAY NT 0820,House,3,1,2,"1,206m² ",24 May 2023
"1,300,000","4 Morice Court,",LARRAKEYAH NT 0820,House,4,2,3,794m² ,22 May 2023
