Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"277,500 ","514/5 Gardiner Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,1,66m² ,17 Apr 2024
"235,000 ","307/3-5 Gardiner Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,1,51m² ,05 Apr 2024
"727,000 ","129/19 Kitchener Drive,",DARWIN CITY NT 0800,Apartment / Unit / Flat,3,2,2,167m² ,4 Apr 2024
"350,000 ","11/4 Foelsche Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,1,116m² ,28 Mar 2024
"415,000 ","1308/31 Woods Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,1,107m² ,26 Mar 2024
"460,000 ","304/19 Kitchener Drive,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,1,74m² ,19 Mar 2024
"496,000 ","38/96 Woods Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,3,2,2,194m² ,13 Mar 2024
"447,500 ","57/93 Smith Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,2,101m² ,11 Mar 2024
"480,000 ","6701/7 Anchorage Court,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,1,82m² ,1 Mar 2024
"510,000 ","301/19B Kitchener Drive,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,1,74m² ,07 Mar 2024
"670,000 ","20/29 Woods Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,3,2,2,264m² ,28 Feb 2024
"330,000 ","907/79 Smith Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,1,66m² ,23 Feb 2024
"489,000 ","14/12 Dashwood Place,",DARWIN CITY NT 0800,Apartment / Unit / Flat,3,2,2,185m² ,12 Feb 2024
"415,000 ","58/5 Cardona Court,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,2,174m² ,09 Feb 2024
"385,000 ","40/108 Mitchell Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,2,152m² ,07 Feb 2024
"374,000 ","6/110 Esplanade,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,1,1,61m² ,03 Jan 2024
"520,000 ","48/8 Knuckey Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,1,138m² ,22 Dec 2023
"293,000 ","403/31 Woods Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,1,89m² ,22 Dec 2023
"435,000 ","710/12 Harvey Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,2,129m² ,15 Dec 2023
"960,000 ","20/84 Esplanade,",DARWIN CITY NT 0800,Apartment / Unit / Flat,3,2,2,185m² ,15 Dec 2023
"870,000 ","121/19B Kitchener Drive,",DARWIN CITY NT 0800,Apartment / Unit / Flat,3,2,2,167m² ,13 Dec 2023
"315,000 ","610/79 Smith Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,1,66m² ,05 Dec 2023
"420,000 ","902/24 Litchfield Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,1,115m² ,04 Dec 2023
"870,000 ","13/13 Esplanade,",DARWIN CITY NT 0800,Apartment / Unit / Flat,3,2,2,215m² ,01 Dec 2023
"475,000 ","1409/31 Woods Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,1,110m² ,21 Nov 2023
"620,000 ","220/19 Kitchener Drive,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,2,166m² ,20 Nov 2023
"540,000 ","42/96 Woods Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,3,2,2,197m² ,14 Nov 2023
"440,000 ","13/107 Woods Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,3,2,2,195m² ,13 Nov 2023
"285,000 ","33/7 Finniss Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,1,1,60m² ,11 Nov 2023
"400,000 ","29/3 Cardona Court,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,2,144m² ,06 Nov 2023
"575,000 ","10/8 Knuckey Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,3,2,1,209m² ,25 Oct 2023
"450,000 ","21/1 Buffalo Court,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,1,1,114m² ,23 Oct 2023
"375,000 ","602/6 Finniss Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,1,115m² ,19 Oct 2023
"200,000 ","20/79 Mitchell Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,1,1,54m² ,19 Oct 2023
"255,000 ","1114/43B Knuckey Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,−,65m² ,13 Oct 2023
"320,000","1204/16 Harvey Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,1,85m² ,13 Oct 2023
"313,500 ","1006/31 Woods Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,1,88m² ,12 Oct 2023
"335,000 ","4/6 Shepherd Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,1,1,76m² ,10 Oct 2023
"435,000 ","9/6 Foelsche Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,3,2,2,157m² ,05 Oct 2023
"276,000 ","1306/6 Carey Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,1,64m² ,22 Sep 2023
"405,000 ","8/130 Smith Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,2,142m² ,19 Sep 2023
"220,000 ","604/6 Carey Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,1,54m² ,15 Sep 2023
"440,000 ","8/8 Mauna Loa Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,2,145m² ,14 Sep 2023
"410,000 ","67/5 Cardona Court,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,2,144m² ,12 Sep 2023
"770,000 ","203/130 Esplanade,",DARWIN CITY NT 0800,Apartment / Unit / Flat,3,2,2,242m² ,11 Sep 2023
"430,000","1305/31 Woods Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,1,116m² ,07 Sep 2023
"170,000 ","34/115-117 Smith Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,1,72m² ,05 Sep 2023
"270,000 ","605/24 Litchfield Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,1,94m² ,23 Aug 2023
"305,000 ","13/5 Harriet Place,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,1,83m² ,11 Aug 2023
"440,000 ","601/24 Litchfield Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,1,137m² ,11 Aug 2023
"400,000 ","9/14 Dashwood Place,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,2,171m² ,24 Jul 2023
"360,000 ","7/27 Mcminn Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,1,120m² ,05 Jul 2023
"210,000 ","412/5 Gardiner Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,1,50m² ,04 Jul 2023
"450,000 ","6207/7 Anchorage Court,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,1,81m² ,29 Jun 2023
"425,000","502/29 Daly Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,1,124m² ,27 Jun 2023
"600,000 ","12/3 Harvey Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,4,2,2,256m² ,23 Jun 2023
"475,000 ","26/144 Smith Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,3,2,2,171m² ,20 Jun 2023
"330,000 ","1307/16 Harvey Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,1,1,1,85m² ,11 Jun 2023
"515,000 ","37/10 Doctors Gully Road,",DARWIN CITY NT 0800,Apartment / Unit / Flat,2,2,2,113m² ,08 Jun 2023
"455,000 ","8/107 Woods Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,3,2,2,192m² ,30 May 2023
"540,000 ","8/44 McLachlan Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,3,2,2,196m² ,29 May 2023
"412,000 ","19/101 Mitchell Street,",DARWIN CITY NT 0800,Apartment / Unit / Flat,3,2,2,163m² ,23 May 2023
"447,500 ",,DARWIN CITY NT 0800,Apartment / Unit / Flat,3,2,1,165m² ,22 May 2023
