Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"1,010,000 ","128 Gheringhap Street,",GEELONG VIC 3220,House,4,2,2,303m² ,2024
"1,170,000 ","14 Brownbill Street,",GEELONG VIC 3220,House,4,2,2,465m² ,20 Mar 2024
"935,000","118 Maud Street,",GEELONG VIC 3220,House,2,1,1,420m² ,2024
"800,000","173 Mckillop Street,",GEELONG VIC 3220,House,3,3,1,406m² ,2024
"1,480,000 ","78 Maud Street,",GEELONG VIC 3220,House,4,2,2,514m² ,16 Feb 2024
"1,050,000 ","14 SYDNEY AVENUE,",GEELONG VIC 3220,House,3,2,2,492m² ,01 Feb 2024
"642,000 ","90 Garden Street,",GEELONG VIC 3220,House,2,1,−,151m² ,14 Jan 2024
"1,000,000","132 Garden Street,",GEELONG VIC 3220,House,3,2,2,405m² ,23 Dec 2023
"682,500","116 Mckillop Street,",GEELONG VIC 3220,House,4,2,2,473m² ,2023
"200,000","50 Fitzroy Street,",GEELONG VIC 3220,House,4,1,4,348m² ,2023
"1,430,000 ","12 Ryrie Street,",GEELONG VIC 3220,House,4,3,3,549m² ,04 Dec 2023
"757,000 ","59 Carr Street,",GEELONG VIC 3220,House,3,1,1,425m² ,04 Dec 2023
"1,120,000","104-106 Kilgour Street,",GEELONG VIC 3220,House,3,2,1,224m² ,2023
"2,225,000","59 Maud Street,",GEELONG VIC 3220,House,5,2,2,724m² ,2023
"855,000 ","234 Myers Street,",GEELONG VIC 3220,House,3,2,1,354m² ,17 Nov 2023
"982,500 ","86 Fitzroy Street,",GEELONG VIC 3220,House,3,2,2,419m² ,2023
"1,300,000 ","113 McKillop Street,",GEELONG VIC 3220,House,3,3,3,452m² ,22 Oct 2023
"977,500 ","11 Bourke Crescent,",GEELONG VIC 3220,House,4,1,2,665m² ,2023
"790,000 ","124 Garden Street,",GEELONG VIC 3220,House,3,1,2,482m² ,11 Oct 2023
"625,000","130 Verner Street,",GEELONG VIC 3220,House,3,1,3,336m² ,28 Sep 2023
"740,000 ","128 Fitzroy Street,",GEELONG VIC 3220,House,3,1,2,606m² ,25 Sep 2023
"1,110,000 ","54 Swanston Street,",GEELONG VIC 3220,House,4,1,3,356m² ,22 Sep 2023
"1,265,000","46 Garden Street,",GEELONG VIC 3220,House,4,2,3,603m² ,0 Sep 2023
"1,648,000 ","15 Stradling Avenue,",GEELONG VIC 3220,House,4,2,2,637m² ,2023
"980,000 ","125 Mckillop Street,",GEELONG VIC 3220,House,3,1,2,509m² ,13 Sep 2023
"1,550,000 ","73 Fitzroy Street,",GEELONG VIC 3220,House,4,3,2,465m² ,2023
"1,100,000 ","174 Yarra Street,",GEELONG VIC 3220,House,3,2,2,651m² ,17 Aug 2023
"3,150,000","7 Vincent Avenue,",GEELONG VIC 3220,House,4,2,2,562m² ,12 Jul 2023
"715,000","43A Kilgour Street,",GEELONG VIC 3220,House,3,2,1,155m² ,21 Jun 2023
"947,000 ","146 Garden Street,",GEELONG VIC 3220,House,3,2,1,335m² ,20 Jun 2023
"680,000 ","149 Gheringhap Street,",GEELONG VIC 3220,House,3,1,1,429m² ,2023
"951,000 ","123 Verner Street,",GEELONG VIC 3220,House,3,1,1,610m² ,2023
"1,650,000","13 England Street,",GEELONG VIC 3220,House,3,2,1,120m² ,05 May 2023
"705,000","5 Forrest Street,",GEELONG VIC 3220,House,3,1,2,554m² ,18 Apr 2023
"797,000","6 McKillop Street,",GEELONG VIC 3220,House,4,1,2,374m² ,27 Mar 2023
"1,300,000 ","24 Park Street,",GEELONG VIC 3220,House,4,1,−,766m² ,2023
"930,000 ","143 Verner Street,",GEELONG VIC 3220,House,3,2,2,588m² ,2023
"1,427,500 ","87-89 Kilgour Street,",GEELONG VIC 3220,House,3,3,3,917m² ,06 Mar 2023
"700,000 ","199 Yarra Street,",GEELONG VIC 3220,House,2,1,1,210m² ,04 Mar 2023
"880,000 ","36 Richmond Crescent,",GEELONG VIC 3220,House,3,2,1,428m² ,17 Feb 2023
"830,000","6 Davison Place,",GEELONG VIC 3220,House,2,1,1,165m² ,05 Feb 2023
"870,000 ","107 Maud Street,",GEELONG VIC 3220,House,5,2,2,447m² ,2023
"1,185,000 ","21 Swanston Street,",GEELONG VIC 3220,House,3,2,2,205m² ,2023
"700,000 ","135 Gheringhap Street,",GEELONG VIC 3220,House,3,2,2,277m² ,30 Jan 2023
"1,050,000 ","19 The Esplanade South,",GEELONG VIC 3220,House,3,2,1,295m² ,2023
"950,000","232 Myers Street,",GEELONG VIC 3220,House,3,1,1,354m² ,28 Nov 2022
"885,000 ","138 Mckillop Street,",GEELONG VIC 3220,House,3,1,1,529m² ,2022
"1,185,000 ","6 Stringers Lane,",GEELONG VIC 3220,House,4,3,2,245m² ,2022
"1,056,000","40 Kilgour Street,",GEELONG VIC 3220,House,3,2,1,263m² ,18 Nov 2022
"1,150,000 ","58 Mundy Street,",GEELONG VIC 3220,House,4,1,4,939m² ,18 Nov 2022
"735,000","360 Ryrie Street,",GEELONG VIC 3220,House,3,1,2,186m² ,12 Nov 2022
"2,810,000 ","3 Fitzroy Street,",GEELONG VIC 3220,House,4,3,2,486m² ,2022
"775,000 ","11 Carr Street,",GEELONG VIC 3220,House,3,1,2,320m² ,04 Nov 2022
"1,140,000 ","147 Swanston Street,",GEELONG VIC 3220,House,3,2,2,333m² ,2022
"1,020,000 ","22 Henry Street,",GEELONG VIC 3220,House,3,1,2,422m² ,18 Oct 2022
"855,000 ","23 Mundy Street,",GEELONG VIC 3220,House,2,2,2,275m² ,17 Oct 2022
"1,580,000","135 Verner Street,",GEELONG VIC 3220,House,4,2,2,547m² ,2022
"510,000 ","3/21 Lonsdale Street,",GEELONG VIC 3220,House,2,1,1,158m² ,2022
"900,000","38 Fitzroy Street,",GEELONG VIC 3220,House,3,1,2,370m² ,2022
"2,400,000","156 Kilgour Street,",GEELONG VIC 3220,House,4,4,2,721m² ,2022
"760,000 ","5 Maud Street,",GEELONG VIC 3220,House,2,1,2,423m² ,29 Sep 2022
"1,425,000 ","11 England Street,",GEELONG VIC 3220,House,3,2,1,125m² ,2022
"5,225,000 ","5 The Esplanade,",GEELONG VIC 3220,House,4,2,2,892m² ,2022
"565,000 ","67 Carr Street,",GEELONG VIC 3220,House,3,1,1,346m² ,24 Aug 2022
"590,000 ","24 Richmond Crescent,",GEELONG VIC 3220,House,2,1,3,305m² ,29 Jul 2022
"730,000 ","84 Garden Street,",GEELONG VIC 3220,House,2,1,1,173m² ,2022
"752,500","245 Bellerine Street,",GEELONG VIC 3220,House,3,1,2,190m² ,20 Jul 2022
"900,000 ","29 Maud Street,",GEELONG VIC 3220,House,3,2,2,195m² ,09 Jul 2022
"1,360,000 ","9 Park Street,",GEELONG VIC 3220,House,4,2,2,682m² ,29 Jun 2022
"1,100,000 ","4-6 McCann Place,",GEELONG VIC 3220,House,4,2,1,252m² ,2022
"745,000 ","207 Bellerine Street,",GEELONG VIC 3220,House,3,2,−,207m² ,2022
"870,000 ","12 Henry Street,",GEELONG VIC 3220,House,3,1,1,421m² ,2022
"565,000 ","12 York Street,",GEELONG VIC 3220,House,2,1,1,190m² ,19 May 2022
"680,000 ","140 McKillop Street,",GEELONG VIC 3220,House,2,1,1,311m² ,16 May 2022
"697,000","362 Ryrie Street,",GEELONG VIC 3220,House,2,1,1,176m² ,2022
"1,410,000","44 Bourke Crescent,",GEELONG VIC 3220,House,4,2,3,438m² ,19 Apr 2022
"1,260,000 ","163 Kilgour Street,",GEELONG VIC 3220,House,4,1,1,468m² ,01 Apr 2022
"950,000 ","69 Kilgour Street,",GEELONG VIC 3220,House,3,1,2,459m² ,25 Mar 2022
"860,000 ","56 Garden Street,",GEELONG VIC 3220,House,2,1,2,444m² ,2022
"1,725,000","35 Alexandra Avenue,",GEELONG VIC 3220,House,3,2,2,368m² ,17 Mar 2022
"836,000","111 Yarra Street,",GEELONG VIC 3220,House,3,1,2,199m² ,11 Mar 2022
"567,000 ","15 Kilgour Street,",GEELONG VIC 3220,House,2,1,2,239m² ,08 Mar 2022
"850,000 ","1 Maud Street,",GEELONG VIC 3220,House,4,1,2,418m² ,08 Mar 2022
"697,000 ","4 Sutherland Street,",GEELONG VIC 3220,House,2,1,−,142m² ,2022
"1,243,000 ","7 Bourke Crescent,",GEELONG VIC 3220,House,4,2,3,552m² ,2022
"720,000 ","152 Verner Street,",GEELONG VIC 3220,House,3,1,4,468m² ,21 Feb 2022
"862,000 ","32 Mundy Street,",GEELONG VIC 3220,House,3,1,−,418m² ,2022
"945,000","112 McKillop Street,",GEELONG VIC 3220,House,4,2,1,464m² ,31 Jan 2022
"390,000 ","13/10 Fitzroy Street,",GEELONG VIC 3220,House,1,1,1,"1,312m² ",17 Jan 2022
"2,000,000","1 Little Ryrie Street,",GEELONG VIC 3220,House,5,3,2,"1,012m² ",7 Dec 2021
"855,000 ","18 Bourke Crescent,",GEELONG VIC 3220,House,3,2,2,349m² ,13 Dec 2021
"1,330,000 ","1-3 /8 Swanston Street,",GEELONG VIC 3220,House,4,3,−,310m² ,2021
"1,650,000 ","41-43 Bellerine Street,",GEELONG VIC 3220,House,3,2,1,586m² ,11 Nov 2021
"950,000 ","53 Bellerine Street,",GEELONG VIC 3220,House,5,2,−,405m² ,2021
"1,535,000 ","71 Fitzroy Street,",GEELONG VIC 3220,House,4,2,2,538m² ,7 Oct 2021
"1,550,000","9 Sydney Avenue,",GEELONG VIC 3220,House,3,2,2,384m² ,22 Oct 2021
"2,596,000","77-79 Swanston Street,",GEELONG VIC 3220,House,3,2,−,921m² ,2021
"1,290,000 ","11 Richmond Street,",GEELONG VIC 3220,House,3,3,1,512m² ,2021
"550,000 ","2/215 Little Malop Street,",GEELONG VIC 3220,House,2,1,2,101m² ,18 Aug 2021
"1,014,500 ","196 Garden Street,",GEELONG VIC 3220,House,3,2,2,554m² ,2021
"890,000","125 Fitzroy Street,",GEELONG VIC 3220,House,4,2,1,363m² ,09 Jul 2021
"1,280,000 ","115-117 Kilgour Street,",GEELONG VIC 3220,House,4,2,2,564m² ,2021
"1,710,000 ","3 Pevensey Crescent,",GEELONG VIC 3220,House,3,2,3,346m² ,2021
"607,500 ","161 Kilgour Street,",GEELONG VIC 3220,House,2,1,2,264m² ,2021
"950,000 ","39 Fenwick Street,",GEELONG VIC 3220,House,3,1,1,836m² ,25 Jun 2021
"730,000 ","194C Garden Street,",GEELONG VIC 3220,House,3,1,2,239m² ,11 Jun 2021
"780,000 ","139 Verner Street,",GEELONG VIC 3220,House,2,1,1,519m² ,2021
"851,000 ","4/250 Malop Street,",GEELONG VIC 3220,House,2,1,2,201m² ,2021
"825,000 ","8 Stringers Lane,",GEELONG VIC 3220,House,3,2,2,248m² ,14 May 2021
"1,400,000 ","169 McKillop Street,",GEELONG VIC 3220,House,4,1,2,"1,013m² ",2021
"1,425,000 ","135 Verner Street,",GEELONG VIC 3220,House,4,2,2,547m² ,2021
