Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"1,125,000 ","13 Laing Court,",GEELONG VIC 3220,Vacant land,0,0,0,522m² ,26 Feb 2024
"1,350,000 ","122 Corio Street,",GEELONG VIC 3220,Townhouse,3,2,2,162m² ,06 Feb 2024
"750,000 ","8 Cuzens Place,",GEELONG VIC 3220,Apartment / Unit / Flat,3,2,2,145m² ,2023
"810,000","2/36 McKillop Street,",GEELONG VIC 3220,Townhouse,3,2,2,140m² ,10 May 2023
"820,000 ","11 Morrison Street,",GEELONG VIC 3220,Townhouse,3,2,2,224m² ,2023
"1,075,000 ","9 Glenleith Court,",GEELONG VIC 3220,Vacant land,0,0,0,514m² ,27 Feb 2023
"715,000 ","909/10 Bellerine Street,",GEELONG VIC 3220,Apartment / Unit / Flat,2,1,1,65m² ,19 Feb 2023
"540,000 ","156 McKillop Street,",GEELONG VIC 3220,Vacant land,0,0,0,449m² ,2022
"735,000 ","8 Little Fenwick Street,",GEELONG VIC 3220,Townhouse,2,1,2,169m² ,19 Sep 2022
"410,000 ","1/450 Ryrie Street,",GEELONG VIC 3220,Apartment / Unit / Flat,2,1,1,100m² ,03 Jun 2022
"670,000 ","5/197-201 Little Malop Street,",GEELONG VIC 3220,Townhouse,2,1,1,105m² ,2022
"594,000 ","7/73-75 MAUD STREET,",GEELONG VIC 3220,Townhouse,2,1,1,232m² ,2021
"1,200,000","3/4 Richmond Court,",GEELONG VIC 3220,Townhouse,3,2,2,226m² ,3 Nov 2021
"490,000","1/122-126 Little Ryrie Street,",GEELONG VIC 3220,Apartment / Unit / Flat,2,1,1,107m² ,22 Oct 2021
"550,000 ","2/15 MONT ALBERT ROAD,",GEELONG VIC 3220,Townhouse,2,1,1,131m² ,09 Sep 2021
"890,000 ","21 Mundy Street,",GEELONG VIC 3220,Vacant land,0,0,0,445m² ,2021
"525,000 ","2/35 Mundy Street,",GEELONG VIC 3220,Apartment / Unit / Flat,2,1,2,129m² ,2021
"2,500,000 ","32 Myers Street,",GEELONG VIC 3220,Block of units,4,5,10,"1,012m² ",11 Feb 2021
"840,000 ","2/2 Mercer Street,",GEELONG VIC 3220,Apartment / Unit / Flat,2,2,1,699m² ,20 Oct 2020
"810,000 ","2/4 Richmond Court,",GEELONG VIC 3220,Townhouse,3,2,2,226m² ,2020
"570,000","1/17 Brownbill Street,",GEELONG VIC 3220,Townhouse,2,1,1,302m² ,14 Feb 2019
"1,050,000","39 Alexandra Avenue,",GEELONG VIC 3220,Townhouse,3,2,2,313m² ,22 Dec 2018
"633,000 ","15 Adams Place,",GEELONG VIC 3220,Townhouse,3,1,2,182m² ,20 Dec 2018
"441,000 ","5/73-75 Maud Street,",GEELONG VIC 3220,Apartment / Unit / Flat,2,1,1,204m² ,2018
"805,000","2/11 York Street,",GEELONG VIC 3220,Townhouse,3,3,1,132m² ,2018
"575,000","1/61 Brougham Street,",GEELONG VIC 3220,Apartment / Unit / Flat,2,2,1,380m² ,2017
"225,000","4 Lt Fenwick Street,",GEELONG VIC 3220,Vacant land,0,0,0,304m² ,11 Sep 2017
"520,000 ","15 Richmond Crescent,",GEELONG VIC 3220,Townhouse,3,1,1,242m² ,2017
"275,000 ","8 Stringers Place,",GEELONG VIC 3220,Vacant land,0,0,0,247m² ,26 Apr 2017
"270,000 ","7 Merrell Lane,",GEELONG VIC 3220,Vacant land,0,0,0,156m² ,31 Jan 2017
"220,000 ","Lot 156 Balfour Street,",GEELONG VIC 3220,Vacant land,0,0,0,504m² ,09 Jan 2017
"457,000 ","195 Bellerine Street,",GEELONG VIC 3220,Apartment / Unit / Flat,2,1,−,216m² ,2016
"405,000","194C Garden Street,",GEELONG VIC 3220,Townhouse,3,1,1,239m² ,09 Dec 2016
"185,000 ","Lot 102 Rutledge Blvde,",GEELONG VIC 3220,Vacant land,0,0,0,352m² ,07 Dec 2016
"800,000","270 Malop Street,",GEELONG VIC 3220,Townhouse,3,2,2,242m² ,08 Sep 2016
"285,000 ","6 Stringers Place,",GEELONG VIC 3220,Vacant land,0,0,0,245m² ,03 Apr 2016
"250,000 ","LOT 47 Rutledge Boulevard,",GEELONG VIC 3220,Vacant land,0,0,0,352m² ,21 Mar 2016
"657,000 ","2/52 Mundy Street,",GEELONG VIC 3220,Townhouse,5,2,2,410m² ,17 Dec 2015
"773,197","91 Yarra Street,",GEELONG VIC 3220,Townhouse,3,1,3,234m² ,15 Dec 2015
"260,000 ","19 Kilgour Street,",GEELONG VIC 3220,Vacant land,0,0,0,535m² ,21 Oct 2015
"650,000 ","13 York Street,",GEELONG VIC 3220,Apartment / Unit / Flat,0,0,0,424m² ,10 Sep 2015
"395,000","143 Kilgour Street,",GEELONG VIC 3220,Townhouse,2,2,2,396m² ,2014
"258,000 ","2/8 Tucker Street,",GEELONG VIC 3220,Apartment / Unit / Flat,3,1,1,271m² ,17 Jun 2014
"610,000 ","2/98-100 McKillop Street,",GEELONG VIC 3220,Townhouse,3,2,2,354m² ,16 Apr 2014
"266,000","125 Fitzroy Street,",GEELONG VIC 3220,Vacant land,0,0,0,358m² ,12 Jun 2013
"632,000","72 Little Ryrie Street,",GEELONG VIC 3220,Townhouse,3,2,2,165m² ,2013
"445,000","232 Malop Street,",GEELONG VIC 3220,Townhouse,2,2,2,194m² ,21 Oct 2011
"902,000","117 Yarra Street,",GEELONG VIC 3220,Townhouse,11,2,−,250m² ,2011
"590,000 ","57 Curtin Street,",BELL PARK VIC 3215,Apartment / Unit / Flat,3,1,1,315m² ,26 Apr 2024
"795,000 ","3/151-153 Hope Street,",GEELONG WEST VIC 3218,Townhouse,3,2,2,203m² ,7 Apr 2024
"480,000 ","80 Dell Boulevard,",FYANSFORD VIC 3218,Vacant land,0,0,0,448m² ,12 Apr 2024
"550,000 ","3 Robb Avenue,",HAMLYN HEIGHTS VIC 3215,Vacant land,0,0,0,650m² ,12 Apr 2024
"415,000 ","3/7 Saturn Street,",NEWCOMB VIC 3219,Apartment / Unit / Flat,2,1,1,160m² ,11 Apr 2024
"390,000 ","1/163 Separation Street,",BELL PARK VIC 3215,Townhouse,2,1,1,259m² ,09 Apr 2024
