Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"1,520,000 ","16 Mayjohn Avenue,",CARRARA QLD 4211,House,5,3,2,"1,016m² ",2024
"2,000,000 ","45 Charolais Crescent,",BENOWA WATERS QLD 4217,House,4,3,2,966m² ,2024
"1,905,000 ","91 Hooker Boulevard,",BROADBEACH WATERS QLD 4218,House,4,2,2,760m² ,2024
"4,010,000 ","167 Stanhill Drive,",CHEVRON ISLAND QLD 4217,House,4,3,3,506m² ,2024
"1,000,000 ","22 Berrimilla Lane,",COOMERA WATERS QLD 4209,House,4,2,2,914m² ,26 Apr 2024
"950,000 ","1/49 Keegan Circuit,",CURRUMBIN WATERS QLD 4223,Semi-detached,3,2,3,123m² ,2024
"1,050,000 ","6 Kilmarnock Close,",HIGHLAND PARK QLD 4211,House,5,2,3,938m² ,26 Apr 2024
"1,020,000 ","17 Chindrina Street,",HOPE ISLAND QLD 4212,House,3,2,2,625m² ,26 Apr 2024
"2,400,000 ","7622 Fairway Boulevard,",HOPE ISLAND QLD 4212,House,4,3,2,602m² ,26 Apr 2024
"1,125,000 ","15 Galley Road,",HOPE ISLAND QLD 4212,House,4,2,2,557m² ,26 Apr 2024
"1,190,000 ","17 Riverina Court,",NERANG QLD 4211,House,5,3,4,374m² ,26 Apr 2024
"931,000 ","457 Gainsborough Drive,",PIMPAMA QLD 4209,House,4,2,2,455m² ,26 Apr 2024
"800,000 ","55 Bull Road,",PIMPAMA QLD 4209,House,4,2,2,450m² ,26 Apr 2024
"1,360,000 ","23 Cranbourne Court,",ROBINA QLD 4226,House,4,2,2,835m² ,26 Apr 2024
"1,335,000 ","16 Thomas Duncan Court,",WORONGARY QLD 4213,House,5,3,3,"5,726m² ",26 Apr 2024
"2,405,000 ","27/12 Handel Avenue,",WORONGARY QLD 4213,House,6,4,3,0,26 Apr 2024
"925,000 ","1/395 Bayview Street,",HOLLYWELL QLD 4216,Duplex,3,2,2,681m² ,25 Apr 2024
"981,000 ","35 Sundew Crescent,",UPPER COOMERA QLD 4209,House,5,2,2,855m² ,25 Apr 2024
"800,000 ","2/30 Clark Street,",BIGGERA WATERS QLD 4216,Duplex,4,2,2,183m² ,24 Apr 2024
"1,810,000 ","71 Balmara Place,",COOMERA WATERS QLD 4209,House,4,3,2,364m² ,24 Apr 2024
"856,000 ","7 Balyando Drive,",NERANG QLD 4211,House,3,1,3,757m² ,24 Apr 2024
"1,650,000 ","2 Rigel Court,",ROBINA QLD 4226,House,4,2,2,641m² ,2024
"2,620,000 ","21 Wombat Court,",SORRENTO QLD 4217,House,4,3,2,756m² ,24 Apr 2024
"5,000,000 ","1 Knightsbridge Parade West,",SOVEREIGN ISLANDS QLD 4216,House,4,4,4,804m² ,24 Apr 2024
"1,250,000 ","38 Horizon Avenue,",ASHMORE QLD 4214,House,4,3,2,644m² ,23 Apr 2024
"2,100,000 ","18 Eastpark Waters,",HELENSVALE QLD 4212,House,5,3,2,940m² ,3 Apr 2024
"960,000 ","17 Ludlow Crescent,",ORMEAU HILLS QLD 4208,House,4,2,2,506m² ,23 Apr 2024
"745,000 ","105 Universal Street,",OXENFORD QLD 4210,House,3,2,1,804m² ,23 Apr 2024
"1,035,000 ","13 Bushtree Court,",BURLEIGH WATERS QLD 4220,House,3,1,2,707m² ,22 Apr 2024
"1,210,000 ","46 Picnic Creek Drive,",COOMERA QLD 4209,House,5,3,2,783m² ,22 Apr 2024
"770,000 ","46 Tribeca Circuit,",COOMERA QLD 4209,House,4,2,2,375m² ,22 Apr 2024
"985,000 ","2/55 Riverside Drive,",CURRUMBIN WATERS QLD 4223,House,3,2,2,375m² ,22 Apr 2024
"1,030,000 ","18 Bathurst Court,",HELENSVALE QLD 4212,House,4,2,6,"1,555m² ",22 Apr 2024
"840,000 ","82 Alexander Drive,",HIGHLAND PARK QLD 4211,House,3,1,2,622m² ,22 Apr 2024
"930,988 ","1/3 Kenmar Street,",LABRADOR QLD 4215,Duplex,3,2,2,187m² ,22 Apr 2024
"800,000 ","18 Saxon Court,",NERANG QLD 4211,House,3,1,2,662m² ,22 Apr 2024
"1,225,000 ","60 Brittany Drive,",OXENFORD QLD 4210,House,5,2,2,725m² ,2 Apr 2024
"1,605,000 ","35 Seaspray Street,",PARADISE POINT QLD 4216,House,3,2,2,641m² ,22 Apr 2024
"1,735,000 ","1/3 Winders Avenue,",TUGUN QLD 4224,House,4,3,5,303m² ,22 Apr 2024
"780,000 ","22 Grammar Street,",UPPER COOMERA QLD 4209,House,4,2,2,503m² ,22 Apr 2024
"2,700,000 ","10 Sara Avenue,",BROADBEACH WATERS QLD 4218,House,4,2,4,835m² ,21 Apr 2024
"1,340,250 ","1 Concourse Drive,",MERMAID WATERS QLD 4218,Villa,4,2,2,250m² ,2024
"1,710,000 ","17 Wayfarer Avenue,",MERMAID WATERS QLD 4218,House,3,1,3,871m² ,2024
"1,450,000 ","21 Oberon Way,",OXENFORD QLD 4210,House,8,4,6,"4,706m² ",21 Apr 2024
"1,230,000 ","13 Elkins Street,",PACIFIC PINES QLD 4211,House,5,3,4,"1,056m² ",2024
"960,000 ","20 Matthews Crescent,",PIMPAMA QLD 4209,House,4,2,2,730m² ,2024
"855,000 ","6 Halifax Circuit,",PIMPAMA QLD 4209,House,3,2,2,414m² ,2024
"950,000 ","28 Baldwin Crescent,",PIMPAMA QLD 4209,House,4,2,2,730m² ,2024
"805,000 ","61 Fountain Street,",PIMPAMA QLD 4209,House,3,2,2,494m² ,2024
"800,000 ","6 Dyer Street,",PIMPAMA QLD 4209,House,4,2,2,402m² ,2024
"997,000 ","22 Stag Court,",UPPER COOMERA QLD 4209,House,4,2,3,668m² ,2024
"1,100,000 ","6 Picton Court,",UPPER COOMERA QLD 4209,House,3,2,2,871m² ,2024
"11,000,000 ","129 Jefferson Lane,",PALM BEACH QLD 4221,House,5,5,5,476m² ,2024
"2,000,000 ","9 Jennifer Avenue,",RUNAWAY BAY QLD 4216,House,6,2,2,870m² ,2024
"1,930,000 ","94 Campbell Street,",SORRENTO QLD 4217,House,5,3,2,768m² ,2024
"1,100,000 ","11 Ridgeway Avenue,",SOUTHPORT QLD 4215,House,4,2,2,511m² ,2024
"1,830,000 ","2 Cresta Court,",BROADBEACH WATERS QLD 4218,House,3,2,2,544m² ,19 Apr 2024
"1,425,000 ","19 Lotus Avenue,",HOLLYWELL QLD 4216,House,3,2,2,506m² ,19 Apr 2024
"1,122,000 ","35 North Quay Circuit,",HOPE ISLAND QLD 4212,House,4,3,2,375m² ,19 Apr 2024
"5,300,000 ","79 Gibraltar Drive,",ISLE OF CAPRI QLD 4217,House,4,4,2,612m² ,2024
"1,170,000 ","40 Turpin Rd,",LABRADOR QLD 4215,House,3,2,4,531m² ,19 Apr 2024
"1,795,000 ","1/79 Tahiti Avenue,",PALM BEACH QLD 4221,House,4,3,2,292m² ,19 Apr 2024
"6,850,000 ","90 Admiralty Drive,",PARADISE WATERS QLD 4217,House,5,6,4,733m² ,19 Apr 2024
"820,000 ","24 Mercer Street,",PIMPAMA QLD 4209,House,4,2,2,300m² ,9 Apr 2024
"2,300,000 ","115 Campbell Street,",SORRENTO QLD 4217,House,4,2,4,751m² ,19 Apr 2024
"1,000,000 ","40 Shelduck Street,",UPPER COOMERA QLD 4209,House,4,2,2,774m² ,19 Apr 2024
"1,760,000 ","28 Albert Evans Drive,",WORONGARY QLD 4213,House,5,3,2,"5,530m² ",2024
"1,180,000 ","6 Ryfield Road,",CARRARA QLD 4211,House,5,2,2,756m² ,17 Apr 2024
"1,650,000 ","10 Kew Court,",NERANG QLD 4211,House,5,2,6,"1,289m² ",17 Apr 2024
"1,110,000 ","20 Joshua Place,",OXENFORD QLD 4210,House,4,2,2,610m² ,17 Apr 2024
"7,600,000 ","2 Saywell Street,",SORRENTO QLD 4217,House,5,5,3,873m² ,17 Apr 2024
"3,745,000 ","31 Knightsbridge Parade East,",SOVEREIGN ISLANDS QLD 4216,House,4,4,4,823m² ,17 Apr 2024
"689,500 ","2/3 Silver Gull Street,",COOMERA QLD 4209,Duplex,3,2,1,133m² ,16 Apr 2024
"1,220,000 ","4 Lillywood Circuit,",MOLENDINAR QLD 4214,House,4,2,4,695m² ,16 Apr 2024
"855,000 ","16 Saint Petersburg Place,",NERANG QLD 4211,House,3,2,2,899m² ,16 Apr 2024
"740,000 ","38 Fountain Street,",PIMPAMA QLD 4209,House,4,2,1,300m² ,16 Apr 2024
"730,000 ","20 William Boulevard,",PIMPAMA QLD 4209,House,4,2,2,391m² ,16 Apr 2024
"770,000 ","11 Hanlin Way,",PIMPAMA QLD 4209,House,4,2,2,375m² ,6 Apr 2024
"1,725,000 ","11 Monserrat Court,",REEDY CREEK QLD 4227,House,6,3,3,"1,123m² ",16 Apr 2024
"990,000 ","7 Toolangi Court,",UPPER COOMERA QLD 4209,House,4,2,3,766m² ,16 Apr 2024
"840,000 ","16 Rivercherry Way,",UPPER COOMERA QLD 4209,House,4,2,2,632m² ,6 Apr 2024
"1,170,000 ","21 Greenbank Circuit,",CARRARA QLD 4211,House,4,2,2,690m² ,15 Apr 2024
"1,273,000 ","29 Wendoree Way,",COOMBABAH QLD 4216,House,4,2,2,721m² ,2024
"1,780,000 ","38 Verona Avenue,",ISLE OF CAPRI QLD 4217,House,4,2,2,506m² ,15 Apr 2024
