Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"505,000 ","205/1 Hart Street,",ASHMORE QLD 4214,Apartment / Unit / Flat,1,1,1,67m² ,26 Apr 2024
"768,000 ","8/40 Macadie Way,",MERRIMAC QLD 4226,Townhouse,4,2,2,164m² ,24 Apr 2024
"760,000 ","811/5-19 Palm Avenue,",SURFERS PARADISE QLD 4217,Apartment / Unit / Flat,2,2,1,111m² ,22 Apr 2024
"885,000 ","4/1055 Gold Coast Highway,",PALM BEACH QLD 4221,Apartment / Unit / Flat,2,1,1,594m² ,2024
"1,650,000 ","5016 Harbourview Drive,",HOPE ISLAND QLD 4212,Vacant land,0,0,0,659m² ,17 Apr 2024
"350,000 ","6 Stonewood Circuit,",OXENFORD QLD 4210,Vacant land,0,0,0,309m² ,17 Apr 2024
"630,000 ","2/12 Martin Street,",NERANG QLD 4211,Townhouse,3,2,2,179m² ,15 Apr 2024
"1,005,000 ","248 Easthill Drive,",ROBINA QLD 4226,Townhouse,3,3,4,177m² ,15 Apr 2024
"850,000 ","3/8 Bright Avenue,",LABRADOR QLD 4215,Townhouse,3,2,2,132m² ,12 Apr 2024
"620,000 ","30/2 Studio Drive,",PACIFIC PINES QLD 4211,Townhouse,3,2,1,133m² ,12 Apr 2024
"681,000 ","5/3 Culgoa Street,",PALM BEACH QLD 4221,Apartment / Unit / Flat,2,1,1,211m² ,11 Apr 2024
"720,000 ","19 Nangana Street,",TUGUN QLD 4224,Vacant land,0,0,0,601m² ,11 Apr 2024
"1,425,000 ","1437 Gold Coast Highway,",PALM BEACH QLD 4221,Vacant land,0,0,0,412m² ,0 Apr 2024
"610,000 ","68/1 Isla Street,",PIMPAMA QLD 4209,Townhouse,3,2,3,139m² ,10 Apr 2024
"715,000 ","4/4 Rolan Court,",PALM BEACH QLD 4221,Apartment / Unit / Flat,2,1,2,73m² ,09 Apr 2024
"10,000,000 ","85 Admiralty Drive,",PARADISE WATERS QLD 4217,Vacant land,0,0,0,"1,600m² ",09 Apr 2024
"710,000 ","1/85 Greenacre Drive,",PARKWOOD QLD 4214,Townhouse,3,2,1,102m² ,08 Apr 2024
"1,120,000 ","1/4 Peewee Place,",BURLEIGH WATERS QLD 4220,Townhouse,3,1,2,236m² ,5 Apr 2024
"11,500,000 ","2 Surf Street,",MERMAID BEACH QLD 4218,Block of units,9,6,4,405m² ,2024
"2,300,000 ","74/146-150 Tallebudgera Drive,",PALM BEACH QLD 4221,Vacant land,0,0,0,682m² ,04 Apr 2024
"2,450,000 ","4 Regents Court,",SOVEREIGN ISLANDS QLD 4216,Vacant land,0,0,0,715m² ,04 Apr 2024
"595,000 ","1/29 Oak Avenue,",SURFERS PARADISE QLD 4217,Block of units,2,1,1,"1,062m² ",04 Apr 2024
"960,000 ","2/12 Gammon Drive,",VARSITY LAKES QLD 4227,Apartment / Unit / Flat,3,2,1,109m² ,04 Apr 2024
"449,000 ","6/416 Marine Parade,",BIGGERA WATERS QLD 4216,Apartment / Unit / Flat,1,1,1,"1,553m² ",03 Apr 2024
"770,000 ","5/33 Clark Street,",BIGGERA WATERS QLD 4216,Townhouse,3,2,2,199m² ,03 Apr 2024
