Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"741,000 ","18 Sun Street,",HOBART TAS 7000,House,2,1,−,163m² ,31 Jan 2024
"720,000 ","69 Warwick Street,",HOBART TAS 7000,House,4,1,−,258m² ,15 Nov 2023
"860,000 ","77 Goulburn Street,",HOBART TAS 7000,House,3,1,−,587m² ,29 Sep 2023
"620,000 ","36 Goulburn Street,",HOBART TAS 7000,House,2,1,−,163m² ,20 Sep 2023
"1,000,000 ","13 Campbell Street,",HOBART TAS 7000,House,3,2,2,252m² ,16 Sep 2023
"1,500,000 ","142 Brisbane Street,",HOBART TAS 7000,House,5,2,4,675m² ,22 Aug 2023
"830,000 ","38 Goulburn Street,",HOBART TAS 7000,House,2,1,−,168m² ,10 May 2023
"825,000 ","31B Goulburn Street,",HOBART TAS 7000,Terrace,2,1,2,162m² ,26 Apr 2023
"1,475,000 ","90 Warwick Street,",HOBART TAS 7000,House,3,2,3,472m² ,10 Mar 2023
"805,000","12 Berea Street,",HOBART TAS 7000,House,2,1,−,111m² ,17 Oct 2022
"755,000","7/57 Warwick Street,",HOBART TAS 7000,House,3,2,1,198m² ,28 Sep 2022
"1,000,000","57 Victoria Street,",HOBART TAS 7000,House,3,2,1,159m² ,07 Sep 2022
"1,910,000 ","7 Campbell Street,",HOBART TAS 7000,House,3,1,2,490m² ,11 May 2022
"980,000 ","1 Paternoster Row,",HOBART TAS 7000,House,4,1,2,490m² ,14 Apr 2022
"920,000 ","65 Patrick Street,",HOBART TAS 7000,House,3,1,−,227m² ,10 Mar 2022
"912,500","53 Patrick Street,",HOBART TAS 7000,House,4,1,1,176m² ,08 Mar 2022
"1,000,100 ","132 Brisbane Street,",HOBART TAS 7000,House,3,1,1,120m² ,25 Feb 2022
"996,000 ","60 Goulburn Street,",HOBART TAS 7000,House,3,1,−,302m² ,22 Feb 2022
"1,500,000 ","50A Molle Street,",HOBART TAS 7000,House,1,1,5,469m² ,22 Feb 2022
"731,000","1/57 Warwick Street,",HOBART TAS 7000,House,2,1,1,240m² ,19 Feb 2022
"1,846,500","4 Church Street,",HOBART TAS 7000,House,4,3,2,358m² ,12 Feb 2022
"1,470,000","71 Barrack Street,",HOBART TAS 7000,House,4,3,1,372m² ,05 Feb 2022
"884,000","3/182 Bathurst Street,",HOBART TAS 7000,House,2,1,−,187m² ,24 Jan 2022
"955,000 ","130 Brisbane Street,",HOBART TAS 7000,House,3,1,1,896m² ,17 Jan 2022
"1,820,000","55 Davey Street,",HOBART TAS 7000,House,7,4,−,129m² ,20 Dec 2021
