Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"535,000 ","2/166 Bathurst Street,",HOBART TAS 7000,Apartment / Unit / Flat,1,1,1,94m² ,15 Apr 2024
"681,000 ","1/166 Bathurst Street,",HOBART TAS 7000,Apartment / Unit / Flat,2,1,1,134m² ,21 Mar 2024
"1,100,000 ","15/1 Creswells Row,",HOBART TAS 7000,Townhouse,3,2,2,175m² ,13 Mar 2024
"210,000 ","Unit 406/156 Bathurst Street,",HOBART TAS 7000,Apartment / Unit / Flat,2,1,1,51m² ,23 Jan 2024
"1,600,000 ","506/3 Evans Street,",HOBART TAS 7000,Apartment / Unit / Flat,3,2,2,215m² ,11 Jan 2024
"1,525,000 ","601/62 Patrick Street,",HOBART TAS 7000,Apartment / Unit / Flat,3,2,2,277m² ,03 Nov 2023
"195,000 ","Unit 525/156 Bathurst Street,",HOBART TAS 7000,Apartment / Unit / Flat,1,1,1,56m² ,27 Oct 2023
"1,100,000 ","11/1 Collins Street,",HOBART TAS 7000,Apartment / Unit / Flat,3,2,1,219m² ,13 Aug 2023
"1,090,000 ","19/1 Collins Street,",HOBART TAS 7000,Apartment / Unit / Flat,3,3,1,266m² ,02 Jul 2023
"511,000 ","503/126 Bathurst Street,",HOBART TAS 7000,Apartment / Unit / Flat,1,1,−,65m² ,30 May 2023
"835,000 ","1/95 Elizabeth Street,",HOBART TAS 7000,Apartment / Unit / Flat,2,2,−,170m² ,04 May 2023
"1,050,000 ","2/1 Collins Street,",HOBART TAS 7000,Apartment / Unit / Flat,3,2,1,213m² ,12 Apr 2023
"800,000 ","1/153 Hampden Road,",HOBART TAS 7000,Townhouse,2,1,2,246m² ,05 Apr 2023
"731,000 ","27/1 Collins Street,",HOBART TAS 7000,Apartment / Unit / Flat,2,1,1,161m² ,31 Mar 2023
"1,060,000","75 Molle Street,",HOBART TAS 7000,Block of units,4,4,4,254m² ,10 Mar 2023
"815,000","6/1 Creswells Row,",HOBART TAS 7000,Townhouse,3,2,1,142m² ,02 Mar 2023
"790,000 ","13/1 Collins Street,",HOBART TAS 7000,Townhouse,2,1,1,155m² ,01 Mar 2023
"1,075,000","40/1 Collins Street,",HOBART TAS 7000,Apartment / Unit / Flat,3,2,1,171m² ,15 Feb 2023
"1,100,000 ","36/1 Collins Street,",HOBART TAS 7000,Apartment / Unit / Flat,3,2,1,171m² ,09 Feb 2023
