Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"462,000 ","1/9A Byron Street,",MACKAY QLD 4740,House,3,1,1,363m² ,23 Mar 2024
"400,000 ","20 James Street,",MACKAY QLD 4740,House,3,2,6,842m² ,19 Mar 2024
"409,000 ","12 Keats Street,",MACKAY QLD 4740,House,3,1,2,405m² ,08 Mar 2024
"312,000 ","16 Gold Street,",MACKAY QLD 4740,House,3,1,1,405m² ,15 Feb 2024
"380,000 ","58A Wellington Street,",MACKAY QLD 4740,House,4,1,2,677m² ,08 Feb 2024
"370,000 ","49 Paradise Street,",MACKAY QLD 4740,House,3,2,2,809m² ,06 Feb 2024
"330,000 ","3/21 Byron Street,",MACKAY QLD 4740,Duplex,2,1,1,244m² ,31 Jan 2024
"467,000","354 Alfred Street,",MACKAY QLD 4740,House,3,2,2,682m² ,19 Jan 2024
"320,000 ","3A Prospect Street,",MACKAY QLD 4740,House,3,1,4,696m² ,19 Dec 2023
"595,000 ","19 Othello Street,",MACKAY QLD 4740,House,6,3,6,910m² ,01 Dec 2023
"242,000","14/7 Prospect Street,",MACKAY QLD 4740,House,2,1,1,85m² ,30 Nov 2023
"330,000 ","101 Milton Street,",MACKAY QLD 4740,House,4,1,2,581m² ,29 Nov 2023
"530,000 ","12 Moore Street,",MACKAY QLD 4740,House,4,2,3,"1,012m² ",28 Nov 2023
"280,000 ","19 Byron Street,",MACKAY QLD 4740,House,3,1,1,"1,012m² ",28 Nov 2023
"750,000 ","53 Macalister Street,",MACKAY QLD 4740,House,4,2,2,960m² ,23 Nov 2023
"372,000","UNIT 3/21 BODDINGTON STREET,",MACKAY QLD 4740,House,3,2,2,179m² ,
"380,000 ","74 Carlyle Street,",MACKAY QLD 4740,House,3,1,2,429m² ,25 Oct 2023
"550,000 ","22 Wentford Street,",MACKAY QLD 4740,House,3,2,4,809m² ,25 Oct 2023
"357,000 ","24 James Street,",MACKAY QLD 4740,House,2,1,1,414m² ,09 Oct 2023
"396,000 ","2 Jubilee Street,",MACKAY QLD 4740,House,3,1,1,378m² ,05 Oct 2023
"370,000 ","153 Milton Street,",MACKAY QLD 4740,House,3,1,2,812m² ,01 Sep 2023
"350,000 ","31 Peel Street,",MACKAY QLD 4740,House,3,1,1,705m² ,25 Aug 2023
"230,000","4/11 Prospect Street,",MACKAY QLD 4740,House,2,1,1,67m² ,17 Aug 2023
"342,050 ","19 Hinton Street,",MACKAY QLD 4740,House,3,2,2,809m² ,14 Aug 2023
"347,000","6/59 MacAlister Street,",MACKAY QLD 4740,House,3,2,1,146m² ,10 Aug 2023
"425,000 ","98 Kippen Street,",MACKAY QLD 4740,House,2,2,2,647m² ,27 Jul 2023
"345,000 ","15 Griffin Street,",MACKAY QLD 4740,House,3,2,2,823m² ,19 Jul 2023
"420,000 ","11 Park Street,",MACKAY QLD 4740,House,4,2,2,680m² ,17 Jul 2023
"230,000 ","3/3 Hucker Street,",MACKAY QLD 4740,House,2,1,1,173m² ,14 Jul 2023
"285,000 ","Unit 1/24 East Gordon Street,",MACKAY QLD 4740,House,1,1,1,113m² ,10 Jul 2023
"194,000 ","11/19 Prospect Street,",MACKAY QLD 4740,House,2,1,1,93m² ,13 Jun 2023
"373,500 ","11 Norris Street,",MACKAY QLD 4740,House,3,2,2,441m² ,12 Jun 2023
"480,000 ","24 Hinton Street,",MACKAY QLD 4740,House,3,2,2,809m² ,09 Jun 2023
"313,000 ","1B Howard Street,",MACKAY QLD 4740,House,2,1,1,165m² ,02 Jun 2023
"830,000 ","4 Hinton Street,",MACKAY QLD 4740,House,5,2,6,809m² ,17 May 2023
"320,000 ","313 Shakespeare Street,",MACKAY QLD 4740,House,3,1,−,816m² ,05 May 2023
"400,000 ","1 Grant Street,",MACKAY QLD 4740,House,4,1,3,804m² ,03 May 2023
"180,000 ","51 Wellington Street,",MACKAY QLD 4740,House,2,1,2,663m² ,04 Apr 2023
"310,000 ","3 Prospect Street,",MACKAY QLD 4740,House,3,1,4,716m² ,03 Apr 2023
"501,000 ","1 Kiwi Court, Ooralea,",MACKAY QLD 4740,House,3,2,2,782m² ,27 Feb 2023
"390,000 ","24/26 River Street,",MACKAY QLD 4740,House,2,2,2,126m² ,22 Feb 2023
"255,000 ","20/107 Shakespeare Street,",MACKAY QLD 4740,House,2,1,1,155m² ,21 Feb 2023
"300,000 ","8 Hinton Street,",MACKAY QLD 4740,House,2,1,1,809m² ,20 Feb 2023
"455,000 ","44 George Street,",MACKAY QLD 4740,House,3,1,1,"1,083m² ",15 Feb 2023
"180,000 ","4/7 Prospect Street,",MACKAY QLD 4740,House,2,1,1,85m² ,08 Dec 2022
"500,000 ","21 Gold Street,",MACKAY QLD 4740,House,3,2,2,673m² ,18 Nov 2022
"359,000 ","56 Wellington Street,",MACKAY QLD 4740,House,3,1,1,676m² ,17 Nov 2022
"415,000 ","4 Grant Street,",MACKAY QLD 4740,House,3,1,2,809m² ,10 Nov 2022
"365,500 ","14 Hucker Street,",MACKAY QLD 4740,House,4,1,4,811m² ,09 Nov 2022
