Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"260,000 ","10/107 Shakespeare Street,",MACKAY QLD 4740,Apartment / Unit / Flat,2,1,1,155m² ,19 Apr 2024
"275,000 ","1/8 Moore Street,",MACKAY QLD 4740,Apartment / Unit / Flat,2,1,2,105m² ,15 Apr 2024
"352,000 ","8/72a Wellington Street,",MACKAY QLD 4740,Apartment / Unit / Flat,2,1,1,196m² ,12 Apr 2024
"233,500 ","3/6 Wentford Street,",MACKAY QLD 4740,Apartment / Unit / Flat,2,1,1,107m² ,11 Apr 2024
"295,000 ","4/35 Hucker Street,",MACKAY QLD 4740,Townhouse,3,1,1,243m² ,11 Mar 2024
"250,000 ","38/26 River Street,",MACKAY QLD 4740,Apartment / Unit / Flat,1,1,1,77m² ,06 Mar 2024
"165,000 ","9 Grant Street,",MACKAY QLD 4740,Vacant land,0,0,0,707m² ,22 Feb 2024
"290,000 ","4/10 Turner Street,",MACKAY QLD 4740,Apartment / Unit / Flat,2,2,1,127m² ,08 Feb 2024
"322,500 ","6/187 Alfred Street,",MACKAY QLD 4740,Apartment / Unit / Flat,2,2,1,143m² ,02 Feb 2024
"287,000","3/35 Hucker Street,",MACKAY QLD 4740,Townhouse,3,1,1,170m² ,18 Jan 2024
"103,000 ","10A Gold Street,",MACKAY QLD 4740,Vacant land,0,0,0,405m² ,17 Jan 2024
"290,000","4/90 Milton Street,",MACKAY QLD 4740,Townhouse,2,1,2,101m² ,
"202,000 ","6/12 East Gordon Street,",MACKAY QLD 4740,Apartment / Unit / Flat,2,1,1,72m² ,14 Dec 2023
"900,000 ","15 Norris Street,",MACKAY QLD 4740,Apartment / Unit / Flat,7,5,5,"1,080m² ",12 Dec 2023
"295,000 ","2/2 Wentford Street,",MACKAY QLD 4740,Apartment / Unit / Flat,2,1,1,155m² ,08 Dec 2023
"940,000 ","14 East Gordon Street,",MACKAY QLD 4740,Block of units,10,5,5,809m² ,20 Nov 2023
"1,675,000","16 Boddington Street,",MACKAY QLD 4740,Block of units,30,6,12,"1,604m² ",13 Nov 2023
"275,000 ","2/19 Norris Street,",MACKAY QLD 4740,Apartment / Unit / Flat,2,1,2,184m² ,09 Nov 2023
"225,000 ","7/57 Macalister Street,",MACKAY QLD 4740,Townhouse,2,1,1,103m² ,06 Nov 2023
"249,000 ","1/6 Wentford Street,",MACKAY QLD 4740,Apartment / Unit / Flat,2,1,1,111m² ,25 Oct 2023
"43,500 ","Lot AH Keswick Island,",MACKAY QLD 4740,Vacant land,0,0,0,"1,702m² ",19 Oct 2023
"78,000 ","Lot DO Keswick Island,",MACKAY QLD 4740,Vacant land,0,0,0,"1,607m² ",11 Oct 2023
"980,000 ","103 Milton Street,",MACKAY QLD 4740,Block of units,7,7,7,905m² ,10 Oct 2023
"365,000 ","9/26 River Street,",MACKAY QLD 4740,Apartment / Unit / Flat,2,2,2,102m² ,09 Oct 2023
"290,000 ","404/27 River Street,",MACKAY QLD 4740,Apartment / Unit / Flat,1,1,1,82m² ,19 Sep 2023
"487,500","39/4 Nelson Street,",MACKAY QLD 4740,Apartment / Unit / Flat,3,2,2,120m² ,21 Aug 2023
"580,000 ","55 Brisbane Street,",MACKAY QLD 4740,Apartment / Unit / Flat,7,5,5,"1,012m² ",14 Aug 2023
"249,000 ","3/361 Alfred Street,",MACKAY QLD 4740,Apartment / Unit / Flat,2,1,1,115m² ,21 Jul 2023
"395,000 ","4/36 Hucker Street,",MACKAY QLD 4740,Townhouse,4,2,2,295m² ,21 Jul 2023
"202,000 ","2/57 Brisbane Street,",MACKAY QLD 4740,Apartment / Unit / Flat,2,1,1,109m² ,19 Jul 2023
"241,000 ","1/3 Hucker Street,",MACKAY QLD 4740,Block of units,6,3,3,809m² ,14 Jul 2023
"230,000 ","2/3 Hucker Street,",MACKAY QLD 4740,Apartment / Unit / Flat,2,1,1,150m² ,14 Jul 2023
