Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"1,090,000 ","62 Bayview Street,",PRAHRAN VIC 3181,House,2,1,−,159m² ,2024
"1,325,000 ","47 Type Street,",RICHMOND VIC 3121,House,2,1,−,160m² ,18 Apr 2024
"1,550,000 ","299 Lennox Street,",RICHMOND VIC 3121,House,2,1,2,184m² ,8 Apr 2024
"1,231,000 ","92 Ireland Street,",WEST MELBOURNE VIC 3003,House,3,1,1,250m² ,2024
"1,670,000 ","48 Andrew Street,",PRAHRAN VIC 3181,House,2,2,1,242m² ,2024
"1,800,000 ","170 Stawell Street,",RICHMOND VIC 3121,House,3,2,−,199m² ,2024
"2,230,000 ","9 Bowen Street,",RICHMOND VIC 3121,House,3,2,3,334m² ,23 Mar 2024
"1,335,000 ","167 Coppin Street,",RICHMOND VIC 3121,House,3,1,1,235m² ,2024
"2,720,000 ","12 Odessa Street,",ST KILDA VIC 3182,House,4,2,2,446m² ,2024
"1,500,000","45 Clarke Street,",PRAHRAN VIC 3181,House,3,1,−,202m² ,21 Mar 2024
"1,633,000 ","131 Canning Street,",CARLTON VIC 3053,House,3,1,1,151m² ,19 Mar 2024
"3,750,000 ","82 Kerferd Road,",ALBERT PARK VIC 3206,House,4,2,2,390m² ,2024
"795,000 ","8 Harker Street,",NORTH MELBOURNE VIC 3051,House,2,1,−,120m² ,2024
"1,831,000","174 Stawell Street,",RICHMOND VIC 3121,House,3,2,2,285m² ,2024
"1,560,000 ","20 Lambeth Place,",ST KILDA VIC 3182,House,2,1,−,272m² ,2024
"2,120,000 ","145 Buckingham Street,",RICHMOND VIC 3121,House,3,2,2,445m² ,13 Mar 2024
"1,250,000","398 Church Street,",RICHMOND VIC 3121,House,3,1,−,206m² ,07 Mar 2024
"1,625,000","2 Fern Avenue,",PRAHRAN VIC 3181,House,2,1,−,226m² ,2024
"1,944,000","5 Kennedy Street,",RICHMOND VIC 3121,House,3,1,−,275m² ,2024
"3,555,000 ","38 Bridport Street,",SOUTH MELBOURNE VIC 3205,House,3,3,2,345m² ,2024
"1,585,000 ","65 Cutter Street,",RICHMOND VIC 3121,House,3,1,1,215m² ,2024
