Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"815,000 ","1103/108 Flinders Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,2,1,93m² ,27 Mar 2024
"3,350,000 ","3801/35 Spring Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,3,2,2,175m² ,2024
"590,000 ","508/181 Exhibition Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,1,1,80m² ,8 Dec 2023
"318,000 ","1305/238 Flinders Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,1,−,57m² ,06 Dec 2023
"285,000 ","314/339 Swanston Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,1,−,55m² ,06 Dec 2023
"1,180,000 ","3908/63 La Trobe Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,2,1,83m² ,16 Oct 2023
"450,000 ","3202/8 Sutherland Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,2,−,59m² ,14 Oct 2023
"925,000 ","403/390 Little Collins Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,3,2,−,107m² ,13 Oct 2023
"425,000 ","512/57 Spencer Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,1,1,−,55m² ,25 Sep 2023
"575,000 ","313/399 Bourke Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,1,−,73m² ,13 Sep 2023
"350,000 ","511/17 Singers Lane,",MELBOURNE VIC 3000,Apartment / Unit / Flat,1,1,−,55m² ,31 May 2023
"325,000 ","2301/288 Spencer Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,1,1,−,62m² ,24 Apr 2023
"460,000 ","3703/285 La Trobe Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,1,−,55m² ,19 Apr 2023
"360,000 ","3103/350 William Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,1,1,−,55m² ,11 Apr 2023
"350,000 ","2603/350 William Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,1,1,1,55m² ,31 Mar 2023
"552,000 ","1510/500 Elizabeth Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,2,−,66m² ,20 Mar 2023
"270,000 ","3006/350 William Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,1,1,−,55m² ,20 Feb 2023
"410,000 ","2506/7 Katherine Place,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,1,−,60m² ,13 Jan 2023
"445,000 ","1206/31 Spring Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,1,1,1,55m² ,01 Dec 2022
"1,650,000 ","5/192 Little Collins Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,2,1,164m² ,30 Nov 2022
"380,000 ","705/87 Franklin Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,1,1,1,63m² ,17 Nov 2022
"470,000 ","213/399 Bourke Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,1,−,65m² ,02 Nov 2022
"1,130,000 ","4909/560 Lonsdale Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,3,2,1,114m² ,02 Nov 2022
"850,000 ","7008/228 La Trobe St,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,1,1,62m² ,27 Oct 2022
"258,000","704/380 Little Lonsdale,",MELBOURNE VIC 3000,Apartment / Unit / Flat,1,1,−,64m² ,11 Oct 2022
"661,000 ","705/620 Collins Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,2,1,110m² ,29 Sep 2022
"340,000 ","802/25 Wills Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,1,1,−,52m² ,20 Sep 2022
"458,000","102/100 Exhibition Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,1,2,60m² ,22 Aug 2022
"645,000 ","1701/318 Russell Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,2,−,77m² ,2022
"387,000","610/220 Spencer Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,1,−,59m² ,06 Aug 2022
"2,500,000 ","7206/228 La Trobe Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,4,4,2,194m² ,03 Aug 2022
"1,243,400 ","8207/228 La Trobe Street,",MELBOURNE VIC 3000,New apartments / off the plan,2,2,1,90m² ,03 Aug 2022
"850,000 ","7008/228 La Trobe Street,",MELBOURNE VIC 3000,New apartments / off the plan,2,1,1,62m² ,03 Aug 2022
"500,000 ","5104/462 Elizabeth,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,2,−,61m² ,27 Jul 2022
"550,000 ","2404/620 Collins Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,1,1,65m² ,27 Jul 2022
"295,000","404/471 Little Bourke Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,1,1,−,50m² ,16 Jul 2022
"604,000 ","905/181 Exhibition Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,1,1,81m² ,2022
"1,350,000 ","5107/318 Russell Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,3,2,1,116m² ,10 Jun 2022
"646,000 ","1311/87 Franklin Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,1,1,100m² ,08 Jun 2022
"517,000 ","201/538 Little Lonsdale Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,1,1,72m² ,07 Jun 2022
"3,600,000","1701/8 Bowen Crescent,",MELBOURNE VIC 3000,Apartment / Unit / Flat,3,3,3,312m² ,10 May 2022
"320,000","414/471 Little Bourke Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,− 0,1,−,50m² ,27 Apr 2022
"663,000 ","1301/620 Collins Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,2,1,95m² ,13 Apr 2022
"765,000 ","37/300 King Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,2,1,−,123m² ,13 Apr 2022
"455,000 ","207/296 Flinders Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,1,1,−,70m² ,11 Apr 2022
"313,000 ","Level 30, 3007/639 Lonsdale Street,",MELBOURNE VIC 3000,Apartment / Unit / Flat,1,1,1,50m² ,02 Apr 2022
