Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"645,000 ","105/11 Perkins Street,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,1,1,1,78m² ,2024
"625,000 ","203/18 Wolfe Street,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,1,1,−,66m² ,24 Apr 2024
"1,550,000 ","1202/509 Hunter Street,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,2,2,2,150m² ,05 Apr 2024
"1,005,000 ","805/509 Hunter Street,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,2,1,2,107m² ,2024
"737,500 ","201/9 Watt Street,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,2,1,1,100m² ,2024
"630,000","208/386 King Street,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,1,1,1,"3,431m² ",05 Mar 2024
"560,000 ","18/75 King Street,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,1,1,1,82m² ,01 Mar 2024
"1,825,000 ","204/45 Honeysuckle Drive,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,3,2,2,158m² ,23 Feb 2024
"1,010,000 ","8/22 Brown Street,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,2,1,1,132m² ,22 Feb 2024
"1,650,000 ","205/31 Honeysuckle Drive,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,2,2,2,154m² ,12 Feb 2024
"630,000 ","301/123 King Street,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,1,1,−,64m² ,07 Feb 2024
"800,000 ","505/509 Hunter Street,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,2,1,1,88m² ,25 Jan 2024
"1,210,000 ","103/21 Honeysuckle Drive,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,2,2,1,179m² ,22 Jan 2024
"2,330,000 ","1001/18 Wolfe Street,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,3,2,2,161m² ,20 Dec 2023
"900,000 ","109/265 Wharf Road,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,2,2,1,140m² ,07 Dec 2023
"575,000 ","205/267 King Street,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,2,1,−,77m² ,05 Dec 2023
"640,000 ","302/335 Wharf Road,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,1,1,1,119m² ,17 Nov 2023
"550,000","403/9 Watt Street,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,1,1,1,80m² ,2023
"960,000 ","408/60 King Street,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,2,2,1,104m² ,30 Oct 2023
"640,000 ","303/108 Hunter Street,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,2,1,−,60m² ,27 Oct 2023
"1,350,000","603/4 Honeysuckle Drive,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,3,2,2,162m² ,19 Oct 2023
"940,000 ","1009/75 Shortland Esplanade,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,1,1,1,74m² ,13 Oct 2023
"1,180,000 ","104/509 Hunter Street,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,3,2,2,141m² ,29 Sep 2023
"720,000 ","57/7 King Street,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,1,1,1,78m² ,2023
"820,000 ","508/509 Hunter Street,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,2,2,1,102m² ,2023
"815,000 ","308/4 Honeysuckle Drive,",NEWCASTLE NSW 2300,Apartment / Unit / Flat,2,1,1,103m² ,02 Aug 2023
