Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"1,400,000","37 Perkins Street,",NEWCASTLE NSW 2300,Terrace,2,1,−,183m² ,2 Feb 2024
"1,950,000 ","54 Watt Street,",NEWCASTLE NSW 2300,House,4,3,−,145m² ,19 Jan 2024
"3,200,000","48 Watt Street,",NEWCASTLE NSW 2300,House,− 0,3,−,931m² ,18 Oct 2023
"1,250,000 ","33 Perkins Street,",NEWCASTLE NSW 2300,House,2,2,−,221m² ,4 Jan 2023
"1,600,000","24 Parnell Place,",NEWCASTLE NSW 2300,House,3,2,−,83m² ,07 Oct 2022
"950,000 ","27 Gibson Street,",NEWCASTLE NSW 2300,House,3,1,1,94m² ,18 Aug 2022
"1,987,500 ","52 Watt Street,",NEWCASTLE NSW 2300,Terrace,4,3,−,145m² ,2022
"1,500,000 ","15 Gibson Street,",NEWCASTLE NSW 2300,House,4,1,2,175m² ,21 Jan 2022
"1,250,000 ","27 Perkins Street,",NEWCASTLE NSW 2300,House,3,1,2,550m² ,16 Apr 2021
"2,350,000 ","21 Brown Street,",NEWCASTLE NSW 2300,House,4,3,4,369m² ,2021
"1,500,000 ","38 Perkins Street,",NEWCASTLE NSW 2300,Terrace,4,2,1,139m² ,2020
"1,650,000 ","23 Brown Street,",NEWCASTLE NSW 2300,House,7,3,4,453m² ,13 Oct 2020
"1,000,000","33 Perkins Street,",NEWCASTLE NSW 2300,Terrace,2,2,−,240m² ,21 Jul 2020
"870,000 ","12 Pacific Street,",NEWCASTLE NSW 2300,Terrace,1,2,−,130m² ,16 Jul 2020
"3,350,000","49 Church Street,",NEWCASTLE NSW 2300,House,4,3,4,"1,007m² ",19 May 2020
"1,250,000 ","37 Newcomen Street,",NEWCASTLE NSW 2300,Terrace,3,1,−,172m² ,2020
"1,350,000 ","4 Noster Place,",NEWCASTLE NSW 2300,House,2,2,−,168m² ,2019
"642,500 ","1 Lee Terrace,",NEWCASTLE NSW 2300,Terrace,2,1,−,62m² ,08 Nov 2019
"2,040,000 ","25 Parnell Place,",NEWCASTLE NSW 2300,House,3,2,−,147m² ,2018
"1,630,000 ","17 High Street,",NEWCASTLE NSW 2300,House,4,2,1,319m² ,2018
"1,475,000","2 Noster Place,",NEWCASTLE NSW 2300,House,3,2,1,175m² ,2018
"1,260,000 ","51 Perkins Street,",NEWCASTLE NSW 2300,House,3,1,−,122m² ,13 Mar 2018
