Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"1,778,000 ","184 Lake Street,",PERTH WA 6000,House,3,2,2,200m² ,11 Apr 2024
"370,000 ","211/112 Mounts Bay Road,",PERTH WA 6000,House,2,1,2,114m² ,13 Mar 2024
"805,000 ","24 Ruth Street,",PERTH WA 6000,House,3,1,−,171m² ,02 Feb 2024
"360,000 ","301/112 Mounts Bay Road,",PERTH WA 6000,House,2,1,2,112m² ,02 Feb 2024
"1,425,000 ","32 Brookman Street,",PERTH WA 6000,House,4,1,1,301m² ,14 Jan 2024
"399,000 ","6/71 Parry Street,",PERTH WA 6000,House,2,1,1,98m² ,10 Jan 2024
"965,000 ","226 Brisbane Street,",PERTH WA 6000,Semi-detached,3,1,1,176m² ,23 Dec 2023
"1,165,000 ","10 Moir Street,",PERTH WA 6000,House,3,1,1,301m² ,05 Dec 2023
"860,000 ","234 Lord Street,",PERTH WA 6000,House,3,3,4,170m² ,04 Dec 2023
"1,330,000 ","50 Randell Street,",PERTH WA 6000,House,4,2,2,607m² ,29 Nov 2023
"880,000 ","13/45-47 Stuart Street,",PERTH WA 6000,House,3,2,2,244m² ,28 Nov 2023
"829,000 ","2/127 Lake Street,",PERTH WA 6000,House,2,2,1,172m² ,17 Nov 2023
"1,220,000 ","11 Moir Street,",PERTH WA 6000,House,3,2,2,284m² ,07 Nov 2023
"1,150,000 ","254 Lake Street,",PERTH WA 6000,House,2,1,1,226m² ,01 Nov 2023
"1,080,000 ","2/45-47 Stuart Street,",PERTH WA 6000,House,3,2,2,247m² ,26 Oct 2023
"545,000 ","11 Primrose Street,",PERTH WA 6000,House,2,1,−,144m² ,2023
"930,000 ","125 Lincoln Street,",PERTH WA 6000,House,2,1,−,304m² ,19 Oct 2023
"1,060,000 ","11 Orange Avenue,",PERTH WA 6000,House,2,1,2,220m² ,22 Sep 2023
