Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"526,000 ","36/255 Adelaide Terrace,",PERTH WA 6000,Apartment / Unit / Flat,2,2,1,116m² ,22 Apr 2024
"670,000 ","126/22 St Georges Terrace,",PERTH WA 6000,Apartment / Unit / Flat,2,2,1,122m² ,22 Apr 2024
"689,000 ","2603/1 Geoffrey Bolton Avenue,",PERTH WA 6000,Apartment / Unit / Flat,1,1,1,73m² ,18 Apr 2024
"565,000 ","1003/237 Adelaide Terrace,",PERTH WA 6000,Apartment / Unit / Flat,2,2,1,108m² ,16 Apr 2024
"525,000 ","43/262 Lord Street,",PERTH WA 6000,Apartment / Unit / Flat,2,2,1,118m² ,08 Apr 2024
"429,000 ","77/22 St Georges Terrace,",PERTH WA 6000,Apartment / Unit / Flat,1,1,1,101m² ,02 Apr 2024
"417,500 ","706/105 Stirling Street,",PERTH WA 6000,Apartment / Unit / Flat,1,1,1,69m² ,28 Mar 2024
"445,000 ","52/118 Mounts Bay Road,",PERTH WA 6000,Apartment / Unit / Flat,2,1,1,109m² ,28 Mar 2024
"685,000 ","129/22 St Georges Terrace,",PERTH WA 6000,Apartment / Unit / Flat,2,2,1,120m² ,27 Mar 2024
"320,000 ","510/112 Mounts Bay Road,",PERTH WA 6000,Apartment / Unit / Flat,1,1,1,64m² ,26 Mar 2024
"900,000 ","15/82 King Street,",PERTH WA 6000,Apartment / Unit / Flat,2,2,1,153m² ,25 Mar 2024
"675,000 ","40/262 Lord Street,",PERTH WA 6000,Apartment / Unit / Flat,3,2,2,91m² ,20 Mar 2024
"468,500 ","17/5 Smith Street,",PERTH WA 6000,Apartment / Unit / Flat,2,1,1,94m² ,19 Mar 2024
"650,000 ","38/211 Beaufort Street,",PERTH WA 6000,Apartment / Unit / Flat,2,2,2,117m² ,18 Mar 2024
"410,000 ","608/105 Stirling Street,",PERTH WA 6000,Apartment / Unit / Flat,1,1,1,97m² ,18 Mar 2024
"430,000 ","38/996 Hay Street,",PERTH WA 6000,Apartment / Unit / Flat,2,1,1,113m² ,15 Mar 2024
"525,000 ","28/132 Terrace Road,",PERTH WA 6000,Apartment / Unit / Flat,1,1,1,93m² ,14 Mar 2024
"529,000 ","15C/811 Hay Street,",PERTH WA 6000,Apartment / Unit / Flat,2,2,−,119m² ,12 Mar 2024
"450,000 ","2/59 Brewer Street,",PERTH WA 6000,Apartment / Unit / Flat,2,2,1,128m² ,06 Mar 2024
