Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"337,500 ","288 Campbell Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,1,688m² ,12 Apr 2024
"359,000 ","58 Archer Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,−,534m² ,11 Apr 2024
"535,000 ","2 Kent Street,",ROCKHAMPTON CITY QLD 4700,Duplex,4,2,3,506m² ,11 Apr 2024
"267,000 ","27 Stanley Street,",ROCKHAMPTON CITY QLD 4700,House,2,1,−,368m² ,08 Apr 2024
"570,000 ","77 Archer Street,",ROCKHAMPTON CITY QLD 4700,House,5,1,2,674m² ,27 Mar 2024
"221,500 ","261 Alma Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,1,412m² ,01 Mar 2024
"273,000 ","14 Kent Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,−,253m² ,14 Feb 2024
"257,000 ","202 Campbell Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,1,346m² ,13 Feb 2024
"285,000 ","407 Bolsover Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,1,"1,429m² ",01 Feb 2024
"395,000","100 Stanley Street,",ROCKHAMPTON CITY QLD 4700,House,4,2,5,513m² ,01 Feb 2024
"222,000 ","174 Denison Lane,",ROCKHAMPTON CITY QLD 4700,House,2,1,−,207m² ,31 Jan 2024
"205,000 ","246 Denison Lane,",ROCKHAMPTON CITY QLD 4700,House,3,1,1,253m² ,02 Jan 2024
"200,000 ","88 Stanley Street,",ROCKHAMPTON CITY QLD 4700,House,2,1,−,526m² ,20 Dec 2023
"330,000 ","132 Campbell Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,2,612m² ,18 Dec 2023
"365,000 ","2 Alma Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,1,569m² ,14 Dec 2023
"235,000 ","274 Campbell Street,",ROCKHAMPTON CITY QLD 4700,House,2,1,1,506m² ,13 Dec 2023
"219,000 ","94 KENT LANE,",ROCKHAMPTON CITY QLD 4700,House,2,1,1,304m² ,28 Nov 2023
"305,000 ","54 Derby Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,1,326m² ,22 Nov 2023
"243,000 ","266 George Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,1,468m² ,21 Nov 2023
"185,000 ","262 George Street,",ROCKHAMPTON CITY QLD 4700,House,2,1,−,368m² ,15 Nov 2023
"365,000","115 Campbell Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,2,506m² ,02 Nov 2023
"175,000 ","9 Alma Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,−,253m² ,19 Oct 2023
"318,500 ","199 George Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,−,637m² ,13 Oct 2023
"260,000 ","33 North Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,1,313m² ,12 Oct 2023
"710,000 ","47 Denison Street,",ROCKHAMPTON CITY QLD 4700,House,5,5,5,713m² ,29 Sep 2023
"270,000 ","16 Kent Street,",ROCKHAMPTON CITY QLD 4700,House,2,1,1,253m² ,20 Sep 2023
"249,000 ","65a GEORGE STREET,",ROCKHAMPTON CITY QLD 4700,House,3,1,1,402m² ,18 Sep 2023
"560,000 ","28-30 CAMBRIDGE STREET,",ROCKHAMPTON CITY QLD 4700,House,4,2,2,"1,215m² ",18 Sep 2023
"300,000 ","199 Denison Street,",ROCKHAMPTON CITY QLD 4700,House,3,2,−,253m² ,07 Sep 2023
"315,000 ","43 Alma Street,",ROCKHAMPTON CITY QLD 4700,House,4,1,2,592m² ,04 Sep 2023
"297,500 ","31 Kent Street,",ROCKHAMPTON CITY QLD 4700,House,3,2,1,506m² ,04 Sep 2023
"180,000 ","195 Kent Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,−,453m² ,25 Aug 2023
"220,000 ","18 South Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,−,240m² ,22 Aug 2023
"230,000 ","107 Stanley Street,",ROCKHAMPTON CITY QLD 4700,House,2,1,2,613m² ,24 Jul 2023
"335,000 ","306-310 Bolsover St,",ROCKHAMPTON CITY QLD 4700,House,9,3,2,828m² ,15 Jul 2023
"135,000 ","302 Bolsover Street,",ROCKHAMPTON CITY QLD 4700,House,2,1,1,258m² ,15 Jul 2023
"230,000 ","203 Campbell Lane,",ROCKHAMPTON CITY QLD 4700,House,3,1,4,557m² ,29 Jun 2023
"251,000 ","29 KENT STREET,",ROCKHAMPTON CITY QLD 4700,House,3,1,−,506m² ,22 Jun 2023
"225,000 ","27A North Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,1,415m² ,07 Jun 2023
"270,000","71 Kent Street,",ROCKHAMPTON CITY QLD 4700,House,2,1,1,506m² ,06 Jun 2023
"225,000 ","271 Denison Street,",ROCKHAMPTON CITY QLD 4700,House,2,1,1,405m² ,17 May 2023
"253,000 ","75 Archer Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,2,674m² ,16 May 2023
"258,000 ","46 Derby Street,",ROCKHAMPTON CITY QLD 4700,House,2,1,2,169m² ,09 May 2023
"200,000 ","90 Kent Lane,",ROCKHAMPTON CITY QLD 4700,House,2,1,1,238m² ,28 Apr 2023
"195,000 ","277 Alma Street,",ROCKHAMPTON CITY QLD 4700,House,2,1,1,755m² ,24 Apr 2023
"125,000","44 Kent Street,",ROCKHAMPTON CITY QLD 4700,House,1,1,6,505m² ,
"310,000 ","13 Cambridge Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,2,405m² ,16 Mar 2023
"350,000 ","204 & 206 Alma Street,",ROCKHAMPTON CITY QLD 4700,House,6,2,2,950m² ,10 Mar 2023
"135,000 ","256 George Street,",ROCKHAMPTON CITY QLD 4700,House,2,1,−,506m² ,03 Mar 2023
"215,000 ","247 George Street,",ROCKHAMPTON CITY QLD 4700,House,2,1,2,599m² ,02 Feb 2023
"420,000 ","129 Murray Street,",ROCKHAMPTON CITY QLD 4700,House,5,2,2,506m² ,01 Feb 2023
"260,000 ","108 Archer Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,1,368m² ,31 Jan 2023
"235,000 ","119 STANLEY STREET,",ROCKHAMPTON CITY QLD 4700,House,3,1,−,571m² ,25 Jan 2023
"180,000 ","117 Denison Street,",ROCKHAMPTON CITY QLD 4700,House,2,2,1,228m² ,04 Jan 2023
"225,000 ","115 Stanley Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,3,492m² ,22 Dec 2022
"175,000 ","153 Kent Street,",ROCKHAMPTON CITY QLD 4700,House,2,1,−,172m² ,22 Dec 2022
"205,000 ","158 Denison Lane,",ROCKHAMPTON CITY QLD 4700,House,2,1,−,202m² ,19 Dec 2022
"129,000 ","196 Campbell Street,",ROCKHAMPTON CITY QLD 4700,House,4,1,1,253m² ,16 Dec 2022
"300,000 ","139 Kent Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,1,385m² ,13 Dec 2022
"258,495 ","237 Murray Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,1,515m² ,05 Dec 2022
"160,000 ","17 Cambridge Street,",ROCKHAMPTON CITY QLD 4700,House,5,2,−,810m² ,7 Nov 2022
"280,000 ","66 Denison Street,",ROCKHAMPTON CITY QLD 4700,House,3,2,−,506m² ,15 Nov 2022
"295,000","50 Kent Street,",ROCKHAMPTON CITY QLD 4700,House,4,1,1,506m² ,13 Nov 2022
"146,000 ","287 ALMA STREET,",ROCKHAMPTON CITY QLD 4700,House,1,1,1,313m² ,26 Oct 2022
"235,000 ","59A Kent Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,1,405m² ,08 Oct 2022
"175,000 ","175 George Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,−,390m² ,30 Sep 2022
"295,000 ","340 Campbell Street,",ROCKHAMPTON CITY QLD 4700,House,3,1,3,674m² ,30 Sep 2022
"249,000","191 Campbell St,",ROCKHAMPTON CITY QLD 4700,House,3,1,1,359m² ,15 Sep 2022
"170,000 ","334 BOLSOVER STREET,",ROCKHAMPTON CITY QLD 4700,House,3,1,−,253m² ,12 Sep 2022
"244,000 ","279A Campbell Street,",ROCKHAMPTON CITY QLD 4700,House,2,1,1,674m² ,06 Sep 2022
"377,000 ","23 North Street,",ROCKHAMPTON CITY QLD 4700,House,4,1,1,345m² ,25 Aug 2022
"250,000 ","78 DERBY STREET,",ROCKHAMPTON CITY QLD 4700,House,4,2,1,552m² ,18 Aug 2022
