Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"355,000 ","1 & 2/96 Alma Lane,",ROCKHAMPTON CITY QLD 4700,Block of units,3,2,2,164m² ,04 Dec 2023
"94,000","76 Kent Street,",ROCKHAMPTON CITY QLD 4700,Vacant land,0,0,0,506m² ,19 Oct 2023
"29,000 ","34 Cambridge Street,",ROCKHAMPTON CITY QLD 4700,Vacant land,0,0,0,402m² ,18 Sep 2023
"540,000 ","105/102-108 Victoria Parade,",ROCKHAMPTON CITY QLD 4700,Apartment / Unit / Flat,2,2,−,208m² ,06 Sep 2023
"429,000 ","307/102-108 Victoria Parade,",ROCKHAMPTON CITY QLD 4700,Apartment / Unit / Flat,2,2,−,112m² ,29 Aug 2023
"230,000 ","6/104 Kent Street,",ROCKHAMPTON CITY QLD 4700,Apartment / Unit / Flat,2,1,1,81m² ,14 Aug 2023
"230,000","6/104 KENT STREET,",ROCKHAMPTON CITY QLD 4700,Apartment / Unit / Flat,2,1,1,"1,012m² ",04 Aug 2023
"835,000 ","101/58 Victoria Parade,",ROCKHAMPTON CITY QLD 4700,Apartment / Unit / Flat,3,2,2,236m² ,2023
"530,000 ","104/102-108 Victoria Parade,",ROCKHAMPTON CITY QLD 4700,Apartment / Unit / Flat,2,2,−,171m² ,23 May 2023
"720,000 ","501/6-8 Victoria Parade,",ROCKHAMPTON CITY QLD 4700,Apartment / Unit / Flat,3,2,2,165m² ,11 Apr 2023
"445,000 ","102/102-108 Victoria Parade,",ROCKHAMPTON CITY QLD 4700,Apartment / Unit / Flat,2,2,−,145m² ,22 Mar 2023
"620,000 ","1 & 2/131 Murray Street,",ROCKHAMPTON CITY QLD 4700,Block of units,6,2,4,"1,121m² ",20 Mar 2023
"182,500 ","2/100 KENT STREET,",ROCKHAMPTON CITY QLD 4700,Apartment / Unit / Flat,2,1,2,80m² ,13 Mar 2023
"249,000 ","63 to 65a GEORGE ST and 28 to 34 CAMBRIDGE ST,",ROCKHAMPTON CITY QLD 4700,Vacant land,0,0,0,"3,367m² ",10 Mar 2023
"435,000 ","401/2-4 Victoria Parade,",ROCKHAMPTON CITY QLD 4700,Apartment / Unit / Flat,2,2,1,128m² ,17 Feb 2023
"465,000 ","501/2-4 Victoria Parade,",ROCKHAMPTON CITY QLD 4700,Apartment / Unit / Flat,2,2,2,128m² ,09 Feb 2023
"300,000 ","506/5 East Street,",ROCKHAMPTON CITY QLD 4700,Apartment / Unit / Flat,1,1,1,52m² ,25 Jan 2023
"289,000 ","201/5 East Street,",ROCKHAMPTON CITY QLD 4700,Apartment / Unit / Flat,1,1,1,65m² ,23 Jan 2023
"315,000 ","407/5 East Street,",ROCKHAMPTON CITY QLD 4700,Apartment / Unit / Flat,1,1,−,52m² ,13 Dec 2022
"580,000 ","903/58 Victoria Parade,",ROCKHAMPTON CITY QLD 4700,Apartment / Unit / Flat,2,2,1,120m² ,02 Dec 2022
"549,000 ","212/5 East Street,",ROCKHAMPTON CITY QLD 4700,Apartment / Unit / Flat,2,2,1,121m² ,01 Dec 2022
"310,000 ","309/5 East Street,",ROCKHAMPTON CITY QLD 4700,Apartment / Unit / Flat,1,1,1,64m² ,27 Oct 2022
