Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"797,000 ","11 Coastal Avenue,",BEERWAH QLD 4519,House,4,2,2,590m² ,26 Apr 2024
"760,000 ","9 Mint Street,",CALOUNDRA WEST QLD 4551,House,4,2,2,369m² ,26 Apr 2024
"1,250,000 ","18 Madagascar Court,",KAWANA ISLAND QLD 4575,House,4,2,2,620m² ,26 Apr 2024
"735,000 ","16 Dyer Street,",LANDSBOROUGH QLD 4550,House,3,1,3,911m² ,26 Apr 2024
"1,290,000 ","9 Jubilee Court,",TEWANTIN QLD 4565,House,4,2,2,895m² ,25 Apr 2024
"790,000 ","88 Prosperity Drive,",BIRTINYA QLD 4575,House,3,2,2,188m² ,4 Apr 2024
"3,150,000 ","20 Driftwood Court,",BOKARINA QLD 4575,House,5,3,2,650m² ,24 Apr 2024
"752,000 ","2/34 Point Cartwright Drive,",BUDDINA QLD 4575,House,2,1,1,53m² ,24 Apr 2024
"665,000 ","8 Ochre Crescent,",CALOUNDRA WEST QLD 4551,House,3,2,1,312m² ,24 Apr 2024
"809,000 ","14 Azalea Place,",CURRIMUNDI QLD 4551,House,3,2,2,408m² ,24 Apr 2024
"850,000 ","6 Ash Street,",MALENY QLD 4552,House,4,1,2,"1,027m² ",24 Apr 2024
"2,200,000 ","167 Vise Road,",MONS QLD 4556,House,4,2,3,0,24 Apr 2024
"935,000 ","20 Sippy Downs Drive,",SIPPY DOWNS QLD 4556,House,4,2,2,717m² ,4 Apr 2024
"1,770,000 ","12 Keelson Street,",BIRTINYA QLD 4575,House,4,2,2,650m² ,23 Apr 2024
"1,670,000 ","14 Paperbark Place,",MUDJIMBA QLD 4564,House,4,4,3,816m² ,2024
"940,000 ","16 Willowood Crescent,",NAMBOUR QLD 4560,Semi-detached,5,3,2,600m² ,23 Apr 2024
"1,750,000 ","87 Mahogany Drive,",PELICAN WATERS QLD 4551,House,4,2,3,"1,485m² ",23 Apr 2024
"980,000 ","9 Burdekin Place,",PELICAN WATERS QLD 4551,House,3,2,3,320m² ,23 Apr 2024
"795,000 ","16 Explorer Street,",SIPPY DOWNS QLD 4556,House,3,2,2,450m² ,23 Apr 2024
"620,000 ","117/8 Melody Court,",WARANA QLD 4575,Duplex,2,1,2,119m² ,23 Apr 2024
"1,320,000 ","2 Mankina Court,",BUDDINA QLD 4575,House,4,2,3,731m² ,22 Apr 2024
"1,135,000 ","39 Flaxton Mill Road,",FLAXTON QLD 4560,House,4,2,6,"6,476m² ",22 Apr 2024
"750,000 ","36 Bailey Street,",NAMBOUR QLD 4560,House,3,1,1,885m² ,22 Apr 2024
"770,000 ","12 Farrell Street,",YANDINA QLD 4561,Semi-detached,4,2,3,536m² ,22 Apr 2024
"2,100,000 ","12 Wake Court,",BIRTINYA QLD 4575,House,4,2,3,737m² ,2024
"1,700,000 ","12 Dune Vista Drive,",BOKARINA QLD 4575,House,4,2,2,600m² ,20 Apr 2024
"2,300,000 ","15 Ernest Street,",KINGS BEACH QLD 4551,House,4,3,2,739m² ,20 Apr 2024
"2,125,000 ","5 Coorabin Street,",WARANA QLD 4575,House,4,3,3,570m² ,0 Apr 2024
"680,000 ","10 Riverview Street,",BLI BLI QLD 4560,House,3,2,1,657m² ,19 Apr 2024
"780,000 ","41 Tulip Street,",COOROY QLD 4563,House,2,1,3,766m² ,19 Apr 2024
"1,185,000 ","56 Anning Avenue,",GOLDEN BEACH QLD 4551,House,3,2,2,718m² ,19 Apr 2024
"1,495,000 ","112 Grand Parade,",KAWANA ISLAND QLD 4575,House,5,2,2,558m² ,19 Apr 2024
"860,000 ","7 Hotspur Crescent,",LITTLE MOUNTAIN QLD 4551,House,3,2,2,659m² ,19 Apr 2024
"817,000 ","4 Kandoo St,",PACIFIC PARADISE QLD 4564,House,3,1,1,551m² ,19 Apr 2024
"660,000 ","25 Main Street,",PALMWOODS QLD 4555,House,2,1,1,627m² ,19 Apr 2024
"1,060,000 ","6 Lander Street,",PELICAN WATERS QLD 4551,House,4,2,2,525m² ,19 Apr 2024
"1,600,000 ","6 Fortier Street,",PELICAN WATERS QLD 4551,House,4,3,3,621m² ,19 Apr 2024
"1,800,000 ","7 Midden Place,",PELICAN WATERS QLD 4551,House,4,2,2,"1,002m² ",19 Apr 2024
"960,000 ","32 Kauri Crescent,",PEREGIAN SPRINGS QLD 4573,House,4,2,2,450m² ,19 Apr 2024
"3,150,000 ","35 Sobraon Street,",SUNRISE BEACH QLD 4567,House,4,2,2,607m² ,19 Apr 2024
"865,000 ","1 Edwin Drive,",LANDSBOROUGH QLD 4550,House,4,2,2,672m² ,18 Apr 2024
"877,000 ","25 White Gums Street,",LANDSBOROUGH QLD 4550,House,4,2,2,742m² ,18 Apr 2024
"1,414,150 ","2 Adori Drive,",MOUNTAIN CREEK QLD 4557,House,4,2,2,801m² ,18 Apr 2024
"790,000 ","4 Jennifer Street,",NIRIMBA QLD 4551,House,4,2,2,313m² ,18 Apr 2024
"1,500,000 ","17 Pontee Parade,",ALEXANDRA HEADLAND QLD 4572,House,6,6,3,698m² ,17 Apr 2024
"830,000 ","15 Locke Crescent,",BARINGA QLD 4551,House,4,2,2,450m² ,17 Apr 2024
"950,500 ","4 Middle Creek Road,",LITTLE MOUNTAIN QLD 4551,House,3,2,2,634m² ,17 Apr 2024
"905,000 ","18 Mansell Street,",MERIDAN PLAINS QLD 4551,House,4,2,2,467m² ,17 Apr 2024
"650,000 ","14 Charlotte Avenue,",NIRIMBA QLD 4551,House,3,2,1,112m² ,17 Apr 2024
"911,500 ","14 Greenlees Court,",PALMWOODS QLD 4555,House,3,2,2,800m² ,17 Apr 2024
"1,245,000 ","10 Stockman Court,",POMONA QLD 4568,House,4,3,15,"5,327m² ",17 Apr 2024
"1,410,000 ","12 Parsons Bank Drive,",TWIN WATERS QLD 4564,House,4,3,2,683m² ,17 Apr 2024
"983,000 ","31 Regatta Boulevard,",WURTULLA QLD 4575,House,3,2,2,599m² ,17 Apr 2024
"1,355,000 ","38 Pine Street,",BUDERIM QLD 4556,House,4,2,2,800m² ,16 Apr 2024
"1,450,000 ","3 Birdwood Street,",GOLDEN BEACH QLD 4551,House,4,2,3,607m² ,16 Apr 2024
"903,000 ","10 Maple Avenue,",MAPLETON QLD 4560,House,2,2,1,"1,051m² ",16 Apr 2024
"1,105,000 ","25 Sweetlip Circuit,",MOUNTAIN CREEK QLD 4557,House,3,2,4,459m² ,6 Apr 2024
"4,000,000 ","23 Shorehaven Drive,",NOOSA WATERS QLD 4566,House,4,3,2,907m² ,16 Apr 2024
"1,080,000 ","11 Prime Parade,",BIRTINYA QLD 4575,House,5,3,2,313m² ,5 Apr 2024
"1,272,500 ","2 Malkana Cres,",BUDDINA QLD 4575,House,3,1,1,600m² ,15 Apr 2024
"1,155,000 ","1 MacKellar Place,",BUDERIM QLD 4556,House,3,2,3,855m² ,15 Apr 2024
"845,000 ","89 Westminster Avenue,",GOLDEN BEACH QLD 4551,House,2,1,1,607m² ,15 Apr 2024
"1,152,500 ","4 Coghlan Court,",MAROOCHYDORE QLD 4558,House,5,2,4,880m² ,15 Apr 2024
"950,000 ","9 Causeway Court,",MOUNTAIN CREEK QLD 4557,House,4,2,2,327m² ,15 Apr 2024
"705,000 ","9 Frangipani Cres,",NIRIMBA QLD 4551,House,3,2,2,280m² ,15 Apr 2024
"790,000 ","27 Madeleine Street,",NIRIMBA QLD 4551,House,4,2,2,376m² ,15 Apr 2024
"754,000 ","31 Rainbird Ct,",PALMWOODS QLD 4555,House,3,2,1,747m² ,15 Apr 2024
"1,430,000 ","14 Kuthar Street,",PELICAN WATERS QLD 4551,House,4,2,2,"1,020m² ",15 Apr 2024
"1,400,000 ","11 Severn Place,",PELICAN WATERS QLD 4551,House,4,2,2,475m² ,15 Apr 2024
"940,000 ","33 Piringa Steet,",WURTULLA QLD 4575,House,3,2,4,571m² ,15 Apr 2024
"1,780,000 ","17 Coppabella Crescent,",MOOLOOLABA QLD 4557,House,5,3,2,735m² ,12 Apr 2024
"1,145,000 ","3 Pangali Circuit,",BIRTINYA QLD 4575,House,4,2,2,568m² ,2024
"1,100,000 ","43 Palmer Avenue,",GOLDEN BEACH QLD 4551,House,2,1,3,607m² ,11 Apr 2024
"815,000 ","7 Carlisle Circuit,",MOUNTAIN CREEK QLD 4557,House,3,2,2,316m² ,11 Apr 2024
"875,000 ","13 Karawatha Street,",BUDERIM QLD 4556,House,3,2,2,802m² ,10 Apr 2024
"760,000 ","86 Coes Creek Road,",BURNSIDE QLD 4560,House,4,1,2,655m² ,10 Apr 2024
"1,090,000 ","15 Prince Street,",COORAN QLD 4569,House,5,4,6,"4,382m² ",10 Apr 2024
"1,500,000 ","3 Easter Street,",KAWANA ISLAND QLD 4575,House,4,2,4,689m² ,10 Apr 2024
"1,005,000 ","130 Hardwood Road,",LANDSBOROUGH QLD 4550,House,4,2,4,"2,000m² ",10 Apr 2024
"995,000 ","37 Hakea Avenue,",MALENY QLD 4552,House,4,3,2,546m² ,10 Apr 2024
"1,905,000 ","19 Mooloolah Drive,",MINYAMA QLD 4575,House,4,3,2,928m² ,2024
"4,300,000 ","46 Carwoola Crescent,",MOOLOOLABA QLD 4557,House,4,2,2,728m² ,10 Apr 2024
