Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"795,000 ","2/20-22 Baden Powell Street,",MAROOCHYDORE QLD 4558,Townhouse,3,2,1,154m² ,2024
"517,000 ","401/6 High Street,",SIPPY DOWNS QLD 4556,Apartment / Unit / Flat,2,2,1,112m² ,19 Apr 2024
"608,000 ","33/99 Birtinya Boulevard,",BIRTINYA QLD 4575,Apartment / Unit / Flat,2,1,2,76m² ,15 Apr 2024
"1,835,000 ","8 Suller Street,",CALOUNDRA QLD 4551,Block of units,5,3,6,607m² ,15 Apr 2024
"630,000 ","2/1 Melville Court,",MOUNT COOLUM QLD 4573,Apartment / Unit / Flat,2,1,1,98m² ,15 Apr 2024
"480,000 ","2 Monarch Close,",YANDINA QLD 4561,Vacant land,0,0,0,708m² ,15 Apr 2024
"705,000 ","2/21 Hospital Road,",NAMBOUR QLD 4560,Apartment / Unit / Flat,3,2,2,260m² ,14 Apr 2024
"865,000 ","75/1 Hibbertia Street,",MOUNTAIN CREEK QLD 4557,Townhouse,3,2,2,182m² ,2024
"635,000 ","31/23 Blackwood Street,",MAROOCHYDORE QLD 4558,Apartment / Unit / Flat,2,2,1,238m² ,12 Apr 2024
"655,000 ","118/21 Innovation Parkway,",BIRTINYA QLD 4575,Apartment / Unit / Flat,2,2,1,94m² ,1 Apr 2024
"580,000 ","14/7 Figbird Crescent,",BUDERIM QLD 4556,Townhouse,3,2,1,132m² ,11 Apr 2024
"1,630,000 ","15 Perry Road,",IMAGE FLAT QLD 4560,Vacant land,0,0,0,"115,300m² ",10 Apr 2024
"960,000 ","9/60 Edward Street,",ALEXANDRA HEADLAND QLD 4572,Apartment / Unit / Flat,2,1,1,101m² ,09 Apr 2024
"1,500,000 ","56/19 Memorial Avenue,",MAROOCHYDORE QLD 4558,Apartment / Unit / Flat,2,2,1,125m² ,2024
"645,000 ","4/11-13 Kowonga Street,",PACIFIC PARADISE QLD 4564,Townhouse,3,1,1,125m² ,09 Apr 2024
"497,000 ","5/20 North Buderim Boulevard,",BUDERIM QLD 4556,Apartment / Unit / Flat,1,1,1,147m² ,08 Apr 2024
"755,000 ","11 Hilltop Crescent,",COOLUM BEACH QLD 4573,Vacant land,0,0,0,814m² ,08 Apr 2024
"751,500 ","79/239 Kawana Way,",KAWANA ISLAND QLD 4575,Apartment / Unit / Flat,3,2,1,201m² ,05 Apr 2024
"9,500,000 ","1/63 River Esplanade,",MOOLOOLABA QLD 4557,Apartment / Unit / Flat,4,4,6,718m² ,5 Apr 2024
"815,000 ","138 Glenmount Road,",TANAWHA QLD 4556,Vacant land,0,0,0,"6,041m² ",04 Apr 2024
"705,000 ","Unit 2/70 Buderim Pines Drive,",BUDERIM QLD 4556,Apartment / Unit / Flat,3,2,1,206m² ,03 Apr 2024
"1,010,000 ","67 Grigor Street,",MOFFAT BEACH QLD 4551,Vacant land,0,0,0,405m² ,03 Apr 2024
"685,000 ","3/18 Camfield Street,",ALEXANDRA HEADLAND QLD 4572,Apartment / Unit / Flat,2,1,1,136m² ,02 Apr 2024
"1,200,000 ","814/100 Resort Drive,",NOOSA HEADS QLD 4567,Apartment / Unit / Flat,2,2,1,112m² ,02 Apr 2024
"510,000 ","Lot 17/3 Murraya Place,",GLASS HOUSE MOUNTAINS QLD 4518,Vacant land,0,0,0,800m² ,01 Apr 2024
"670,000 ","3/32 Ball Street,",MAROOCHYDORE QLD 4558,Townhouse,3,2,1,136m² ,2024
"692,000 ","176 Storrs Road,",PEACHESTER QLD 4519,Vacant land,0,0,0,0,28 Mar 2024
"500,000 ","7 Monarch Close,",YANDINA QLD 4561,Vacant land,0,0,0,927m² ,28 Mar 2024
"750,000 ","14/185-187 Gympie Terrace,",NOOSAVILLE QLD 4566,Apartment / Unit / Flat,2,1,1,57m² ,27 Mar 2024
"1,000,000 ","7/50 Burnett Street,",MOOLOOLABA QLD 4557,Apartment / Unit / Flat,3,2,2,118m² ,26 Mar 2024
"695,000 ","3/30 Canberra Terrace,",CALOUNDRA QLD 4551,Apartment / Unit / Flat,2,2,1,107m² ,25 Mar 2024
"550,000 ","117 Bowen Road,",GLASS HOUSE MOUNTAINS QLD 4518,Vacant land,0,0,0,"4,272m² ",25 Mar 2024
"720,000 ","5 Sierra Place,",MOUNT COOLUM QLD 4573,Vacant land,0,0,0,416m² ,24 Mar 2024
"410,000 ","16 Macamia Grove,",GLASS HOUSE MOUNTAINS QLD 4518,Vacant land,0,0,0,"1,053m² ",22 Mar 2024
"2,015,000 ","2214/15 Lakeview Rise,",NOOSA HEADS QLD 4567,Apartment / Unit / Flat,3,2,2,179m² ,22 Mar 2024
"1,425,000 ","588 North Arm-Yandina Creek Road,",VALDORA QLD 4561,Vacant land,0,0,0,0,22 Mar 2024
"865,000 ","4/27 Munna Crescent,",NOOSAVILLE QLD 4566,Apartment / Unit / Flat,2,1,1,81m² ,21 Mar 2024
"445,000 ","Lot 8/9 Roxton Court,",BEERWAH QLD 4519,Vacant land,0,0,0,801m² ,20 Mar 2024
"630,000 ","15/14 Bright Place,",BIRTINYA QLD 4575,Apartment / Unit / Flat,2,2,1,82m² ,20 Mar 2024
"1,450,000 ","Unit 1104/75 Landsborough Parade,",GOLDEN BEACH QLD 4551,Apartment / Unit / Flat,3,2,2,247m² ,20 Mar 2024
"431,000 ","48/101 Birtinya Boulevard,",BIRTINYA QLD 4575,Apartment / Unit / Flat,1,1,1,63m² ,19 Mar 2024
"613,000 ","18/1 Hibbertia Street,",MOUNTAIN CREEK QLD 4557,Apartment / Unit / Flat,3,2,1,125m² ,2024
"475,000 ","28 Lindeman Crescent,",BANYA QLD 4551,Vacant land,0,0,0,420m² ,16 Mar 2024
"761,250 ","213 Black Pinch Road,",COOTHARABA QLD 4565,Vacant land,0,0,0,0,15 Mar 2024
"761,250 ","7/86-88 Sixth Avenue,",MAROOCHYDORE QLD 4558,Apartment / Unit / Flat,2,1,1,102m² ,2024
"470,000 ","3/46 Poinciana Avenue,",TEWANTIN QLD 4565,Apartment / Unit / Flat,2,1,1,"1,014m² ",14 Mar 2024
"610,000 ","43/12 Bright Place,",BIRTINYA QLD 4575,Apartment / Unit / Flat,2,2,1,88m² ,13 Mar 2024
"878,000 ","9/13 Kauri Street,",COOROY QLD 4563,Apartment / Unit / Flat,3,2,2,192m² ,13 Mar 2024
"580,000 ","1/5 Spring Street,",SIPPY DOWNS QLD 4556,Apartment / Unit / Flat,2,2,1,134m² ,13 Mar 2024
"708,000",,SUNRISE BEACH QLD 4567,Apartment / Unit / Flat,2,2,2,170m² ,
"485,000 ","416/25 Chancellor Village Boulevard,",SIPPY DOWNS QLD 4556,Apartment / Unit / Flat,2,2,1,78m² ,12 Mar 2024
"735,000 ","1864 Maleny Stanley River Road,",BOOROOBIN QLD 4552,Vacant land,0,0,0,"53,300m² ",11 Mar 2024
"490,000 ","Lot 10 Blue Wren Place,",COOROY QLD 4563,Vacant land,0,0,0,686m² ,11 Mar 2024
"550,000 ","5/23 Maleny Street,",LANDSBOROUGH QLD 4550,Townhouse,2,2,1,105m² ,11 Mar 2024
"916,500 ","12/18 Lake Weyba Drive,",NOOSAVILLE QLD 4566,Apartment / Unit / Flat,2,2,1,128m² ,11 Mar 2024
"1,370,000 ","11 Woodlark Rise,",SUNRISE BEACH QLD 4567,Vacant land,0,0,0,621m² ,09 Mar 2024
"647,000 ","2/1 Bribie Pine Court,",BUDERIM QLD 4556,Apartment / Unit / Flat,2,1,1,117m² ,08 Mar 2024
"383,000 ","7 Nalin Court,",COES CREEK QLD 4560,Vacant land,0,0,0,"1,058m² ",08 Mar 2024
"580,000 ","117/2 Margaret Street,",COOLUM BEACH QLD 4573,Apartment / Unit / Flat,1,1,1,81m² ,08 Mar 2024
"685,000 ","23/57 Grand Parade,",PARREARRA QLD 4575,Apartment / Unit / Flat,2,2,1,123m² ,8 Mar 2024
"587,000 ","5/13 Pacific Terrace,",ALEXANDRA HEADLAND QLD 4572,Apartment / Unit / Flat,2,1,1,85m² ,2024
"560,500 ","7/27 Baden Powell Street,",MAROOCHYDORE QLD 4558,Townhouse,2,1,1,103m² ,07 Mar 2024
"530,000","6/17-19 Brisbane Road,",MOOLOOLABA QLD 4557,Apartment / Unit / Flat,2,1,1,80m² ,07 Mar 2024
"672,000 ","58/57 Grand Parade,",PARREARRA QLD 4575,Apartment / Unit / Flat,2,2,1,101m² ,05 Mar 2024
"1,150,000 ","1/4 Stewart Way,",SHELLY BEACH QLD 4551,Townhouse,3,1,2,139m² ,05 Mar 2024
"819,000","313/5 Bermagui Crescent,",BUDDINA QLD 4575,Apartment / Unit / Flat,3,2,1,126m² ,4 Mar 2024
"640,000 ","104/25 Chancellor Village Boulevard,",SIPPY DOWNS QLD 4556,Townhouse,3,2,2,149m² ,03 Mar 2024
"882,500","6/12 First Avenue,",COOLUM BEACH QLD 4573,Apartment / Unit / Flat,2,2,1,140m² ,01 Mar 2024
"810,000 ","622 Yandina Bli Bli Road,",MAROOCHY RIVER QLD 4561,Vacant land,0,0,0,"48,200m² ",01 Mar 2024
"450,000 ","Lot 2/9 Roxton Court,",BEERWAH QLD 4519,Vacant land,0,0,0,"1,010m² ",29 Feb 2024
"1,200,000 ","10 Maxwell Court,",COOLUM BEACH QLD 4573,Vacant land,0,0,0,713m² ,28 Feb 2024
"850,000 ","97/151-153 Mudjimba Beach Road,",MUDJIMBA QLD 4564,Townhouse,3,2,1,249m² ,28 Feb 2024
"600,000 ","71/99 Birtinya Boulevard,",BIRTINYA QLD 4575,Apartment / Unit / Flat,2,1,2,63m² ,7 Feb 2024
"1,070,000 ","147/1 Edgar Bennett Avenue,",NOOSA HEADS QLD 4567,Apartment / Unit / Flat,2,2,1,131m² ,27 Feb 2024
"800,000 ","5/47 Nelson Street,",GOLDEN BEACH QLD 4551,Townhouse,3,2,2,162m² ,26 Feb 2024
"1,044,500 ","16/27 Sixth Avenue,",MAROOCHYDORE QLD 4558,Apartment / Unit / Flat,2,2,1,106m² ,24 Feb 2024
"685,000 ","11 Carramar Street,",TEWANTIN QLD 4565,Vacant land,0,0,0,"1,000m² ",24 Feb 2024
"975,000 ","10 Acer Place,",NORTH MALENY QLD 4552,Vacant land,0,0,0,"5,005m² ",22 Feb 2024
"800,000 ","137 Nicklin Way,",WARANA QLD 4575,Vacant land,0,0,0,532m² ,22 Feb 2024
"500,000 ","6/4 Yallanga Place,",MOOLOOLABA QLD 4557,Apartment / Unit / Flat,2,1,1,64m² ,21 Feb 2024
"510,000 ","Lot 15 Blue Wren Place,",COOROY QLD 4563,Vacant land,0,0,0,779m² ,20 Feb 2024
"670,000 ","5/9 Douglas Street,",MOOLOOLABA QLD 4557,Apartment / Unit / Flat,2,1,1,111m² ,0 Feb 2024
"490,000 ","Unit 614/75 Esplanade,",GOLDEN BEACH QLD 4551,Apartment / Unit / Flat,1,1,1,55m² ,16 Feb 2024
"770,000 ","44/187 Gympie Terrace,",NOOSAVILLE QLD 4566,Townhouse,2,1,1,60m² ,16 Feb 2024
"415,000 ","8/28 Kauri Street,",COOROY QLD 4563,Apartment / Unit / Flat,2,1,1,55m² ,15 Feb 2024
"1,130,000","404/92 Sixth Avenue,",MAROOCHYDORE QLD 4558,Apartment / Unit / Flat,2,2,2,116m² ,2024
"1,500,000 ","27 Smiths Road,",TINBEERWAH QLD 4563,Vacant land,0,0,0,0,5 Feb 2024
"1,600,000 ","67 Larneys Lane,",EERWAH VALE QLD 4562,Vacant land,0,0,0,0,14 Feb 2024
"497,500 ","28/10-12 High Street,",SIPPY DOWNS QLD 4556,Apartment / Unit / Flat,2,2,1,111m² ,14 Feb 2024
"495,000 ","13 Tommys Court,",BUDERIM QLD 4556,Vacant land,0,0,0,759m² ,13 Feb 2024
"515,000 ","95 Lord Howe Circuit,",BANYA QLD 4551,Vacant land,0,0,0,684m² ,12 Feb 2024
"610,500 ","7/34 King Street,",KINGS BEACH QLD 4551,Apartment / Unit / Flat,2,1,1,99m² ,12 Feb 2024
"568,500 ","120/8 Melody Court,",WARANA QLD 4575,Apartment / Unit / Flat,2,1,1,188m² ,12 Feb 2024
"735,000 ","18/10 Price Lane,",BUDERIM QLD 4556,Apartment / Unit / Flat,3,2,2,"13,500m² ",09 Feb 2024
"445,000 ","32/70 Netherton Street,",NAMBOUR QLD 4560,Townhouse,2,1,1,124m² ,09 Feb 2024
"628,000 ","16/18 Lake Weyba Drive,",NOOSAVILLE QLD 4566,Townhouse,2,1,1,75m² ,09 Feb 2024
"700,000 ","2304/1A Mungar Street,",MAROOCHYDORE QLD 4558,Apartment / Unit / Flat,2,2,2,115m² ,07 Feb 2024
"440,000 ","11 Soapbush Court,",PALMWOODS QLD 4555,Vacant land,0,0,0,705m² ,07 Feb 2024
"830,000 ","8/3 Feather Court,",BIRTINYA QLD 4575,Townhouse,3,2,2,176m² ,6 Feb 2024
"665,000","13/7 Juan Street,",ALEXANDRA HEADLAND QLD 4572,Apartment / Unit / Flat,2,1,1,94m² ,05 Feb 2024
"579,000 ","5068 Poinciana Avenue,",NIRIMBA QLD 4551,Vacant land,0,0,0,514m² ,05 Feb 2024
"754,000 ","Unit 13/38a King Street,",KINGS BEACH QLD 4551,Apartment / Unit / Flat,2,1,1,152m² ,04 Feb 2024
"676,000 ","1/20 Achurch Street,",PALMVIEW QLD 4553,Townhouse,3,2,2,164m² ,04 Feb 2024
"950,000 ","37/146-148 Alexandra Parade,",ALEXANDRA HEADLAND QLD 4572,Apartment / Unit / Flat,2,2,1,94m² ,03 Feb 2024
"642,000 ","205/26 St Vincents Court,",MINYAMA QLD 4575,Apartment / Unit / Flat,2,1,1,237m² ,02 Feb 2024
"1,150,000","1/14 Ventura Street,",SUNRISE BEACH QLD 4567,Apartment / Unit / Flat,3,2,1,147m² ,02 Feb 2024
"845,000 ","301/14 Aerodrome Road,",MAROOCHYDORE QLD 4558,Apartment / Unit / Flat,2,2,1,143m² ,2024
"707,000","1/1 Power Court,",MOUNT COOLUM QLD 4573,Apartment / Unit / Flat,2,1,1,280m² ,01 Feb 2024
"540,000 ","3/23 Maleny Street,",LANDSBOROUGH QLD 4550,Townhouse,2,2,1,105m² ,31 Jan 2024
"1,100,000 ","3/73 Sixth Avenue,",MAROOCHYDORE QLD 4558,Apartment / Unit / Flat,3,2,2,146m² ,31 Jan 2024
"395,000 ","Unit 6/20 Stevens St,",YANDINA QLD 4561,Apartment / Unit / Flat,1,1,1,130m² ,31 Jan 2024
"800,000 ","17 Elsa Wilson Drive,",BUDERIM QLD 4556,Vacant land,0,0,0,884m² ,2024
"807,500 ","4/34 Esplanade Headland,",KINGS BEACH QLD 4551,Apartment / Unit / Flat,1,1,1,97m² ,29 Jan 2024
"851,000","UNIT 503/29 CANBERRA TERRACE,",KINGS BEACH QLD 4551,Apartment / Unit / Flat,2,2,1,92m² ,
"615,000 ","23/28 Dalton Drive,",MAROOCHYDORE QLD 4558,Townhouse,3,2,1,121m² ,29 Jan 2024
"1,900,000 ","17 Marjorie Street,",MOOLOOLABA QLD 4557,Block of units,7,3,3,506m² ,29 Jan 2024
"640,000 ","39/1 Hibbertia Street,",MOUNTAIN CREEK QLD 4557,Townhouse,2,2,1,145m² ,29 Jan 2024
"295,000 ","lot 2/23 Bailey Street,",NAMBOUR QLD 4560,Vacant land,0,0,0,650m² ,29 Jan 2024
"795,000 ","103A Greenoaks Drive,",COOLUM BEACH QLD 4573,Vacant land,0,0,0,641m² ,27 Jan 2024
"470,000 ","Lot 9/9 Roxton Court,",BEERWAH QLD 4519,Vacant land,0,0,0,770m² ,25 Jan 2024
"510,000 ","Lot 12 Blue Wren Place,",COOROY QLD 4563,Vacant land,0,0,0,776m² ,24 Jan 2024
