Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"2,010,000 ","13 & 14/110 Sussex Street,",SYDNEY NSW 2000,House,3,2,1,256m² ,2022
"2,325,000 ","381/298 Sussex Street,",SYDNEY NSW 2000,House,3,2,2,273m² ,13 Apr 2017
"2,150,000 ","7 Alexander Street,",SURRY HILLS NSW 2010,House,2,1,−,63m² ,17 Apr 2024
"3,700,000 ","355 Riley Street,",SURRY HILLS NSW 2010,House,3,2,2,132m² ,2024
"2,590,000 ","219 Commonwealth Street,",SURRY HILLS NSW 2010,House,4,3,1,123m² ,11 Apr 2024
"2,710,000 ","68 Fitzroy Street,",SURRY HILLS NSW 2010,House,3,1,1,239m² ,0 Apr 2024
"3,455,000 ","123 Reservoir Street,",SURRY HILLS NSW 2010,House,4,3,2,163m² ,2024
"2,570,000 ","24 Womerah Avenue,",DARLINGHURST NSW 2010,House,4,1,−,120m² ,5 Apr 2024
"1,800,000 ","135 Goodlet Street,",SURRY HILLS NSW 2010,Terrace,2,1,−,69m² ,2024
"2,060,000 ","8 Kendall Street,",SURRY HILLS NSW 2010,Terrace,2,1,−,63m² ,14 Mar 2024
"7,250,000 ","13a Roslyn Gardens,",ELIZABETH BAY NSW 2011,Terrace,4,3,2,183m² ,3 Mar 2024
"1,670,000 ","33 Phelps Street,",SURRY HILLS NSW 2010,House,2,1,−,69m² ,2024
"2,150,000 ","152 Reservoir Street,",SURRY HILLS NSW 2010,House,2,1,−,67m² ,2024
"1,305,000 ","27 Ann Street,",SURRY HILLS NSW 2010,House,2,1,−,57m² ,2024
"1,575,000 ","38 Rainford Street,",SURRY HILLS NSW 2010,House,2,1,−,76m² ,2024
"3,100,000","505 Bourke Street,",SURRY HILLS NSW 2010,House,3,2,1,131m² ,8 Feb 2024
"4,000,000","589 SOUTH DOWLING STREET,",SURRY HILLS NSW 2010,House,4,2,1,202m² ,2024
"2,600,000 ","106 Albion Street,",SURRY HILLS NSW 2010,House,3,3,−,75m² ,2024
"3,500,000","16 Caldwell Street,",DARLINGHURST NSW 2010,House,3,2,−,107m² ,22 Feb 2024
"1,500,000 ","84 Campbell Street,",SURRY HILLS NSW 2010,House,2,2,−,54m² ,20 Feb 2024
"1,650,000 ","12 Goodchap Street,",SURRY HILLS NSW 2010,House,2,1,−,56m² ,2024
"1,450,000 ","17 Brumby Street,",SURRY HILLS NSW 2010,House,2,1,−,63m² ,25 Jan 2024
"3,100,000","71 Phelps Street,",SURRY HILLS NSW 2010,House,3,2,−,101m² ,0 Nov 2023
"3,100,000 ","363 Bourke Street,",DARLINGHURST NSW 2010,House,3,3,−,101m² ,2023
"1,120,000 ","7 Faucett Lane,",WOOLLOOMOOLOO NSW 2011,Terrace,1,1,−,60m² ,2023
"3,300,000 ","40 Prospect Street,",SURRY HILLS NSW 2010,House,3,2,−,93m² ,23 Nov 2023
"1,780,000 ","284 Harris Street,",PYRMONT NSW 2009,Terrace,2,1,−,98m² ,2023
"3,400,000 ","14 Crown Street,",WOOLLOOMOOLOO NSW 2011,Terrace,4,3,2,170m² ,2023
"1,900,000","124 Wilton Street,",SURRY HILLS NSW 2010,House,4,3,−,82m² ,13 Nov 2023
"2,360,000","90 Quarry Street,",ULTIMO NSW 2007,House,4,1,1,139m² ,2023
"1,675,000","14 Chisholm Street,",DARLINGHURST NSW 2010,House,2,2,−,54m² ,0 Oct 2023
"3,300,000","20 Crown Street,",WOOLLOOMOOLOO NSW 2011,Terrace,3,2,2,171m² ,2023
"3,500,000 ","202 Palmer Street,",DARLINGHURST NSW 2010,Terrace,4,1,1,177m² ,2023
"2,360,000 ","188 Commonwealth Street,",SURRY HILLS NSW 2010,House,4,2,1,129m² ,2023
"3,320,000 ","17 Tudor Street,",SURRY HILLS NSW 2010,House,3,2,1,125m² ,2023
"2,230,000 ","111 Goodlet Street,",SURRY HILLS NSW 2010,Terrace,3,2,−,108m² ,2023
"2,050,000 ","16 Kendall Street,",SURRY HILLS NSW 2010,Terrace,2,1,−,90m² ,2023
"1,770,000 ","436 Wattle Street,",ULTIMO NSW 2007,House,3,1,1,104m² ,03 Oct 2023
"1,290,000 ","25 Berwick Lane,",DARLINGHURST NSW 2010,Terrace,1,1,−,57m² ,9 Sep 2023
"3,310,000","41A Surrey Street Street,",DARLINGHURST NSW 2010,Terrace,3,2,1,103m² ,29 Sep 2023
"1,400,000 ","158 Harris Street,",PYRMONT NSW 2009,House,2,1,−,89m² ,21 Sep 2023
"1,750,000 ","21 Bennett Street,",SURRY HILLS NSW 2010,Terrace,2,2,−,70m² ,15 Sep 2023
"4,425,000 ","586 Bourke Street,",SURRY HILLS NSW 2010,Terrace,4,3,1,145m² ,2023
"4,060,000","143 Goodlet Street,",SURRY HILLS NSW 2010,House,5,3,2,189m² ,2023
"2,780,000 ","10 Nickson Street,",SURRY HILLS NSW 2010,House,3,1,1,127m² ,01 Sep 2023
"1,670,000 ","11 Mackey Street,",SURRY HILLS NSW 2010,House,2,1,−,114m² ,24 Aug 2023
"2,650,000 ","62 Nickson Street,",SURRY HILLS NSW 2010,House,3,1,1,114m² ,2023
"2,225,000","202 BARCOM AVENUE,",DARLINGHURST NSW 2010,House,3,1,−,127m² ,7 Aug 2023
"1,983,000 ","559 Bourke Street,",SURRY HILLS NSW 2010,House,3,2,−,83m² ,7 Aug 2023
"1,862,500","142 Reservoir Street,",SURRY HILLS NSW 2010,House,3,1,−,110m² ,6 Aug 2023
"2,550,000 ","51 Waterloo Street,",SURRY HILLS NSW 2010,House,4,2,−,114m² ,2023
"2,410,000 ","46 Davies Street,",SURRY HILLS NSW 2010,House,4,2,−,82m² ,28 Jul 2023
"4,550,000 ","25 Tudor Street,",SURRY HILLS NSW 2010,House,3,3,1,133m² ,2023
"2,540,000 ","12 Caldwell Street,",DARLINGHURST NSW 2010,Terrace,4,2,1,94m² ,2023
"1,815,000","157 Reservoir Street,",SURRY HILLS NSW 2010,Terrace,2,1,−,76m² ,2023
"1,550,000 ","15 Sturt Street,",DARLINGHURST NSW 2010,House,2,1,−,52m² ,07 Jun 2023
"3,100,000","185 Palmer Street,",DARLINGHURST NSW 2010,House,4,3,1,164m² ,2023
"2,325,000 ","12 Prospect Street,",SURRY HILLS NSW 2010,House,3,1,−,97m² ,2023
"2,750,000 ","37 Davies Street,",SURRY HILLS NSW 2010,House,3,2,−,107m² ,2023
"1,850,000 ","308 Palmer Street,",DARLINGHURST NSW 2010,House,3,2,−,90m² ,02 Jun 2023
"2,050,000 ","26 Burton Street,",DARLINGHURST NSW 2010,House,3,3,−,57m² ,30 May 2023
"2,050,000 ","26 Burton Street,",DARLINGHURST NSW 2010,House,3,3,−,57m² ,30 May 2023
"2,920,000 ","43 Womerah Avenue,",DARLINGHURST NSW 2010,Terrace,4,2,−,127m² ,2023
"5,800,000 ","44 Kellett Street,",POTTS POINT NSW 2011,House,4,2,2,226m² ,2023
"2,900,000","275 Forbes Street,",DARLINGHURST NSW 2010,House,5,3,−,95m² ,2 May 2023
"3,055,000","287 Forbes Street,",DARLINGHURST NSW 2010,House,3,2,−,95m² ,05 May 2023
"2,490,000","90 Womerah Avenue,",DARLINGHURST NSW 2010,Terrace,6,5,1,120m² ,04 May 2023
"12,500,000 ","30-32 Victoria Street,",POTTS POINT NSW 2011,House,5,4,1,270m² ,21 Apr 2023
"14,000,000 ","30-32 Victoria Street,",POTTS POINT NSW 2011,House,5,4,1,270m² ,21 Apr 2023
"14,000,000 ","30-32 Victoria Street,",POTTS POINT NSW 2011,House,5,4,1,270m² ,21 Apr 2023
"14,000,000 ","30-32 Victoria Street,",POTTS POINT NSW 2011,House,5,4,1,270m² ,21 Apr 2023
"4,070,000","33 Nobbs Street,",SURRY HILLS NSW 2010,House,4,4,2,158m² ,21 Apr 2023
"1,838,800 ","171 Commonwealth Street,",SURRY HILLS NSW 2010,Terrace,4,1,1,115m² ,17 Apr 2023
"1,702,000 ","81 John Street,",PYRMONT NSW 2009,House,2,1,−,73m² ,2023
"1,410,000 ","373 South Dowling Street,",DARLINGHURST NSW 2010,House,2,1,1,55m² ,01 Apr 2023
"2,650,000","54 Surrey Street,",DARLINGHURST NSW 2010,House,3,2,−,133m² ,30 Mar 2023
"2,030,000 ","9 Mount Street,",PYRMONT NSW 2009,House,3,1,−,113m² ,2023
"2,950,000 ","514 Bourke Street,",SURRY HILLS NSW 2010,Terrace,3,2,1,130m² ,2023
"2,700,000 ","23 Mort Street,",SURRY HILLS NSW 2010,House,4,1,−,108m² ,2023
"2,550,000","119A Campbell Street,",SURRY HILLS NSW 2010,Terrace,3,3,−,101m² ,23 Mar 2023
"1,842,500","76 Marlborough Street,",SURRY HILLS NSW 2010,Terrace,3,1,−,122m² ,22 Mar 2023
"2,400,000 ","184 Barcom Avenue,",DARLINGHURST NSW 2010,House,3,1,−,139m² ,16 Mar 2023
"2,685,000 ","281 Forbes Street,",DARLINGHURST NSW 2010,House,3,2,−,95m² ,2023
"2,330,000","11 West Avenue,",DARLINGHURST NSW 2010,Terrace,3,2,1,115m² ,2023
"2,000,000 ","553 Bourke Street,",SURRY HILLS NSW 2010,Terrace,1,1,−,108m² ,04 Mar 2023
"2,203,000 ","68 Cooper Street,",SURRY HILLS NSW 2010,Terrace,4,2,2,95m² ,24 Feb 2023
"1,610,000 ","343 South Dowling Street,",DARLINGHURST NSW 2010,Terrace,3,1,−,108m² ,16 Jan 2023
"1,630,000 ","21 Brumby Street,",SURRY HILLS NSW 2010,House,2,2,−,61m² ,16 Jan 2023
"3,000,000","67 Edward Street,",PYRMONT NSW 2009,House,3,3,2,325m² ,21 Dec 2022
"2,600,000 ","168 Harris Street,",PYRMONT NSW 2009,House,3,2,2,139m² ,19 Dec 2022
