Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"740,000 ","13/365 Kent Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,1,1,−,75m² ,23 Apr 2024
"745,000 ","43/336-346 Sussex Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,2,1,1,86m² ,17 Apr 2024
"3,000,000 ","3304/38 York Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,3,2,1,153m² ,03 Apr 2024
"815,000 ","413/35 Shelley Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,1,1,−,68m² ,7 Mar 2024
"740,000 ","407/45-49 Shelley Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,1,1,−,70m² ,9 Mar 2024
"650,000 ","237/569 George Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,1,1,−,74m² ,2024
"710,000 ","1307/5 York Street,",SYDNEY NSW 2000,Studio,− 0,1,−,63m² ,4 Mar 2024
"1,150,000 ","2303/591 George Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,2,2,1,106m² ,4 Mar 2024
"3,405,000 ","2704/187 Liverpool Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,2,2,2,159m² ,2024
"795,000 ","99/569 George Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,2,1,−,86m² ,28 Feb 2024
"660,000 ","119/298 Sussex Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,1,1,−,62m² ,27 Feb 2024
"1,275,000","715/23 Shelley Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,2,2,1,100m² ,2024
"3,200,000 ","801/18 Loftus Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,2,2,1,134m² ,23 Feb 2024
"1,050,000 ","1209/161 Clarence Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,1,1,−,66m² ,21 Feb 2024
"1,275,000 ","1405/5 York Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,1,1,1,90m² ,21 Feb 2024
"1,320,000 ","2802/343-357 Pitt Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,3,1,2,117m² ,19 Feb 2024
"1,650,850 ","Penthouse 159/361 Kent Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,3,2,2,151m² ,16 Feb 2024
"1,105,000","108/361 Kent Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,3,3,2,133m² ,14 Feb 2024
"3,350,000 ","505/160 King Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,3,2,1,138m² ,09 Feb 2024
"4,350,000 ","4702/101 Bathurst Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,3,3,2,210m² ,31 Jan 2024
"7,000,000 ","2903/157 Liverpool Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,3,2,2,213m² ,25 Jan 2024
"6,015,000 ","High Level/115-117 Bathurst Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,3,3,2,197m² ,20 Jan 2024
"6,750,000","1208/61 Macquarie Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,3,3,2,190m² ,3 Jan 2024
"4,600,000 ","502/15 Young Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,3,2,1,213m² ,22 Dec 2023
"2,200,000 ","403/160 King Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,2,2,−,100m² ,20 Dec 2023
"1,335,000 ","LV16 - 129/365 KENT STREET,",SYDNEY NSW 2000,Apartment / Unit / Flat,2,2,1,111m² ,16 Dec 2023
"785,000 ","1507/352 Sussex Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,1,1,1,68m² ,08 Dec 2023
"1,060,000 ","153/158 Day Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,2,2,1,115m² ,05 Dec 2023
"610,000 ","76/569 George Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,1,1,−,58m² ,2023
"578,000 ","23/361-363 Kent Street,",SYDNEY NSW 2000,Studio,1,1,−,56m² ,01 Dec 2023
"2,200,000 ","2302/187 Liverpool Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,2,2,1,116m² ,01 Dec 2023
"3,680,000 ","3710/117 Bathurst Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,3,2,1,159m² ,20 Nov 2023
"1,395,000","908/38 York Street,",SYDNEY NSW 2000,Apartment / Unit / Flat,2,2,−,78m² ,16 Nov 2023
"2,200,000 ","Level 29/65 Tumbalong Blvd,",SYDNEY NSW 2000,Apartment / Unit / Flat,2,2,1,100m² ,15 Nov 2023
