Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"445,000 ","13 Brodribb Street,",TOOWOOMBA QLD 4350,House,3,1,2,780m² ,15 Nov 2023
"485,000 ","21 Hamwood Street,",TOOWOOMBA QLD 4350,House,2,2,1,660m² ,14 Nov 2023
"750,000 ","107 Hume Street,",TOOWOOMBA QLD 4350,House,3,1,2,521m² ,04 Sep 2023
"910,000 ","30 Raff Street,",TOOWOOMBA QLD 4350,House,4,2,2,999m² ,10 Jun 2023
"820,000 ","36 Grenier Street,",TOOWOOMBA QLD 4350,House,3,1,5,946m² ,22 May 2023
"1,050,000 ","11 & 11A Gowrie Street,",TOOWOOMBA QLD 4350,House,5,2,4,555m² ,31 Jan 2023
"550,000 ","13 Grenier Street,",TOOWOOMBA QLD 4350,House,4,2,2,898m² ,22 Jul 2022
"519,000 ","28 Norwood Street,",TOOWOOMBA QLD 4350,House,3,2,2,774m² ,07 Jul 2022
"363,000 ","11 Brodribb Street,",TOOWOOMBA QLD 4350,House,2,1,2,460m² ,05 Jul 2022
"495,000 ","25 Raff Street,",TOOWOOMBA QLD 4350,House,3,1,1,701m² ,12 May 2022
"465,000","5 Grange St,",TOOWOOMBA QLD 4350,House,3,1,3,448m² ,23 Nov 2021
"1,200,000","62 East Street,",TOOWOOMBA QLD 4350,House,4,3,1,0,14 Jun 2021
"385,000 ","60 SANCTUARY Drive,",TOOWOOMBA QLD 4350,House,4,2,2,486m² ,09 Jun 2021
"740,000 ","1 Cecil Street,",TOOWOOMBA QLD 4350,House,4,3,2,782m² ,20 Apr 2021
"401,988 ","10 Hamwood Street,",TOOWOOMBA QLD 4350,House,3,1,2,746m² ,16 Mar 2021
"275,000","21 Taylor Street,",TOOWOOMBA QLD 4350,House,2,1,−,324m² ,02 Mar 2021
"418,000","49 Grenier Street,",TOOWOOMBA QLD 4350,House,3,1,1,898m² ,16 Feb 2021
"320,000 ","24 Grenier Street,",TOOWOOMBA QLD 4350,House,3,1,2,898m² ,16 Oct 2019
"620,000 ","176A Campbell Street,",TOOWOOMBA QLD 4350,House,5,2,2,890m² ,29 Aug 2019
"420,000 ","2 Francis Street,",TOOWOOMBA QLD 4350,House,4,1,1,936m² ,24 Apr 2019
"480,000 ","3 Logie Street,",TOOWOOMBA QLD 4350,House,3,2,2,625m² ,27 Nov 2018
"260,000 ","38 Dunne Street,",TOOWOOMBA QLD 4350,House,3,1,2,728m² ,18 Jul 2018
"369,500 ","42 Hill Street,",TOOWOOMBA QLD 4350,House,3,1,1,515m² ,18 Apr 2018
"522,000 ","143 Campbell Street,",TOOWOOMBA QLD 4350,House,3,2,1,814m² ,24 Feb 2018
"575,000 ","11 Estate Street,",TOOWOOMBA QLD 4350,House,5,2,10,"4,000m² ",16 Feb 2018
