Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"810,000 ","3 Conloi St,",TOOWOOMBA CITY QLD 4350,Block of units,6,3,3,716m² ,22 Nov 2023
"1,200,000","14 Taylor Street,",TOOWOOMBA CITY QLD 4350,Block of units,8,5,5,809m² ,25 Sep 2023
"697,500 ","1 Scouts Way,",TOOWOOMBA CITY QLD 4350,Townhouse,1,1,1,119m² ,07 Aug 2023
"510,000 ","1 & 2/33 Taylor Street,",TOOWOOMBA CITY QLD 4350,Apartment / Unit / Flat,2,2,2,357m² ,05 Jul 2023
"220,000 ","1/51 Grenier Street,",TOOWOOMBA CITY QLD 4350,Apartment / Unit / Flat,2,1,1,88m² ,01 Jun 2023
"364,000 ","405/532-544 Ruthven Street,",TOOWOOMBA CITY QLD 4350,Apartment / Unit / Flat,2,2,1,89m² ,25 May 2023
"900,000 ","1-4/27 Isabel Street,",TOOWOOMBA CITY QLD 4350,Block of units,8,4,4,"1,067m² ",16 May 2023
"1,060,000 ","99 Campbell Street,",TOOWOOMBA CITY QLD 4350,Block of units,8,4,4,878m² ,10 May 2023
"250,000 ","3/3 Langton Street,",TOOWOOMBA CITY QLD 4350,Apartment / Unit / Flat,2,1,1,87m² ,27 Apr 2023
"289,600 ","8/3 Cory Street,",TOOWOOMBA CITY QLD 4350,Apartment / Unit / Flat,2,1,1,93m² ,23 Jan 2023
"239,000 ","8/3 Langton Street,",TOOWOOMBA CITY QLD 4350,Apartment / Unit / Flat,2,1,1,"2,111m² ",11 Jan 2023
"950,000 ","33 Isabel Street,",TOOWOOMBA CITY QLD 4350,Block of units,7,4,3,964m² ,22 Dec 2022
"2,170,000 ","1-9/164 Campbell Street,",TOOWOOMBA CITY QLD 4350,Block of units,18,9,9,"1,886m² ",12 Sep 2022
"274,000 ","2/92 West Street,",TOOWOOMBA CITY QLD 4350,Apartment / Unit / Flat,2,1,1,122m² ,25 Aug 2022
"300,000 ","Unit 5/5 Kenric Street,",TOOWOOMBA CITY QLD 4350,Townhouse,2,1,1,64m² ,22 Aug 2022
"440,000 ","1/3 Hamwood Street,",TOOWOOMBA CITY QLD 4350,Apartment / Unit / Flat,2,2,2,453m² ,09 Aug 2022
"558,000 ","37 Hill Street,",TOOWOOMBA CITY QLD 4350,Block of units,4,2,4,455m² ,22 Jun 2022
"590,000 ","7A Conloi Street,",TOOWOOMBA CITY QLD 4350,Townhouse,3,2,2,169m² ,03 May 2022
"345,000 ","10/5 Joseph Street,",TOOWOOMBA CITY QLD 4350,Apartment / Unit / Flat,3,1,1,132m² ,05 Apr 2022
"290,000 ","3/5 Joseph Street,",TOOWOOMBA CITY QLD 4350,Apartment / Unit / Flat,2,1,1,118m² ,07 Mar 2022
"185,000 ","1/116 West Street,",TOOWOOMBA CITY QLD 4350,Apartment / Unit / Flat,2,1,1,90m² ,04 Sep 2021
"179,000 ","8/174 Campbell Street,",TOOWOOMBA CITY QLD 4350,Apartment / Unit / Flat,2,1,1,79m² ,02 Sep 2021
"569,000 ","46 Raff Street,",TOOWOOMBA CITY QLD 4350,Block of units,4,4,3,898m² ,26 Jul 2021
"775,000 ","1-4/5 Royal Street,",TOOWOOMBA CITY QLD 4350,Block of units,8,4,−,409m² ,09 Jul 2021
"250,000 ","27/5 Clifford Street,",TOOWOOMBA CITY QLD 4350,Apartment / Unit / Flat,2,1,1,95m² ,17 Jun 2021
