Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"295,365 ","706/84-106 Denham Street,",TOWNSVILLE CITY QLD 4810,House,1,1,1,125m² ,10 Apr 2024
"365,000 ","25/11-17 Stanley Street,",TOWNSVILLE CITY QLD 4810,House,2,2,1,93m² ,20 Feb 2024
"2,350,000","14/48-55 Sir Leslie Theiss Drive,",TOWNSVILLE CITY QLD 4810,House,3,3,2,414m² ,10 Nov 2023
"325,000","7 Hamilton Street,",TOWNSVILLE CITY QLD 4810,House,2,1,−,"1,012m² ",13 Oct 2023
"900,000 ","13 Melton Terrace,",TOWNSVILLE CITY QLD 4810,House,8,4,2,898m² ,26 Sep 2023
"810,000 ","41 HALE STREET,",TOWNSVILLE CITY QLD 4810,House,3,2,3,779m² ,12 Jun 2023
"1,250,000 ","3/419-433 Flinders Street,",TOWNSVILLE CITY QLD 4810,House,3,2,3,416m² ,07 Jun 2023
"2,150,000 ","13/48 Sir Leslie Thiess Drive,",TOWNSVILLE CITY QLD 4810,House,3,3,2,414m² ,02 Jun 2023
"441,000 ","124/330-348 Sturt Street,",TOWNSVILLE CITY QLD 4810,House,3,2,2,168m² ,17 Apr 2023
"475,000 ","7/1 The Strand,",TOWNSVILLE CITY QLD 4810,House,2,2,1,149m² ,12 Apr 2023
"550,000 ","804/151-173 Sturt Street,",TOWNSVILLE CITY QLD 4810,House,3,2,2,200m² ,13 Mar 2023
"240,000 ","35/51-69 Stanley Street,",TOWNSVILLE CITY QLD 4810,House,1,1,1,72m² ,09 Mar 2023
"784,000","8 Murray Street,",TOWNSVILLE CITY QLD 4810,House,4,2,2,476m² ,11 Dec 2022
"2,000,000","14/48-55 Sir Leslie Thiess Drive,",TOWNSVILLE CITY QLD 4810,House,3,3,2,414m² ,23 Nov 2022
"270,000 ","20/11-17 Stanley Street,",TOWNSVILLE CITY QLD 4810,House,2,2,1,85m² ,28 Sep 2022
"285,000 ","25/11-17 Stanley Street,",TOWNSVILLE CITY QLD 4810,House,2,2,1,93m² ,26 Jul 2022
"1,050,000 ","33 Hale Street,",TOWNSVILLE CITY QLD 4810,House,4,2,2,521m² ,26 Jul 2022
"495,000 ","502/151-173 Sturt Street,",TOWNSVILLE CITY QLD 4810,House,3,2,1,167m² ,18 Jul 2022
"550,000 ","2/408 Walker Street,",TOWNSVILLE CITY QLD 4810,House,3,2,2,210m² ,20 Jun 2022
"420,000 ","76/2-4 Kingsway Place,",TOWNSVILLE CITY QLD 4810,House,2,2,1,90m² ,26 May 2022
"1,970,000 ","29-31 Hale Street,",TOWNSVILLE CITY QLD 4810,House,5,3,4,"1,366m² ",10 May 2022
