Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"250,500 ","44/3 Kingsway Place,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,1,1,1,66m² ,27 Mar 2024
"425,000 ","63/11-17 Stanley Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,1,93m² ,26 Mar 2024
"505,000 ","219/330-348 Sturt Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,3,2,2,173m² ,14 Mar 2024
"235,000 ","25/209 Wills Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,1,1,1,72m² ,11 Mar 2024
"935,000 ","14/16 Sir Leslie Thiess Drive,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,3,2,2,133m² ,29 Feb 2024
"438,000 ","901/106 Denham Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,1,136m² ,16 Feb 2024
"500,000 ","1002/106 Denham Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,1,161m² ,14 Feb 2024
"425,000 ","10/148C Walker Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,1,147m² ,05 Feb 2024
"440,000 ","801/122 Walker,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,3,2,1,165m² ,23 Jan 2024
"390,000 ","74/11-17 Stanley Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,1,93m² ,18 Dec 2023
"840,000","UNIT 5/48 SIR LESLIE THIESS DRIVE,",TOWNSVILLE CITY QLD 4810,Vacant land,0,0,0,414m² ,
"318,000 ","64/4 Aplin Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,1,1,106m² ,29 Nov 2023
"220,000 ","3/398 Walker Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,1,1,82m² ,27 Nov 2023
"310,000 ","4/5 Kingsway Place,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,1,1,99m² ,15 Nov 2023
"333,000 ","3/11-17 Stanley Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,1,92m² ,12 Oct 2023
"472,500 ","604/122 Walker Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,3,2,2,184m² ,12 Oct 2023
"415,000 ","28/209 Wills Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,3,2,2,119m² ,11 Oct 2023
"370,000 ","72/1 Stanton Terrace,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,2,97m² ,04 Oct 2023
"410,000 ","26/18-30 Sir Leslie Thiess Drive,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,1,149m² ,27 Jun 2023
"395,000 ","80/502 Flinders Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,2,168m² ,23 Jun 2023
"376,000 ","74/11-17 Stanley Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,1,93m² ,16 Jun 2023
"245,000 ","24/3 Kingsway Place,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,1,1,1,66m² ,15 Jun 2023
"480,000 ","1/13 Hillside Crescent,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,1,1,106m² ,01 Jun 2023
"710,000 ","22/7 Mariners Drive,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,1,140m² ,21 May 2023
"290,000 ","34/5 Kingsway Place,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,1,95m² ,12 May 2023
"735,000 ","1901/106 Denham Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,3,2,2,210m² ,05 May 2023
"240,000 ","7/3 Kingsway Place,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,1,1,1,76m² ,02 May 2023
"227,000 ","12/209 Wills Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,1,1,1,72m² ,19 Apr 2023
"525,000 ","17/1 The Strand,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,3,2,1,152m² ,22 Mar 2023
"202,000 ","11/4 Aplin Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,1,1,1,66m² ,11 Mar 2023
"315,000 ","18/209 Wills Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,2,97m² ,02 Mar 2023
"510,000 ","1502/122 Walker Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,3,2,2,177m² ,28 Feb 2023
"215,000 ","23/6 Hale Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,1,1,113m² ,20 Feb 2023
"340,000","36/86-124 Ogden Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,3,2,2,119m² ,16 Jan 2023
"330,000 ","60/11-17 Stanley Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,1,85m² ,11 Jan 2023
"370,000 ","27/51-69 Stanley Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,3,2,1,116m² ,05 Jan 2023
"425,000 ","804/84-106 Denham Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,1,163m² ,03 Jan 2023
"240,000 ","6/270 Walker Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,3,2,1,100m² ,30 Dec 2022
"310,000 ","1/209 Wills Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,1,98m² ,23 Dec 2022
"1,050,000 ","2002/106 Denham Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,3,2,3,261m² ,22 Dec 2022
"860,000 ","Lot 26/ 48 Sir Leslie Thiess Drive,",TOWNSVILLE CITY QLD 4810,Vacant land,0,0,0,375m² ,09 Dec 2022
"680,000 ","14/7 Mariners Drive,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,3,2,1,159m² ,05 Dec 2022
"305,000 ","11/5 Kingsway Place,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,1,93m² ,02 Dec 2022
"220,000 ","39/3 Kingsway Place,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,1,1,1,66m² ,01 Dec 2022
"520,000 ","1/12-14 Hale St,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,3,2,2,156m² ,30 Nov 2022
"210,000 ","18/5 Kingsway Place,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,1,1,1,64m² ,19 Nov 2022
"735,000 ","12/7 Mariners Drive,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,1,129m² ,14 Nov 2022
"210,000","14/4 Aplin Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,1,1,1,65m² ,03 Nov 2022
"320,000 ","33/209 Wills Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,2,97m² ,19 Oct 2022
"425,000 ","1A/3-7 The Strand,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,2,124m² ,18 Oct 2022
"695,000 ","16/7 Mariners Drive,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,1,147m² ,13 Oct 2022
"485,000 ","10/12-14 Hale Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,3,2,1,126m² ,11 Oct 2022
"250,000 ","52/86-124 Ogden Street,",TOWNSVILLE CITY QLD 4810,Apartment / Unit / Flat,2,2,2,75m² ,07 Oct 2022
