Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"515,000 ","1 King Street,",WODONGA VIC 3690,House,3,1,3,794m² ,25 Apr 2024
"620,000 ","41 Jarrah Street,",WODONGA VIC 3690,House,4,3,2,678m² ,19 Apr 2024
"380,000 ","99 Docking Street,",WODONGA VIC 3690,House,4,1,2,579m² ,13 Apr 2024
"650,000 ","13 Derwent Way,",WODONGA VIC 3690,House,4,2,2,580m² ,12 Apr 2024
"500,000 ","10 Amaroo Crescent,",WODONGA VIC 3690,House,4,2,2,769m² ,12 Apr 2024
"575,000 ","1A Anne Street,",WODONGA VIC 3690,House,3,1,2,707m² ,09 Apr 2024
"520,000 ","84 Mayfair Drive,",WODONGA VIC 3690,House,3,1,5,726m² ,05 Apr 2024
"449,000 ","117 Marshall Street,",WODONGA VIC 3690,House,3,1,2,571m² ,03 Apr 2024
"615,000 ","16 Joynt Way,",WODONGA VIC 3690,House,3,2,2,570m² ,03 Apr 2024
"1,100,000 ","1/8 Caernarvon Court,",WODONGA VIC 3690,House,4,3,4,"1,365m² ",02 Apr 2024
"615,000 ","25 Murray Way,",WODONGA VIC 3690,House,3,2,3,539m² ,28 Mar 2024
"580,000 ","18 Hastings Way,",WODONGA VIC 3690,House,3,2,2,600m² ,26 Mar 2024
"770,000 ","14 Argyle Way,",WODONGA VIC 3690,House,4,2,2,"1,201m² ",25 Mar 2024
"433,000 ","29 Burnley Street,",WODONGA VIC 3690,House,3,1,2,625m² ,25 Mar 2024
"549,000 ","14 Diamond Drive,",WODONGA VIC 3690,House,4,2,3,"1,117m² ",24 Mar 2024
"521,000 ","13 McGeoch Court,",WODONGA VIC 3690,House,4,2,2,639m² ,23 Mar 2024
"690,000","23 PEMBROKE CRESCENT,",WODONGA VIC 3690,House,4,2,4,541m² ,13 Mar 2024
"522,500","33 Dundee Drive,",WODONGA VIC 3690,House,3,2,2,684m² ,12 Mar 2024
"439,000 ","10 Gordon Street,",WODONGA VIC 3690,House,3,1,2,810m² ,09 Mar 2024
"415,000 ","1 Hereford Street,",WODONGA VIC 3690,House,2,1,1,600m² ,07 Mar 2024
"450,000","54 Anderson St,",WODONGA VIC 3690,House,3,1,3,553m² ,07 Mar 2024
"600,000 ","82 Barton Street,",WODONGA VIC 3690,House,4,2,2,767m² ,05 Mar 2024
"429,000 ","12 Hensley Court,",WODONGA VIC 3690,House,3,2,1,750m² ,05 Mar 2024
"420,000 ","4 Noel Street,",WODONGA VIC 3690,House,3,1,3,676m² ,01 Mar 2024
"1,182,000 ","4 Innisfree Drive,",WODONGA VIC 3690,House,4,2,4,"4,059m² ",01 Mar 2024
"550,000 ","31 Peeler Street,",WODONGA VIC 3690,House,4,2,2,506m² ,29 Feb 2024
"670,000 ","4 Green Court,",WODONGA VIC 3690,House,4,2,2,875m² ,27 Feb 2024
"575,000 ","48 Hartwig Road,",WODONGA VIC 3690,House,3,2,2,"1,134m² ",26 Feb 2024
"725,000 ","12 Partridge Way,",WODONGA VIC 3690,House,4,2,3,702m² ,26 Feb 2024
"449,000 ","13 Tourmaline Drive,",WODONGA VIC 3690,House,4,1,1,724m² ,26 Feb 2024
"569,000 ","12 Slice Court,",WODONGA VIC 3690,House,3,2,3,613m² ,26 Feb 2024
"340,000 ","97 Docking Street,",WODONGA VIC 3690,House,3,1,1,616m² ,23 Feb 2024
"549,000 ","85a Mitchell Street,",WODONGA VIC 3690,House,3,2,3,533m² ,23 Feb 2024
"349,000","14 Page Court,",WODONGA VIC 3690,House,3,1,2,762m² ,23 Feb 2024
"615,000 ","9 Scarborough Drive,",WODONGA VIC 3690,House,4,2,4,878m² ,22 Feb 2024
"625,000","46 BADCOE AVENUE,",WODONGA VIC 3690,House,3,2,2,513m² ,21 Feb 2024
"550,000 ","7 Tweed Way,",WODONGA VIC 3690,House,3,2,2,398m² ,20 Feb 2024
"466,000 ","85 Chapple Street,",WODONGA VIC 3690,House,3,1,1,562m² ,20 Feb 2024
"423,500 ","17 Jarrah Street,",WODONGA VIC 3690,House,3,1,2,646m² ,19 Feb 2024
"565,000","15 Derwent Way,",WODONGA VIC 3690,House,4,2,2,580m² ,19 Feb 2024
"485,000 ","2 Bruce Street,",WODONGA VIC 3690,House,4,1,3,711m² ,19 Feb 2024
"749,000 ","3 Delaware Court,",WODONGA VIC 3690,House,4,2,4,"1,024m² ",19 Feb 2024
"369,700","15 Swan Street,",WODONGA VIC 3690,House,3,1,2,563m² ,16 Feb 2024
"490,000","2 DRAW COURT,",WODONGA VIC 3690,House,3,1,2,488m² ,16 Feb 2024
"634,000 ","47 Awburn Street,",WODONGA VIC 3690,House,4,2,2,708m² ,15 Feb 2024
"580,000 ","5 Newland Street,",WODONGA VIC 3690,House,5,2,3,648m² ,14 Feb 2024
"580,000 ","8 Ovens Court,",WODONGA VIC 3690,House,3,2,2,682m² ,13 Feb 2024
"420,000","10 BEARDMORE STREET,",WODONGA VIC 3690,House,3,2,3,656m² ,13 Feb 2024
"575,000 ","13 Thrush Court,",WODONGA VIC 3690,House,4,2,2,800m² ,13 Feb 2024
"425,000 ","6 Hardie Court,",WODONGA VIC 3690,House,3,1,2,704m² ,09 Feb 2024
"228,000","2 Melgaard Court,",WODONGA VIC 3690,House,3,1,1,703m² ,09 Feb 2024
"525,000 ","32 Sadlier Street,",WODONGA VIC 3690,House,3,2,2,477m² ,07 Feb 2024
"530,000 ","28 Sapphire Circuit,",WODONGA VIC 3690,House,4,2,2,851m² ,07 Feb 2024
"459,000 ","17 Wornes Drive,",WODONGA VIC 3690,House,3,1,5,614m² ,02 Feb 2024
"556,000 ","46 Ruthven Circuit,",WODONGA VIC 3690,House,4,2,2,572m² ,02 Feb 2024
"415,000 ","23 Gordon Street,",WODONGA VIC 3690,House,3,1,1,655m² ,01 Feb 2024
"570,000 ","172 Lawrence Street,",WODONGA VIC 3690,House,4,1,3,695m² ,01 Feb 2024
"515,000 ","70 Charles Street,",WODONGA VIC 3690,House,3,1,5,822m² ,01 Feb 2024
"700,000 ","1 & 2/22 Charles Street,",WODONGA VIC 3690,House,6,3,4,812m² ,31 Jan 2024
"650,000 ","7 Victoria Cross Parade,",WODONGA VIC 3690,House,4,2,2,607m² ,30 Jan 2024
"500,000 ","14 Turton Court,",WODONGA VIC 3690,House,3,1,3,615m² ,29 Jan 2024
"405,000","8 Elsa Court,",WODONGA VIC 3690,House,3,1,1,800m² ,29 Jan 2024
"550,000 ","11 Newman Crescent,",WODONGA VIC 3690,House,4,2,3,826m² ,28 Jan 2024
"620,000 ","34 Cutler Crescent,",WODONGA VIC 3690,House,4,2,2,531m² ,26 Jan 2024
"485,000 ","4 Maneroo Court,",WODONGA VIC 3690,House,4,2,2,634m² ,24 Jan 2024
"465,500","1 WARSAW CRESCENT,",WODONGA VIC 3690,House,3,1,2,643m² ,23 Jan 2024
"455,000 ","6 Flower Place,",WODONGA VIC 3690,House,3,1,2,830m² ,23 Jan 2024
"590,000 ","20 Castle Creek Road,",WODONGA VIC 3690,House,4,2,2,658m² ,22 Jan 2024
"450,000","71 TRUDEWIND ROAD,",WODONGA VIC 3690,House,3,1,3,650m² ,18 Jan 2024
"470,000 ","6 Nicholson Court,",WODONGA VIC 3690,House,4,1,2,588m² ,17 Jan 2024
"765,000","6 KIRRIBILLI COURT,",WODONGA VIC 3690,House,4,2,2,"2,911m² ",16 Jan 2024
"745,000 ","2 Fraser Court,",WODONGA VIC 3690,House,5,2,2,"1,181m² ",10 Jan 2024
"520,000 ","85 William Street,",WODONGA VIC 3690,House,5,2,3,818m² ,09 Jan 2024
"620,000 ","176 Lawrence Street,",WODONGA VIC 3690,House,4,1,1,560m² ,08 Jan 2024
"400,000 ","119 Brockley Street,",WODONGA VIC 3690,House,3,1,2,676m² ,08 Jan 2024
"530,000 ","5 Prunis Court,",WODONGA VIC 3690,House,4,1,3,611m² ,05 Jan 2024
"665,000 ","7 Ashburton Circuit,",WODONGA VIC 3690,House,4,2,4,697m² ,03 Jan 2024
"1,000,000","28 Tanner Terrace,",WODONGA VIC 3690,House,5,2,2,"2,378m² ",21 Dec 2023
"450,000 ","3 Paris Court,",WODONGA VIC 3690,House,4,1,1,730m² ,20 Dec 2023
"370,000 ","3 Rapsey Court,",WODONGA VIC 3690,House,3,1,1,809m² ,19 Dec 2023
"215,000 ","95B Phillips Street,",WODONGA VIC 3690,House,2,1,1,353m² ,19 Dec 2023
