Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"380,000 ","1/48 Campaspe Street,",WODONGA VIC 3690,Apartment / Unit / Flat,2,1,2,325m² ,11 Apr 2024
"235,000 ","2/63 Melrose Drive,",WODONGA VIC 3690,Apartment / Unit / Flat,2,1,1,316m² ,23 Mar 2024
"395,000 ","2/5 Lyons Place,",WODONGA VIC 3690,Townhouse,2,1,2,304m² ,14 Mar 2024
"330,000 ","2/36 Brockley Street,",WODONGA VIC 3690,Apartment / Unit / Flat,2,1,1,190m² ,11 Mar 2024
"455,000 ","106 Gordon Street,",WODONGA VIC 3690,Townhouse,2,2,1,136m² ,07 Mar 2024
"295,000 ","14 Gratwick View,",WODONGA VIC 3690,Vacant land,0,0,0,"1,024m² ",07 Feb 2024
"356,000 ","3/5 Fadden Court,",WODONGA VIC 3690,Townhouse,2,1,2,318m² ,05 Feb 2024
"265,000 ","2/1 McKibbin Court,",WODONGA VIC 3690,Apartment / Unit / Flat,2,1,1,265m² ,01 Feb 2024
"395,000","3/16 KYLE COURT,",WODONGA VIC 3690,Apartment / Unit / Flat,2,1,1,337m² ,25 Jan 2024
"465,000 ","2/10 Sanctuary Boulevard,",WODONGA VIC 3690,Apartment / Unit / Flat,2,2,2,461m² ,11 Jan 2024
"260,000 ","3 Sticklewort Street,",WODONGA VIC 3690,Vacant land,0,0,0,"1,026m² ",21 Dec 2023
"347,500 ","4/23 Wilson Street,",WODONGA VIC 3690,Apartment / Unit / Flat,2,1,1,81m² ,19 Dec 2023
"225,000 ","2/3 Railway Street,",WODONGA VIC 3690,Apartment / Unit / Flat,1,1,1,99m² ,14 Dec 2023
"368,000","1/80 WILLIAM STREET,",WODONGA VIC 3690,Apartment / Unit / Flat,2,1,1,386m² ,13 Dec 2023
"415,000 ","1/73 Mitchell Street,",WODONGA VIC 3690,Apartment / Unit / Flat,2,1,3,482m² ,03 Dec 2023
"425,000 ","18 Hensley Court,",WODONGA VIC 3690,Apartment / Unit / Flat,2,1,3,415m² ,30 Nov 2023
"290,000 ","15 Colombera Circuit,",WODONGA VIC 3690,Apartment / Unit / Flat,2,1,1,213m² ,22 Nov 2023
"210,000 ","26 Loames Street,",WODONGA VIC 3690,Vacant land,0,0,0,661m² ,15 Nov 2023
"360,000 ","2/42 Jarrah Street,",WODONGA VIC 3690,Apartment / Unit / Flat,2,1,2,291m² ,14 Nov 2023
