Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"1,017,500 ","24 Urunga Parade,",WOLLONGONG NSW 2500,House,3,1,2,555m² ,28 Mar 2024
"1,410,000 ","12B Sperry Street,",WOLLONGONG NSW 2500,Semi-detached,4,2,2,353m² ,15 Mar 2024
"1,520,000 ","4 McKenzie Avenue,",WOLLONGONG NSW 2500,House,4,2,3,"1,271m² ",07 Mar 2024
"880,000 ","11a Allan Street,",WOLLONGONG NSW 2500,House,3,1,3,359m² ,22 Feb 2024
"780,000","92 Rowland Ave,",WOLLONGONG NSW 2500,House,3,2,1,752m² ,2024
"1,300,000 ","29A McKenzie Avenue,",WOLLONGONG NSW 2500,House,3,2,3,913m² ,2024
"1,360,000 ","36B Urunga Parade,",WOLLONGONG NSW 2500,Semi-detached,4,3,2,359m² ,31 Jan 2024
"705,000 ","11 Allan Street,",WOLLONGONG NSW 2500,House,2,1,1,329m² ,30 Jan 2024
"960,000 ","2 Colleen Grove,",WOLLONGONG NSW 2500,House,3,1,2,556m² ,24 Jan 2024
"1,420,000 ","16 McKenzie Avenue,",WOLLONGONG NSW 2500,House,2,1,2,696m² ,2023
"910,000 ","3 Mangerton Road,",WOLLONGONG NSW 2500,House,3,1,4,691m² ,27 Nov 2023
"1,055,000 ","65 Kenny Street,",WOLLONGONG NSW 2500,House,4,1,1,632m² ,09 Nov 2023
"1,275,000 ","17 Robinson Street,",WOLLONGONG NSW 2500,House,4,2,2,600m² ,11 Oct 2023
"1,525,000","18 Dudley Street,",WOLLONGONG NSW 2500,House,4,2,4,700m² ,6 Oct 2023
"1,520,000 ","57 Gipps Street,",WOLLONGONG NSW 2500,House,4,3,3,493m² ,2023
"1,300,000 ","50 McKenzie Avenue,",WOLLONGONG NSW 2500,House,2,1,1,"1,116m² ",2023
"915,000 ","12 Staff Street,",WOLLONGONG NSW 2500,House,2,1,2,676m² ,31 Aug 2023
"1,305,000 ","33 Hilltop Avenue,",WOLLONGONG NSW 2500,House,3,2,2,575m² ,2023
"875,000 ","20 Mercury Street,",WOLLONGONG NSW 2500,House,3,1,1,752m² ,27 Jul 2023
"850,000 ","4 Mangerton Road,",WOLLONGONG NSW 2500,House,3,1,1,682m² ,2023
