Price,Address,Suburb,House Type,Number of Rooms,Number of Baths,Number of Parking,Area,Sold Date
"657,000 ","1/1 Governors Lane,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,1,2,146m² ,12 Apr 2024
"2,425,000 ","1-8/3 Ross Street,",WOLLONGONG NSW 2500,Block of units,10,8,−,670m² ,09 Apr 2024
"2,800,000 ","1501/16 Belmore Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,4,3,3,332m² ,05 Mar 2024
"642,500 ","807/49 Denison Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,2,1,104m² ,06 Feb 2024
"865,000 ","1/10 Hillcrest Street,",WOLLONGONG NSW 2500,Townhouse,3,1,2,258m² ,05 Feb 2024
"680,000 ","3/84 Smith Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,2,1,"1,612m² ",19 Jan 2024
"836,000 ","405/290 Keira Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,2,1,111m² ,18 Oct 2023
"535,000","107/10 Regent Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,1,1,1,78m² ,10 Oct 2023
"750,000 ","2/71 Campbell Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,1,1,128m² ,25 Sep 2023
"660,000 ","208/14-18 Auburn Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,2,1,118m² ,12 Sep 2023
"800,000","1/8a Market Place,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,3,2,1,142m² ,2023
"804,000 ","201/41 Crown Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,2,1,138m² ,09 Aug 2023
"1,585,000 ","302/50 Gipps Street,",WOLLONGONG NSW 2500,New apartments / off the plan,3,2,2,183m² ,31 Jul 2023
"818,000 ","14/50 Urunga Parade,",WOLLONGONG NSW 2500,Townhouse,3,2,2,"10,120m² ",07 Jun 2023
"710,000 ","106/83 Campbell Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,2,1,107m² ,05 Jun 2023
"3,200,000 ","11 Keira Street,",WOLLONGONG NSW 2500,Block of units,10,6,8,686m² ,2023
"1,250,000","35 Osborne Street,",WOLLONGONG NSW 2500,Block of units,5,3,3,481m² ,09 May 2023
"684,000 ","206/38 Atchison Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,2,1,116m² ,27 Apr 2023
"1,100,000 ","G02/50 Gipps street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,2,2,219m² ,20 Apr 2023
"500,000 ","1/37 Osborne Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,1,1,91m² ,31 Mar 2023
"545,000 ","2/10 Market Place,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,1,1,1,58m² ,24 Feb 2023
"970,000 ","A906/41 Crown Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,2,1,131m² ,09 Feb 2023
"1,150,000 ","43 Rowland Avenue,",WOLLONGONG NSW 2500,Block of units,5,3,3,"1,005m² ",19 Dec 2022
"650,000 ","605/31 Crown Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,1,1,1,"1,389m² ",14 Oct 2022
"490,000","2/1 Hercules Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,1,1,700m² ,01 Oct 2022
"595,000","8/2 Loftus Street,",WOLLONGONG NSW 2500,Townhouse,2,1,2,159m² ,09 Sep 2022
"775,000 ","401B/6 Thomas Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,2,1,122m² ,05 Aug 2022
"500,000 ","17/24 Market Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,1,1,78m² ,01 Aug 2022
"855,000 ","47/11 Atchison Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,3,2,2,171m² ,26 Jul 2022
"900,000 ","4/16-18 Strathearn Avenue,",WOLLONGONG NSW 2500,Townhouse,3,2,2,312m² ,22 Jun 2022
"550,000 ","310/12 Regent Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,1,1,1,78m² ,10 Jun 2022
"660,000","73/313-323 Crown Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,1,1,"2,453m² ",03 Jun 2022
"3,425,000 ","41 Market Street,",WOLLONGONG NSW 2500,Block of units,11,5,11,918m² ,22 Apr 2022
"755,000 ","2/13 Bank Street,",WOLLONGONG NSW 2500,Townhouse,2,1,1,679m² ,04 Apr 2022
"500,000 ","202/88 Keira Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,1,1,1,52m² ,16 Feb 2022
"2,948,000","2 Frederick Street,",WOLLONGONG NSW 2500,Vacant land,3,2,1,"1,062m² ",22 Dec 2021
"730,000 ","29/22-26 Corrimal Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,1,1,"4,324m² ",20 Dec 2021
"635,000 ","312/14 Auburn Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,2,1,112m² ,13 Dec 2021
"510,000","9/38 Market Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,1,1,"1,604m² ",02 Dec 2021
"990,000 ","20/4-10 Gipps Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,3,2,2,151m² ,2021
"690,000","29/11 Atchison Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,2,1,"2,132m² ",18 Nov 2021
"500,000 ","1/1 Mercury Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,1,1,904m² ,15 Nov 2021
"1,150,000 ","16 Dudley Street,",WOLLONGONG NSW 2500,Townhouse,3,2,1,734m² ,2021
"532,800 ","1/4 Loftus Street,",WOLLONGONG NSW 2500,Apartment / Unit / Flat,2,1,1,87m² ,12 Oct 2021
